table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
help_mono__r-ltap,fr,help,mono,multi,none,off,ltap,,,1743,1743,0,start-a,start,1697,
help_mono__r-ltap-soft,fr,help,mono,multi,none,off,ltap-soft,,,1953,1953,482,start-a,start,2595,
help_mono__r-ltap-soft-ltap2,fr,help,mono,multi,none,off,ltap-soft-ltap2,,,1954,1954,482,start-a,start,1715,
help_mono__r-start0-ltap-soft,fr,help,mono,multi,none,off,start0-ltap-soft,,,1953,1953,482,start-a,start,2266,
help_mono__r-start0-ltap-soft-ltap2,fr,help,mono,multi,none,off,start0-ltap-soft-ltap2,,,1954,1954,482,start-a,start,1614,
help_mono__r-start0-soft,fr,help,mono,multi,none,off,start0-soft,,,1952,1952,481,start-a,start,2474,
help_stereo__r-ltap,fr,help,stereo,multi,none,off,ltap,,,1743,1743,0,start-a,start,1692,
help_stereo__r-ltap-soft,fr,help,stereo,multi,none,off,ltap-soft,,,1953,1953,482,start-a,start,2595,
help_stereo__r-ltap-soft-ltap2,fr,help,stereo,multi,none,off,ltap-soft-ltap2,,,1954,1954,482,start-a,start,1747,
help_stereo__r-start0-ltap-soft,fr,help,stereo,multi,none,off,start0-ltap-soft,,,1953,1953,482,start-a,start,2244,
help_stereo__r-start0-ltap-soft-ltap2,fr,help,stereo,multi,none,off,start0-ltap-soft-ltap2,,,1954,1954,482,start-a,start,1607,
help_stereo__r-start0-soft,fr,help,stereo,multi,none,off,start0-soft,,,1952,1952,481,start-a,start,2474,
intro477_help_stereo__r-ltap,fr,help,stereo,multi,477,off,ltap,select,,483,483,0,start-a,start,2595,
intro477_la_mono__r-a0-held-skipstart,fr,la,mono,multi,477,off,a0-held-skipstart,start,,482,482,0,,l,2333,
intro477_la_mono__r-a0-up477,fr,la,mono,multi,477,off,a0-up477,select,,482,482,0,start-a,start,2595,
intro477_la_mono__r-a0-up477-skipstart,fr,la,mono,multi,477,off,a0-up477-skipstart,start,,482,482,0,a-l,a,2474,
intro477_la_mono__r-a0-up480,fr,la,mono,multi,477,off,a0-up480,select,,482,482,0,start-a,start,2595,
