offset,seed,boots
0,30C8,20
1,30C8,1
2,3038,1
3,52C6,1
4,9D25,1
5,E760,1
6,2E94,1
7,767B,1
8,BE8F,1
9,5C01,1
10,7BA4,1
11,B8B8,1
12,0108,1
13,4086,1
14,89D5,1
15,D318,1
16,FBD3,1
17,0EEF,1
18,582A,1
19,A089,1
20,E9C9,1
21,3308,1
22,7C3F,1
23,C1A0,1
24,0EC8,1
25,57FF,1
26,A13F,1
27,D055,1
28,1A39,1
29,6210,1
30,AC14,1
31,9F9E,1
32,E758,1
33,3663,1
34,802E,1
35,C686,1
36,080E,1
37,465B,1
38,8666,1
39,D968,1
40,2323,1
41,6B4C,1
42,B452,1
43,E35A,1
44,2C50,1
45,CA1F,1
46,1414,1
47,5A06,1
48,A05C,1
49,E0C0,1
50,09C3,1
51,C8F0,1
52,C8F0,1
53,E4A0,1
54,33D9,1
55,7B73,1
56,C5A9,1
57,0D98,1
58,5788,1
59,A15D,1
60,EAEA,1
61,5D90,1
62,7CAF,1
63,C71B,1
64,6482,1
65,ADC7,1
66,F802,1
67,3AEF,1
68,7A63,1
69,EF18,1
70,0FF2,1
71,0FF2,1
72,5A56,1
73,A1E6,1
74,EC32,1
75,34D9,1
76,7EA0,1
77,C7C6,1
78,3BB4,1
79,5E47,1
80,A3FA,1
81,EE50,1
82,361E,1
83,D582,1
84,1FC9,1
85,6708,1
86,D3F8,2
87,EE7A,1
88,38E2,1
89,8079,1
90,8079,1
91,CAAF,1
92,1360,1
93,5D1E,1
94,A81B,1
95,18C9,1
96,377E,1
97,81D6,1
98,C4BA,1
99,13B2,1
100,5B88,1
101,A58E,1
102,451E,1
103,B1D6,1
104,D278,1
105,1B88,1
106,58DE,1
107,A165,1
108,EB47,1
109,EB47,1
110,33F3,1
111,7CE6,1
112,C559,1
113,03A5,1
114,4555,1
115,8E38,1
116,D768,1
117,276B,1
118,6A47,1
119,B7CD,1
120,01AC,1
121,9E4B,1
122,E800,1
123,3103,1
124,7A15,1
125,9A50,1
126,C8BE,1
127,0822,1
128,0822,1
129,5B94,1
130,0161,1
131,3A46,1
132,85C0,1
133,CE53,1
134,1799,1
135,60F6,1
136,AADE,1
137,F408,1
138,3CAF,1
139,7E8F,1
140,0FB0,1
141,8F8D,1
142,B971,1
143,0730,1
144,4495,1
145,8D01,1
146,D671,1
147,D671,1
148,1FB0,1
149,694A,1
150,B011,1
151,DCA8,1
152,260F,1
154,B80D,1
155,34AA,1
156,4C30,1
157,958A,1
158,DA42,1
159,7BEB,1
160,C528,1
161,0E89,1
162,57B7,1
163,75AB,1
164,A59A,1
165,ED92,1
166,ED92,1
167,365D,1
168,E921,1
169,1BC4,1
170,63BA,1
171,AC25,1
172,F5A2,1
173,3A63,1
174,8864,1
175,EB54,1
176,1AFB,1
177,6406,1
178,029E,1
179,4BB9,1
180,B02C,1
181,DDEE,1
182,1E63,1
183,6BE5,1
184,B0F5,1
185,B0F5,1
186,F7EF,1
187,43F0,1
188,8126,1
189,D2DC,1
190,147F,1
191,55F0,1
192,9B77,1
193,E4D3,1
194,66C1,3
195,99B1,1
196,E2CE,1
197,8043,3
198,C97B,1
199,11AE,1
200,57BA,1
201,970B,1
202,B734,1
203,0CA8,1
204,0CA8,1
205,521C,1
206,9B88,1
207,1E8C,1
208,4310,1
209,8C37,1
210,D5DC,1
211,1E59,1
212,672D,1
213,B061,1
214,FB31,1
215,4236,1
216,B1E9,1
217,F5DA,1
218,4372,1
219,8EEE,1
220,C9A9,1
221,1273,1
222,5C3E,1
223,5C3E,1
224,A4E8,1
225,EE25,1
226,37FE,1
227,809B,1
228,C9F3,1
229,F5AB,1
230,1F9C,1
231,68AC,1
232,3645,1
233,46F7,1
234,94E2,1
235,31F3,1
236,7BF7,1
237,C478,1
238,0E85,1
239,4BC6,1
240,8CF4,1
241,CB2C,1
242,CB2C,1
243,1406,1
244,5D83,1
245,F37B,1
246,296B,1
247,728C,1
248,B7B6,1
249,056F,1
250,4D9E,1
251,978C,1
252,E01E,1
253,2A03,1
254,B969,1
255,F822,1
256,40E1,1
257,B362,1
258,E6D3,1
259,2E90,1
260,7760,1
261,7760,1
262,C0AE,1
263,0569,1
264,53C5,1
265,9C62,1
266,E5AE,14
267,13CC,1
268,207D,1
269,6A0F,1
270,B128,1
271,621A,1
272,94D5,1
273,33EF,1
274,7C3B,1
275,C224,1
276,2323,1
277,47A2,1
278,9559,1
279,DF1A,1
280,DF1A,1
281,279D,1
282,7101,1
283,BA44,1
284,208B,1
285,50A7,1
286,99BE,1
287,E292,1
288,2C21,1
289,75BC,1
290,BC80,1
291,04EE,1
292,9645,1
293,D84B,1
294,211E,1
295,6A60,1
296,E01D,1
297,0C1E,1
298,5536,1
299,5536,1
