offset,seed,band,boots,how
6,8366,0,1,measured
7,AB58,0,1,measured
8,F4D2,0,1,measured
9,3D9C,0,1,measured
10,86E5,0,1,measured
11,D025,0,1,measured
12,1965,0,1,measured
13,18D3,0,1,measured
14,3B72,0,1,measured
15,85B3,0,1,measured
16,85B3,0,1,measured
17,CD44,0,1,measured
18,5F1E,0,1,measured
19,A72B,0,1,measured
20,EB99,0,1,measured
21,3961,0,1,measured
22,5989,0,1,measured
23,979B,0,1,measured
24,DFE9,0,1,measured
25,292D,0,1,measured
26,7272,0,1,measured
27,BBB2,0,1,measured
28,E474,0,1,measured
29,F77F,0,1,measured
30,40C1,0,1,measured
31,891E,0,1,measured
32,D265,0,1,measured
33,1BA3,0,1,measured
34,64DC,0,1,measured
35,AA41,0,1,measured
36,F759,0,1,measured
37,F759,0,1,measured
38,409C,0,1,measured
39,89E5,0,1,measured
40,885B,0,1,measured
41,ABF2,0,1,measured
42,F638,0,1,measured
43,3DF2,0,1,measured
44,8837,0,1,measured
45,D001,0,1,measured
46,1F0A,0,1,measured
47,685F,0,1,measured
48,AF96,0,1,measured
49,F0B1,0,1,measured
50,2EFC,0,1,measured
51,6EFC,0,1,measured
52,C208,0,1,measured
53,0BC0,0,1,measured
54,53E9,0,1,measured
55,9CF0,0,1,measured
56,14FA,0,1,measured
57,5DE6,0,1,measured
58,A85A,0,1,measured
59,F293,0,1,measured
60,397E,0,1,measured
61,8054,0,1,measured
62,C967,0,1,measured
63,F260,0,1,measured
64,B196,0,1,measured
65,CD3F,0,1,measured
66,1C7A,0,1,measured
67,6404,0,1,measured
68,AE4E,0,1,measured
69,F61C,0,1,measured
70,4032,0,1,measured
71,89F3,0,1,measured
72,D37D,0,1,measured
73,462F,0,1,measured
74,6542,0,1,measured
75,AFB8,0,1,measured
76,F744,0,1,measured
77,42A8,0,1,measured
78,8A2A,0,1,measured
79,D420,0,1,measured
80,18DA,0,1,measured
81,6301,0,1,measured
82,D7B2,0,1,measured
83,F88C,0,1,measured
84,42FF,0,1,measured
85,8A80,0,1,measured
86,D4C1,0,1,measured
87,1D6E,0,1,measured
88,673C,0,1,measured
89,673C,0,1,measured
90,B05D,0,1,measured
91,2451,0,1,measured
92,43D8,0,1,measured
93,8FBD,0,1,measured
94,D6E5,0,1,measured
95,6390,0,1,measured
96,B1E7,0,1,measured
97,FBA1,0,1,measured
98,43F9,0,1,measured
99,B70F,0,1,measured
100,D710,0,1,measured
101,217B,0,1,measured
102,6911,0,1,measured
103,B353,0,1,measured
104,FBF8,0,1,measured
105,45BB,0,1,measured
106,8EE3,0,1,measured
107,02AD,0,1,measured
108,2173,0,1,measured
109,68D2,0,1,measured
110,AE6C,0,1,measured
111,AE6C,0,1,measured
112,FAE4,0,1,measured
113,4498,0,1,measured
114,8E27,0,1,measured
115,D7F2,0,1,measured
116,203D,0,1,measured
117,9588,0,1,measured
118,AED0,0,1,measured
119,F7DF,0,1,measured
120,4189,0,1,measured
121,D2E1,0,1,measured
122,1D8C,0,1,measured
123,6578,0,1,measured
124,ADEC,0,1,measured
125,EC42,0,1,measured
126,2DF7,0,1,measured
127,76C8,0,1,measured
128,BFFA,0,1,measured
129,1007,0,1,measured
130,52E3,0,1,measured
131,A060,0,1,measured
132,EA40,0,1,measured
133,2EA0,0,1,measured
134,7C2B,0,1,measured
135,C5EF,0,1,measured
136,0E9F,0,1,measured
137,584E,0,1,measured
138,82F5,0,1,measured
139,B15C,0,1,measured
140,F0C4,0,1,measured
141,442E,0,1,measured
142,E9FE,0,1,measured
143,22E4,0,1,measured
144,6E63,0,1,measured
145,B6F4,0,1,measured
146,0035,0,1,measured
147,4997,0,1,measured
148,9377,0,1,measured
149,DCB1,0,1,measured
150,254B,0,1,measured
151,66D9,0,1,measured
152,A578,0,1,measured
153,EE25,0,1,measured
154,71DD,0,1,measured
155,95BD,0,1,measured
156,E383,0,1,measured
157,2D27,0,1,measured
158,759F,0,1,measured
159,BF06,0,1,measured
160,0845,0,1,measured
161,51EC,0,1,measured
162,98AA,0,1,measured
163,C547,0,1,measured
164,0EAF,0,1,measured
165,577F,0,1,measured
166,A0A3,0,1,measured
167,1EEC,0,1,measured
168,34D1,0,1,measured
169,7E9A,0,1,measured
170,C228,0,1,measured
171,0F87,0,1,measured
172,58C7,0,1,measured
173,A26B,0,1,measured
174,EB3E,0,1,measured
175,33E6,0,1,measured
176,5F5C,0,1,measured
177,8D1F,0,1,measured
178,D627,0,1,measured
179,200C,0,1,measured
180,D1B6,0,1,measured
181,02CF,0,1,measured
182,4DFC,0,1,measured
183,94C4,0,1,measured
184,DE40,0,1,measured
185,22FF,0,1,measured
186,7101,0,1,measured
187,D3EC,0,1,measured
188,0399,0,1,measured
189,4CB0,0,1,measured
190,9589,0,1,measured
191,DEFF,0,1,measured
192,289C,0,1,measured
193,939C,0,1,measured
194,BA3D,0,1,measured
195,06F4,0,1,measured
196,5306,0,1,measured
197,9B19,0,1,measured
198,E094,0,1,measured
199,2C88,0,1,measured
200,69C3,0,1,measured
201,BB84,0,1,measured
202,FD1C,0,1,measured
203,3E9A,0,1,measured
204,840E,0,1,measured
205,CD72,0,1,measured
206,4F59,0,1,measured
207,8258,0,1,measured
208,CB64,0,1,measured
209,1751,0,1,measured
210,5DA4,0,1,measured
211,A763,0,1,measured
212,F1CC,0,1,measured
213,36A1,0,1,measured
214,7FA7,0,1,measured
215,9FCB,0,1,measured
216,F54E,0,1,measured
217,3AC6,0,1,measured
218,8421,0,1,measured
219,0730,0,1,measured
220,2BAD,0,1,measured
221,74CB,0,1,measured
222,BE86,0,1,measured
223,0700,0,1,measured
224,4FD6,0,1,measured
225,98FA,0,1,measured
226,E2D3,0,1,measured
227,2BEB,0,1,measured
228,51EC,0,1,measured
229,8F40,0,1,measured
230,D332,0,1,measured
231,20D7,0,1,measured
232,6D19,0,1,measured
233,B246,0,1,measured
234,FB10,0,1,measured
235,44D2,0,1,measured
236,8D8D,0,1,measured
237,D6C2,0,1,measured
238,209F,0,1,measured
239,693D,0,1,measured
240,B291,0,1,measured
241,DD6E,0,1,measured
242,0913,0,1,measured
243,513F,0,1,measured
244,1EDA,0,1,measured
245,2FA1,0,1,measured
246,7D83,0,1,measured
247,C73D,0,1,measured
248,0ED7,0,1,measured
249,58CB,0,1,measured
250,A154,0,1,measured
251,EBA8,0,1,measured
252,3469,0,1,measured
253,7587,0,1,measured
254,B3CA,0,1,measured
255,FCAD,0,1,measured
256,45D7,0,1,measured
257,DD01,0,1,measured
258,1208,0,1,measured
259,5B30,0,1,measured
260,A0B4,0,1,measured
261,ECFD,0,1,measured
262,36E5,0,1,measured
263,7F78,0,1,measured
264,C96F,0,1,measured
265,11E6,0,1,measured
266,11E6,0,1,measured
267,3FF8,0,1,measured
268,9672,0,1,measured
269,D591,0,1,measured
270,1EC5,0,1,measured
271,926A,0,1,measured
272,CF43,0,1,measured
273,1743,0,1,measured
274,5FF7,0,1,measured
275,A937,0,1,measured
276,EE8B,0,1,measured
277,3BBF,0,1,measured
278,84FC,0,1,measured
279,CE3B,0,1,measured
280,13D9,0,1,measured
281,5C66,0,1,measured
282,A307,0,1,measured
283,522D,0,1,measured
284,7D66,0,1,measured
