offset,seed,band,boots,how
6,8365,0,1,measured
7,AB53,0,1,measured
8,F4CD,0,1,measured
9,3D93,0,1,measured
10,86DC,0,1,measured
14,3B90,0,1,measured
17,D042,0,1,measured
18,5F24,0,1,measured
20,EBAE,0,1,measured
21,3970,0,1,measured
22,5987,0,1,measured
23,9794,0,1,measured
28,E45E,0,1,measured
29,F784,0,1,measured
30,40B5,0,1,measured
32,D259,0,1,measured
33,1B9C,0,1,measured
35,AA34,0,1,measured
36,F754,0,1,measured
37,F754,0,1,measured
38,409C,0,1,measured
43,3DFF,0,1,measured
44,8863,0,1,measured
46,1EFF,0,1,measured
47,68E9,0,1,measured
48,AF24,0,1,measured
49,F0AE,0,1,measured
50,2EF9,0,1,measured
51,6EF8,0,1,measured
52,C21B,0,1,measured
53,0BF6,0,1,measured
54,53E0,0,1,measured
56,14EB,0,1,measured
57,5DE2,0,1,measured
58,A851,0,1,measured
59,F2BE,0,1,measured
62,C95D,0,1,measured
63,F262,0,1,measured
64,B1D0,0,1,measured
65,CD6B,0,1,measured
70,4023,0,1,measured
71,8A35,0,1,measured
72,D3C0,0,1,measured
76,FA30,0,1,measured
77,4030,0,1,measured
78,8A24,0,1,measured
79,D45C,0,1,measured
84,433F,0,1,measured
85,8A92,0,1,measured
86,D4ED,0,1,measured
92,4769,0,1,measured
93,8CB1,0,1,measured
94,D71B,0,1,measured
95,639E,0,1,measured
98,442D,0,1,measured
99,B75D,0,1,measured
100,D73C,0,1,measured
101,21C0,0,1,measured
105,45FD,0,1,measured
106,912A,0,1,measured
107,01B2,0,1,measured
108,2049,0,1,measured
109,6AB7,0,1,measured
110,AD66,0,1,measured
111,AD66,0,1,measured
112,FC74,0,1,measured
113,443F,0,1,measured
114,8E1D,0,1,measured
115,D84D,0,1,measured
116,21CC,0,1,measured
117,9620,0,1,measured
118,AEFC,0,1,measured
119,F80C,0,1,measured
120,41A9,0,1,measured
121,D40F,0,1,measured
122,1C9F,0,1,measured
123,6599,0,1,measured
125,EC57,0,1,measured
126,2DE9,0,1,measured
127,76CC,0,1,measured
128,BFF0,0,1,measured
133,2E91,0,1,measured
134,7C30,0,1,measured
135,C604,0,1,measured
136,0EDE,0,1,measured
137,5806,0,1,measured
138,82FD,0,1,measured
139,B14F,0,1,measured
140,F0C1,0,1,measured
141,4434,0,1,measured
142,E9F5,0,1,measured
143,22E4,0,1,measured
147,4991,0,1,measured
148,9395,0,1,measured
149,DCBA,0,1,measured
150,254E,0,1,measured
151,671F,0,1,measured
152,A52E,0,1,measured
153,EE1F,0,1,measured
154,71FF,0,1,measured
155,95FA,0,1,measured
156,E3AF,0,1,measured
157,2D62,0,1,measured
158,759D,0,1,measured
161,5213,0,1,measured
162,98A4,0,1,measured
163,C533,0,1,measured
167,1D6D,0,1,measured
168,3503,0,1,measured
169,7E53,0,1,measured
170,C316,0,1,measured
171,0FF8,0,1,measured
172,58CD,0,1,measured
173,A20E,0,1,measured
174,EBBF,0,1,measured
175,34AF,0,1,measured
176,5E34,0,1,measured
177,8E4C,0,1,measured
179,1EE8,0,1,measured
180,D1EA,0,1,measured
181,04D0,0,1,measured
