offset,seed,band,boots,how
6,8364,0,1,measured
7,AB52,0,1,measured
8,F4CC,0,1,measured
9,3D92,0,1,measured
10,86DB,0,1,measured
11,D01B,0,1,measured
12,195B,0,1,measured
13,1918,0,1,measured
14,3B8F,0,1,measured
15,8600,0,1,measured
16,8600,0,1,measured
17,D041,0,1,measured
18,5F23,0,1,measured
19,A719,0,1,measured
20,EBAD,0,1,measured
21,396F,0,1,measured
22,5986,0,1,measured
23,9793,0,1,measured
24,DFE7,0,1,measured
25,2919,0,1,measured
26,7269,0,1,measured
27,BB9F,0,1,measured
28,E45D,0,1,measured
29,F783,0,1,measured
30,40B4,0,1,measured
31,8912,0,1,measured
32,D258,0,1,measured
33,1B9B,0,1,measured
34,64DB,0,1,measured
35,AA33,0,1,measured
36,F753,0,1,measured
37,F753,0,1,measured
38,409B,0,1,measured
39,89DB,0,1,measured
40,889A,0,1,measured
41,AC1F,0,1,measured
42,F682,0,1,measured
43,3DFE,0,1,measured
44,8862,0,1,measured
45,D00E,0,1,measured
46,1EFE,0,1,measured
47,68E8,0,1,measured
48,AF23,0,1,measured
49,F0AD,0,1,measured
50,2EF8,0,1,measured
51,6EF7,0,1,measured
52,C21A,0,1,measured
53,0BF5,0,1,measured
54,53DF,0,1,measured
55,9CE5,0,1,measured
56,14EA,0,1,measured
57,5DE1,0,1,measured
58,A850,0,1,measured
59,F2BD,0,1,measured
60,3987,0,1,measured
61,8047,0,1,measured
62,C95C,0,1,measured
63,F261,0,1,measured
64,B1CF,0,1,measured
65,CD6A,0,1,measured
66,1CB9,0,1,measured
67,6419,0,1,measured
68,AE6C,0,1,measured
69,F63A,0,1,measured
70,4022,0,1,measured
71,8A34,0,1,measured
72,D3BF,0,1,measured
73,4670,0,1,measured
74,6576,0,1,measured
75,B000,0,1,measured
76,FA2F,0,1,measured
77,402F,0,1,measured
78,8A23,0,1,measured
79,D45B,0,1,measured
80,1921,0,1,measured
81,62F6,0,1,measured
82,D7F4,0,1,measured
83,F8B9,0,1,measured
84,433E,0,1,measured
85,8A91,0,1,measured
86,D4EC,0,1,measured
87,1D63,0,1,measured
88,6777,0,1,measured
89,6777,0,1,measured
90,B0A4,0,1,measured
91,2487,0,1,measured
92,4768,0,1,measured
93,8CB0,0,1,measured
94,D71A,0,1,measured
95,639D,0,1,measured
96,B1DF,0,1,measured
97,FBDF,0,1,measured
98,442C,0,1,measured
99,B75C,0,1,measured
100,D73B,0,1,measured
101,21BF,0,1,measured
102,6926,0,1,measured
103,B379,0,1,measured
104,FBEA,0,1,measured
105,45FC,0,1,measured
106,9129,0,1,measured
107,01B1,0,1,measured
108,2048,0,1,measured
109,6AB6,0,1,measured
110,AD65,0,1,measured
111,AD65,0,1,measured
112,FC73,0,1,measured
113,443E,0,1,measured
114,8E1C,0,1,measured
115,D84C,0,1,measured
116,21CB,0,1,measured
117,961F,0,1,measured
118,AEFB,0,1,measured
119,F80B,0,1,measured
120,41A8,0,1,measured
121,D40E,0,1,measured
122,1C9E,0,1,measured
123,6598,0,1,measured
124,ADE2,0,1,measured
125,EC56,0,1,measured
126,2DE8,0,1,measured
127,76CB,0,1,measured
128,BFEF,0,1,measured
129,0FFC,0,1,measured
130,52E3,0,1,measured
131,A05F,0,1,measured
132,EA5B,0,1,measured
133,2E90,0,1,measured
134,7C2F,0,1,measured
135,C603,0,1,measured
136,0EDD,0,1,measured
137,5805,0,1,measured
138,82FC,0,1,measured
139,B14E,0,1,measured
140,F0C0,0,1,measured
141,4433,0,1,measured
142,E9F4,0,1,measured
143,22E3,0,1,measured
144,6E79,0,1,measured
145,B6E1,0,1,measured
146,0032,0,1,measured
147,4990,0,1,measured
148,9394,0,1,measured
149,DCB9,0,1,measured
150,254D,0,1,measured
151,671E,0,1,measured
152,A52D,0,1,measured
153,EE1E,0,1,measured
154,71FE,0,1,measured
155,95F9,0,1,measured
156,E3AE,0,1,measured
157,2D61,0,1,measured
158,759C,0,1,measured
159,BF3A,0,1,measured
160,086E,0,1,measured
161,5212,0,1,measured
162,98A3,0,1,measured
163,C532,0,1,measured
164,0EA2,0,1,measured
165,5774,0,1,measured
166,A0A0,0,1,measured
167,1D6C,0,1,measured
168,3502,0,1,measured
169,7E52,0,1,measured
170,C315,0,1,measured
171,0FF7,0,1,measured
172,58CC,0,1,measured
173,A20D,0,1,measured
174,EBBE,0,1,measured
175,34AE,0,1,measured
176,5E33,0,1,measured
177,8E4B,0,1,measured
178,D625,0,1,measured
179,1EE7,0,1,measured
180,D1E9,0,1,measured
181,04CF,0,1,measured
182,4C87,0,1,measured
183,94B9,0,1,measured
184,DE75,0,1,measured
185,2323,0,1,measured
186,7139,0,1,measured
