offset,seed,band,boots,how
6,835D,0,1,measured
7,AB4F,0,1,measured
8,F4C1,0,1,measured
9,3D8C,0,1,measured
10,86CB,0,1,measured
11,D00B,0,1,measured
12,194B,0,1,measured
13,1907,0,1,measured
14,3B8D,0,1,measured
15,85FB,0,1,measured
16,85FB,0,1,measured
17,CD32,0,1,measured
18,5F1A,0,1,measured
19,A712,0,1,measured
20,EBA6,0,1,measured
21,396C,0,1,measured
22,5978,0,1,measured
23,977F,0,1,measured
24,DFE0,0,1,measured
25,2912,0,1,measured
26,7261,0,1,measured
27,BB98,0,1,measured
28,E45A,0,1,measured
29,F777,0,1,measured
30,40B8,0,1,measured
31,890B,0,1,measured
32,D24B,0,1,measured
33,1B89,0,1,measured
34,64D4,0,1,measured
35,AA27,0,1,measured
36,F753,0,1,measured
37,F753,0,1,measured
38,408C,0,1,measured
39,89CB,0,1,measured
40,888A,0,1,measured
41,AC0D,0,1,measured
42,F672,0,1,measured
43,3E04,0,1,measured
44,8854,0,1,measured
45,CFFF,0,1,measured
46,1EEF,0,1,measured
47,687B,0,1,measured
48,AF8E,0,1,measured
49,F0A0,0,1,measured
50,2EF4,0,1,measured
51,6EE2,0,1,measured
52,C213,0,1,measured
53,0BEE,0,1,measured
54,53D8,0,1,measured
55,9CDE,0,1,measured
56,14E9,0,1,measured
57,5DDE,0,1,measured
58,A840,0,1,measured
59,F2AE,0,1,measured
60,398B,0,1,measured
61,8040,0,1,measured
62,C956,0,1,measured
63,F25D,0,1,measured
64,B1C4,0,1,measured
65,CD64,0,1,measured
66,1CBD,0,1,measured
67,640C,0,1,measured
68,AE67,0,1,measured
69,F631,0,1,measured
70,4022,0,1,measured
71,8A27,0,1,measured
72,D3B9,0,1,measured
73,466E,0,1,measured
74,6571,0,1,measured
75,AFF2,0,1,measured
76,F74C,0,1,measured
77,42DD,0,1,measured
78,8A21,0,1,measured
79,D45E,0,1,measured
80,1912,0,1,measured
81,62F6,0,1,measured
82,D7E4,0,1,measured
83,F8B2,0,1,measured
84,4332,0,1,measured
85,8A85,0,1,measured
86,D4E8,0,1,measured
87,1D5C,0,1,measured
88,6778,0,1,measured
89,6778,0,1,measured
90,B090,0,1,measured
91,248C,0,1,measured
92,43FC,0,1,measured
93,9007,0,1,measured
94,D705,0,1,measured
95,639E,0,1,measured
96,B1E1,0,1,measured
97,FBE1,0,1,measured
98,4427,0,1,measured
99,B747,0,1,measured
100,D733,0,1,measured
101,21AE,0,1,measured
102,691E,0,1,measured
103,B37C,0,1,measured
104,FBE3,0,1,measured
105,45EF,0,1,measured
106,8F16,0,1,measured
107,031F,0,1,measured
108,21AC,0,1,measured
109,68E2,0,1,measured
110,AE86,0,1,measured
111,AE86,0,1,measured
112,FAED,0,1,measured
113,4494,0,1,measured
114,8E09,0,1,measured
115,D82E,0,1,measured
116,2069,0,1,measured
117,95A7,0,1,measured
118,AEF4,0,1,measured
119,F7FB,0,1,measured
120,41A5,0,1,measured
121,D2E7,0,1,measured
122,1DBA,0,1,measured
123,658D,0,1,measured
124,ADE6,0,1,measured
125,EC4F,0,1,measured
126,2DED,0,1,measured
127,76BE,0,1,measured
128,BFF2,0,1,measured
129,0FF5,0,1,measured
130,52DC,0,1,measured
131,A058,0,1,measured
132,EA54,0,1,measured
133,2E97,0,1,measured
134,7C23,0,1,measured
135,C5F3,0,1,measured
136,0E9B,0,1,measured
137,5848,0,1,measured
138,82F3,0,1,measured
139,B142,0,1,measured
140,F0B2,0,1,measured
141,442C,0,1,measured
142,E9E3,0,1,measured
143,22DC,0,1,measured
144,6E68,0,1,measured
145,B6E2,0,1,measured
146,002D,0,1,measured
147,498E,0,1,measured
148,9384,0,1,measured
149,DCBD,0,1,measured
150,2546,0,1,measured
151,66CE,0,1,measured
152,A565,0,1,measured
153,EE0C,0,1,measured
154,7207,0,1,measured
155,95E1,0,1,measured
156,E3A9,0,1,measured
157,2D4F,0,1,measured
158,758D,0,1,measured
159,BF33,0,1,measured
160,0873,0,1,measured
161,5218,0,1,measured
162,98A3,0,1,measured
163,C536,0,1,measured
164,0E9B,0,1,measured
165,576E,0,1,measured
166,A090,0,1,measured
167,1F3C,0,1,measured
168,34FE,0,1,measured
169,7EC2,0,1,measured
170,C23D,0,1,measured
171,0F8E,0,1,measured
172,58D3,0,1,measured
173,A273,0,1,measured
174,EB53,0,1,measured
175,33D2,0,1,measured
176,5F69,0,1,measured
177,8D0D,0,1,measured
178,D616,0,1,measured
179,2022,0,1,measured
180,D1D5,0,1,measured
181,02F4,0,1,measured
182,4E5A,0,1,measured
183,94AC,0,1,measured
184,DE63,0,1,measured
185,2326,0,1,measured
186,7133,0,1,measured
187,D415,0,1,measured
188,03B5,0,1,measured
189,4CCC,0,1,measured
190,956D,0,1,measured
