offset,seed,band,boots,how
6,9AD1,0,1,measured
7,C2C3,0,1,measured
8,0C35,0,1,measured
9,5500,0,1,measured
10,9E3F,0,1,measured
11,E77F,0,1,measured
12,30BF,0,1,measured
13,302E,0,1,measured
14,52C8,0,1,measured
15,9D22,0,1,measured
16,9D22,0,1,measured
17,E4A1,0,1,measured
18,7681,0,1,measured
19,BE90,0,1,measured
20,0305,0,1,measured
21,50C2,0,1,measured
22,70E3,0,1,measured
23,AEF3,0,1,measured
24,F758,0,1,measured
25,4086,0,1,measured
26,89D5,0,1,measured
27,D314,0,1,measured
28,FBCE,0,1,measured
29,0EEB,0,1,measured
30,5822,0,1,measured
31,A07F,0,1,measured
32,E9BF,0,1,measured
33,32FD,0,1,measured
34,7C48,0,1,measured
35,C19B,0,1,measured
36,0EBB,0,1,measured
37,0EBB,0,1,measured
38,5808,0,1,measured
39,A13F,0,1,measured
40,9FB2,0,1,measured
41,C348,0,1,measured
42,0DA4,0,1,measured
43,5560,0,1,measured
44,9F94,0,1,measured
45,E764,0,1,measured
46,366D,0,1,measured
47,7FB8,0,1,measured
48,C6F6,0,1,measured
49,080C,0,1,measured
50,4668,0,1,measured
51,8656,0,1,measured
52,D972,0,1,measured
53,2323,0,1,measured
54,6B4C,0,1,measured
55,B45C,0,1,measured
56,2C5D,0,1,measured
57,7548,0,1,measured
58,BFB4,0,1,measured
59,09FF,0,1,measured
60,50E1,0,1,measured
61,97BD,0,1,measured
62,E0CA,0,1,measured
63,09D1,0,1,measured
64,C8EC,0,1,measured
65,E4A2,0,1,measured
66,33E3,0,1,measured
67,7B71,0,1,measured
68,C5A4,0,1,measured
69,0D98,0,1,measured
70,578D,0,1,measured
71,A14E,0,1,measured
72,EAEA,0,1,measured
73,5D8A,0,1,measured
74,7CAF,0,1,measured
75,C71B,0,1,measured
76,0EAE,0,1,measured
77,5A05,0,1,measured
78,A18A,0,1,measured
79,EB7E,0,1,measured
80,3043,0,1,measured
81,7A63,0,1,measured
82,EF0D,0,1,measured
83,0FE4,0,1,measured
84,5A5A,0,1,measured
85,A1EB,0,1,measured
86,EC30,0,1,measured
87,34D8,0,1,measured
88,7E99,0,1,measured
89,7E99,0,1,measured
90,C7C6,0,1,measured
91,3BB4,0,1,measured
92,5B3B,0,1,measured
93,A720,0,1,measured
94,EE4C,0,1,measured
95,7AF4,0,1,measured
96,C956,0,1,measured
97,1308,0,1,measured
98,5B5B,0,1,measured
99,CE71,0,1,measured
100,EE7B,0,1,measured
101,38D5,0,1,measured
102,8073,0,1,measured
103,CAB6,0,1,measured
104,1360,0,1,measured
105,5D18,0,1,measured
106,A63E,0,1,measured
107,1A18,0,1,measured
108,38C9,0,1,measured
109,803F,0,1,measured
110,C5C6,0,1,measured
111,C5C6,0,1,measured
112,1250,0,1,measured
113,5BF2,0,1,measured
114,A57D,0,1,measured
115,EF56,0,1,measured
116,37AA,0,1,measured
117,ACE4,0,1,measured
118,C631,0,1,measured
119,0F41,0,1,measured
120,58E3,0,1,measured
121,EA4B,0,1,measured
122,34F9,0,1,measured
123,7CE4,0,1,measured
124,C557,0,1,measured
125,03A6,0,1,measured
126,4565,0,1,measured
127,8E32,0,1,measured
128,D766,0,1,measured
129,2760,0,1,measured
130,6A50,0,1,measured
131,B7CC,0,1,measured
132,01B0,0,1,measured
133,460B,0,1,measured
134,938F,0,1,measured
135,DD54,0,1,measured
136,260C,0,1,measured
137,6FBF,0,1,measured
138,9A4F,0,1,measured
139,C8BF,0,1,measured
140,0830,0,1,measured
141,5B87,0,1,measured
