offset,seed,band,boots,how
268,ADDE,0,1,measured
269,ECFC,0,1,measured
270,3643,0,1,measured
271,A9E6,0,1,measured
272,E6B0,0,1,measured
273,2EC0,0,1,measured
274,7774,0,1,measured
275,C0AB,0,1,measured
276,0604,0,1,measured
277,533E,0,1,measured
278,9C77,0,1,measured
279,E5AF,0,1,measured
280,2B4D,0,1,measured
281,73D3,0,1,measured
282,BA85,0,1,measured
283,69A3,0,1,measured
284,94D2,0,1,measured
285,DDE3,0,1,measured
286,26D3,0,1,measured
287,7214,0,1,measured
288,B772,0,1,measured
289,1BB9,0,1,measured
290,47B5,0,1,measured
291,956F,0,1,measured
292,DF28,0,1,measured
293,279E,0,1,measured
294,7106,0,1,measured
295,BA4A,0,1,measured
296,209F,0,1,measured
297,50B3,0,1,measured
298,EE4C,0,1,measured
299,386B,0,1,measured
300,817B,0,1,measured
301,C747,0,1,measured
302,04F7,0,1,measured
303,4E25,0,1,measured
305,8B8D,0,1,measured
306,CE25,0,1,measured
307,16F0,0,1,measured
308,6036,0,1,measured
309,E018,0,1,measured
310,0C28,0,1,measured
311,553F,0,1,measured
312,9DFD,0,1,measured
313,E7A1,0,1,measured
314,3127,0,1,measured
315,8F21,0,1,measured
316,C24C,0,1,measured
317,3FA0,0,1,measured
318,888A,0,1,measured
319,CD16,0,1,measured
320,1A7F,0,1,measured
321,97F8,0,1,measured
322,BB2F,0,1,measured
324,043E,0,1,measured
325,4DE3,0,1,measured
326,9680,0,1,measured
327,DF31,0,1,measured
328,287A,0,1,measured
329,7249,0,1,measured
330,BAF8,0,1,measured
331,FC22,0,1,measured
332,3BA8,0,1,measured
333,8325,0,1,measured
334,CC5E,0,1,measured
335,1118,0,1,measured
336,B3C8,0,1,measured
337,FDB0,0,1,measured
338,4658,0,1,measured
339,8FA8,0,1,measured
340,CD9B,0,1,measured
341,164B,0,1,measured
343,41FF,0,1,measured
344,6F39,0,1,measured
345,B8E4,0,1,measured
346,019A,0,1,measured
347,B1DF,0,1,measured
348,E2D7,0,1,measured
349,2F87,0,1,measured
350,6BF5,0,1,measured
351,C53E,0,1,measured
352,0B25,0,1,measured
353,548F,0,1,measured
354,A218,0,1,measured
355,32D5,0,1,measured
356,7297,0,1,measured
357,B932,0,1,measured
358,02B6,0,1,measured
359,6D51,0,1,measured
360,A99E,0,1,measured
362,F2E7,0,1,measured
363,3E8E,0,1,measured
364,8497,0,1,measured
365,C046,0,1,measured
366,1728,0,1,measured
367,64A8,0,1,measured
368,AA45,0,1,measured
369,D6D0,0,1,measured
370,2396,0,1,measured
371,6939,0,1,measured
372,B2AA,0,1,measured
373,3216,0,1,measured
374,B299,0,1,measured
375,FC07,0,1,measured
376,457F,0,1,measured
377,8D9B,0,1,measured
378,AD2E,0,1,measured
379,F15F,0,1,measured
381,3EC6,0,1,measured
382,6EAA,0,1,measured
383,996F,0,1,measured
384,E27F,0,1,measured
385,2C61,0,1,measured
386,D2B6,0,1,measured
387,0DBC,0,1,measured
388,56DD,0,1,measured
389,A0B0,0,1,measured
390,E951,0,1,measured
391,3294,0,1,measured
392,8CCD,0,1,measured
393,1A9E,0,1,measured
394,5FCF,0,1,measured
395,AD2D,0,1,measured
396,F64F,0,1,measured
397,33D4,0,1,measured
398,923C,0,1,measured
400,C954,0,1,measured
401,1308,0,1,measured
402,5BBC,0,1,measured
403,A4F2,0,1,measured
404,EE34,0,1,measured
405,3814,0,1,measured
406,814C,0,1,measured
