offset,seed,band,boots,how
268,966E,0,1,measured
269,D4F6,0,1,measured
270,1F5D,0,1,measured
271,926B,0,1,measured
272,CF3D,0,1,measured
273,1721,0,1,measured
274,6003,0,1,measured
275,A961,0,1,measured
276,EE96,0,1,measured
277,3BC6,0,1,measured
278,8505,0,1,measured
279,CE3C,0,1,measured
280,13D1,0,1,measured
281,5C64,0,1,measured
282,A311,0,1,measured
283,5231,0,1,measured
284,7D6C,0,1,measured
285,C67B,0,1,measured
286,0F5E,0,1,measured
287,58E1,0,1,measured
288,A26B,0,1,measured
289,06C2,0,1,measured
290,303C,0,1,measured
291,7E61,0,1,measured
292,C6FC,0,1,measured
293,1032,0,1,measured
294,599D,0,1,measured
295,A2D1,0,1,measured
296,092C,0,1,measured
297,3939,0,1,measured
298,D6D9,0,1,measured
299,20F7,0,1,measured
300,6A08,0,1,measured
301,AFCD,0,1,measured
302,ED7C,0,1,measured
303,36AE,0,1,measured
304,7423,0,1,measured
305,7423,0,1,measured
306,B6B5,0,1,measured
307,FF7D,0,1,measured
308,48C3,0,1,measured
309,C8A9,0,1,measured
310,F4B8,0,1,measured
311,3DBF,0,1,measured
312,8693,0,1,measured
313,D024,0,1,measured
314,19B4,0,1,measured
315,77AE,0,1,measured
316,AADE,0,1,measured
317,282B,0,1,measured
318,7122,0,1,measured
319,B5A2,0,1,measured
320,030C,0,1,measured
321,8085,0,1,measured
322,A3B6,0,1,measured
323,ECBF,0,1,measured
324,ECBF,0,1,measured
325,3669,0,1,measured
326,7F02,0,1,measured
327,C7BE,0,1,measured
328,1107,0,1,measured
329,5ACC,0,1,measured
330,A395,0,1,measured
331,E4B8,0,1,measured
332,23E0,0,1,measured
333,6BBD,0,1,measured
334,B53C,0,1,measured
335,F9A4,0,1,measured
336,9C5A,0,1,measured
337,E646,0,1,measured
338,2ED8,0,1,measured
339,7837,0,1,measured
340,B628,0,1,measured
341,FEDB,0,1,measured
342,2A8C,0,1,measured
343,2A8C,0,1,measured
344,57C8,0,1,measured
345,A16F,0,1,measured
346,EA29,0,1,measured
347,9995,0,1,measured
348,CC00,0,1,measured
349,185A,0,1,measured
350,5482,0,1,measured
351,ADCE,0,1,measured
352,F3BA,0,1,measured
353,3D11,0,1,measured
354,8AA5,0,1,measured
355,1B61,0,1,measured
356,5B24,0,1,measured
357,A1C2,0,1,measured
358,EB42,0,1,measured
359,55DB,0,1,measured
360,922B,0,1,measured
361,DB2D,0,1,measured
362,DB2D,0,1,measured
363,2716,0,1,measured
364,6D6D,0,1,measured
365,A8DF,0,1,measured
366,FFB4,0,1,measured
367,4D25,0,1,measured
368,92D2,0,1,measured
369,BF66,0,1,measured
370,0C2F,0,1,measured
371,51C6,0,1,measured
372,9B32,0,1,measured
373,1AAE,0,1,measured
374,9B25,0,1,measured
375,E494,0,1,measured
376,2D10,0,1,measured
377,7633,0,1,measured
378,96C2,0,1,measured
379,D9E9,0,1,measured
380,2759,0,1,measured
381,2759,0,1,measured
382,5737,0,1,measured
383,8208,0,1,measured
384,CB04,0,1,measured
385,13D5,0,1,measured
386,BB44,0,1,measured
387,F64E,0,1,measured
388,3F58,0,1,measured
389,893B,0,1,measured
390,D1DB,0,1,measured
391,1B26,0,1,measured
392,7513,0,1,measured
393,0374,0,1,measured
394,4858,0,1,measured
395,95B2,0,1,measured
396,DEDC,0,1,measured
397,1C62,0,1,measured
398,7AD1,0,1,measured
399,B1EC,0,1,measured
400,B1EC,0,1,measured
401,FB89,0,1,measured
402,4445,0,1,measured
403,8D7E,0,1,measured
404,D6B9,0,1,measured
405,2098,0,1,measured
406,69D9,0,1,measured
407,B283,0,1,measured
408,F43A,0,1,measured
409,32BF,0,1,measured
410,720A,0,1,measured
411,C50F,0,1,measured
412,7DE4,0,1,measured
413,C6FE,0,1,measured
414,1024,0,1,measured
415,5962,0,1,measured
416,9791,0,1,measured
417,ED64,0,1,measured
418,2BE4,0,1,measured
419,2BE4,0,1,measured
420,747A,0,1,measured
421,9D37,0,1,measured
422,E6B1,0,1,measured
423,2F67,0,1,measured
424,AD6F,0,1,measured
425,C955,0,1,measured
426,1764,0,1,measured
427,5FF1,0,1,measured
428,A8AF,0,1,measured
429,F1FF,0,1,measured
430,3BAF,0,1,measured
431,D965,0,1,measured
432,1BE5,0,1,measured
433,58D9,0,1,measured
434,A1AB,0,1,measured
435,E035,0,1,measured
436,2869,0,1,measured
437,7194,0,1,measured
438,7194,0,1,measured
439,BBB2,0,1,measured
440,FFAA,0,1,measured
441,4D65,0,1,measured
442,9727,0,1,measured
443,DFBA,0,1,measured
444,2919,0,1,measured
445,726A,0,1,measured
446,A057,0,1,measured
447,CF2D,0,1,measured
448,1799,0,1,measured
449,6101,0,1,measured
450,4E88,0,1,measured
451,9AC4,0,1,measured
452,E588,0,1,measured
453,2B7D,0,1,measured
454,5ED1,0,1,measured
455,B51D,0,1,measured
456,0202,0,1,measured
457,0202,0,1,measured
458,47BB,0,1,measured
459,8956,0,1,measured
460,CACD,0,1,measured
461,1046,0,1,measured
462,5A4C,0,1,measured
463,CA8E,0,1,measured
464,0651,0,1,measured
465,4A96,0,1,measured
466,A2B1,0,1,measured
467,DDA4,0,1,measured
468,27EC,0,1,measured
469,BD72,0,1,measured
470,0CAD,0,1,measured
471,3D4A,0,1,measured
472,8F4A,0,1,measured
473,C413,0,1,measured
474,0E4F,0,1,measured
475,68D0,0,1,measured
476,68D0,0,1,measured
477,9BAA,0,1,measured
478,E4EA,0,1,measured
479,2E86,0,1,measured
480,7723,0,1,measured
481,C008,0,1,measured
482,092F,0,1,measured
483,52FB,0,1,measured
484,9C0B,0,1,measured
485,C521,0,1,measured
486,BCB2,0,1,measured
487,0632,0,1,measured
488,4231,0,1,measured
489,780C,0,1,measured
490,C118,0,1,measured
491,0AF7,0,1,measured
492,51EF,0,1,measured
493,91DD,0,1,measured
494,F5E0,0,1,measured
495,F5E0,0,1,measured
496,2516,0,1,measured
497,6D67,0,1,measured
498,B667,0,1,measured
499,00D9,0,1,measured
500,4421,0,1,measured
501,911F,0,1,measured
502,F4C9,0,1,measured
503,218F,0,1,measured
504,6A9F,0,1,measured
505,B3F4,0,1,measured
506,FD11,0,1,measured
507,9BDE,0,1,measured
508,E5B0,0,1,measured
509,36CF,0,1,measured
510,5598,0,1,measured
511,87D0,0,1,measured
512,D0A2,0,1,measured
513,63BA,0,1,measured
514,63BA,0,1,measured
515,8D3E,0,1,measured
516,DB5D,0,1,measured
517,2416,0,1,measured
518,6CDC,0,1,measured
519,B6F6,0,1,measured
520,FF06,0,1,measured
521,63A8,0,1,measured
522,9309,0,1,measured
523,DAF9,0,1,measured
524,2447,0,1,measured
