offset,seed,band,boots,how
268,9672,0,1,measured
269,D4FA,0,1,measured
270,1F61,0,1,measured
271,926F,0,1,measured
272,CF41,0,1,measured
273,1725,0,1,measured
274,6007,0,1,measured
275,A965,0,1,measured
276,EE9A,0,1,measured
277,3BCA,0,1,measured
278,8509,0,1,measured
279,CE40,0,1,measured
280,13D5,0,1,measured
281,5C68,0,1,measured
282,A315,0,1,measured
283,5235,0,1,measured
284,7D70,0,1,measured
285,C67F,0,1,measured
286,0F62,0,1,measured
287,58E5,0,1,measured
288,A26F,0,1,measured
289,06C6,0,1,measured
290,3040,0,1,measured
291,7E65,0,1,measured
292,C700,0,1,measured
293,1036,0,1,measured
294,59A1,0,1,measured
295,A2D5,0,1,measured
296,0930,0,1,measured
297,393D,0,1,measured
298,D6DD,0,1,measured
299,20FB,0,1,measured
300,6A0C,0,1,measured
301,AFD1,0,1,measured
302,ED80,0,1,measured
303,36B2,0,1,measured
304,7427,0,1,measured
305,7427,0,1,measured
306,B6B9,0,1,measured
307,FF81,0,1,measured
308,48C7,0,1,measured
309,C8AD,0,1,measured
310,F4BC,0,1,measured
311,3DC3,0,1,measured
312,8697,0,1,measured
313,D028,0,1,measured
314,19B8,0,1,measured
315,77B2,0,1,measured
316,AAE2,0,1,measured
317,282F,0,1,measured
318,7126,0,1,measured
319,B5A6,0,1,measured
320,0310,0,1,measured
321,8089,0,1,measured
322,A3BA,0,1,measured
323,ECC3,0,1,measured
324,ECC3,0,1,measured
325,366D,0,1,measured
326,7F06,0,1,measured
327,C7C2,0,1,measured
328,110B,0,1,measured
329,5AD0,0,1,measured
330,A399,0,1,measured
331,E4BC,0,1,measured
332,23E4,0,1,measured
333,6BC1,0,1,measured
334,B540,0,1,measured
335,F9A8,0,1,measured
336,9C5E,0,1,measured
337,E64A,0,1,measured
338,2EDC,0,1,measured
339,783B,0,1,measured
340,B62C,0,1,measured
341,FEDF,0,1,measured
342,2A90,0,1,measured
343,2A90,0,1,measured
344,57CC,0,1,measured
345,A173,0,1,measured
346,EA2D,0,1,measured
347,9999,0,1,measured
348,CC04,0,1,measured
349,185E,0,1,measured
350,5486,0,1,measured
351,ADD2,0,1,measured
352,F3BE,0,1,measured
353,3D15,0,1,measured
354,8AA9,0,1,measured
355,1B65,0,1,measured
356,5B28,0,1,measured
357,A1C6,0,1,measured
358,EB46,0,1,measured
359,55DF,0,1,measured
360,922F,0,1,measured
361,DB31,0,1,measured
362,DB31,0,1,measured
363,271A,0,1,measured
364,6D71,0,1,measured
365,A8E3,0,1,measured
366,FFB8,0,1,measured
367,4D29,0,1,measured
368,92D6,0,1,measured
369,BF6A,0,1,measured
370,0C33,0,1,measured
371,51CA,0,1,measured
372,9B36,0,1,measured
373,1AB2,0,1,measured
374,9B29,0,1,measured
375,E498,0,1,measured
376,2D14,0,1,measured
377,7637,0,1,measured
378,96C6,0,1,measured
379,D9ED,0,1,measured
380,275D,0,1,measured
381,275D,0,1,measured
382,573B,0,1,measured
383,820C,0,1,measured
384,CB08,0,1,measured
385,13D9,0,1,measured
386,BB48,0,1,measured
387,F652,0,1,measured
388,3F5C,0,1,measured
389,893F,0,1,measured
390,D1DF,0,1,measured
391,1B2A,0,1,measured
392,7517,0,1,measured
393,0378,0,1,measured
394,485C,0,1,measured
395,95B6,0,1,measured
396,DEE0,0,1,measured
397,1C66,0,1,measured
398,7AD5,0,1,measured
399,B1F0,0,1,measured
400,B1F0,0,1,measured
401,FB8D,0,1,measured
402,4449,0,1,measured
403,8D82,0,1,measured
404,D6BD,0,1,measured
405,209C,0,1,measured
406,69DD,0,1,measured
407,B287,0,1,measured
408,F43E,0,1,measured
409,32C3,0,1,measured
410,720E,0,1,measured
411,C513,0,1,measured
412,7DE8,0,1,measured
413,C702,0,1,measured
414,1028,0,1,measured
415,5966,0,1,measured
416,9795,0,1,measured
417,ED68,0,1,measured
418,2BE8,0,1,measured
419,2BE8,0,1,measured
420,747E,0,1,measured
421,9D3B,0,1,measured
422,E6B5,0,1,measured
423,2F6B,0,1,measured
424,AD73,0,1,measured
425,C959,0,1,measured
426,1768,0,1,measured
427,5FF5,0,1,measured
428,A8B3,0,1,measured
429,F203,0,1,measured
430,3BB3,0,1,measured
431,D969,0,1,measured
432,1BE9,0,1,measured
433,58DD,0,1,measured
434,A1AF,0,1,measured
435,E039,0,1,measured
436,286D,0,1,measured
437,7198,0,1,measured
438,7198,0,1,measured
439,BBB6,0,1,measured
440,FFAE,0,1,measured
441,4D69,0,1,measured
442,972B,0,1,measured
443,DFBE,0,1,measured
444,291D,0,1,measured
445,726E,0,1,measured
446,A05B,0,1,measured
447,CF31,0,1,measured
448,179D,0,1,measured
449,6105,0,1,measured
450,4E8C,0,1,measured
451,9AC8,0,1,measured
452,E58C,0,1,measured
453,2B81,0,1,measured
454,5ED5,0,1,measured
455,B521,0,1,measured
456,0206,0,1,measured
457,0206,0,1,measured
458,47BF,0,1,measured
459,895A,0,1,measured
460,CAD1,0,1,measured
461,104A,0,1,measured
462,5A50,0,1,measured
463,CA92,0,1,measured
464,0655,0,1,measured
465,4A9A,0,1,measured
466,A2B5,0,1,measured
467,DDA8,0,1,measured
468,27F0,0,1,measured
469,BD76,0,1,measured
470,0CB1,0,1,measured
471,3D4E,0,1,measured
472,8F4E,0,1,measured
473,C417,0,1,measured
474,0E53,0,1,measured
475,68D4,0,1,measured
476,68D4,0,1,measured
477,9BAE,0,1,measured
478,E4EE,0,1,measured
479,2E8A,0,1,measured
480,7727,0,1,measured
481,C00C,0,1,measured
482,0933,0,1,measured
483,52FF,0,1,measured
484,9C0F,0,1,measured
485,C525,0,1,measured
486,BCB6,0,1,measured
487,0636,0,1,measured
488,4235,0,1,measured
489,7810,0,1,measured
490,C11C,0,1,measured
491,0AFB,0,1,measured
492,51F3,0,1,measured
493,91E1,0,1,measured
494,F5E4,0,1,measured
495,F5E4,0,1,measured
496,251A,0,1,measured
497,6D6B,0,1,measured
498,B66B,0,1,measured
499,00DD,0,1,measured
500,4425,0,1,measured
501,9123,0,1,measured
502,F4CD,0,1,measured
503,2193,0,1,measured
504,6AA3,0,1,measured
505,B3F8,0,1,measured
506,FD15,0,1,measured
507,9BE2,0,1,measured
508,E5B4,0,1,measured
509,36D3,0,1,measured
510,559C,0,1,measured
511,87D4,0,1,measured
512,D0A6,0,1,measured
513,63BE,0,1,measured
514,63BE,0,1,measured
515,8D42,0,1,measured
516,DB61,0,1,measured
517,241A,0,1,measured
518,6CE0,0,1,measured
519,B6FA,0,1,measured
520,FF0A,0,1,measured
521,63AC,0,1,measured
522,930D,0,1,measured
523,DAFD,0,1,measured
524,244B,0,1,measured
525,6D69,0,1,measured
526,357E,0,1,measured
527,5B1B,0,1,measured
528,A601,0,1,measured
529,E843,0,1,measured
530,29C4,0,1,measured
531,72EE,0,1,measured
532,BCAA,0,1,measured
533,BCAA,0,1,measured
534,0577,0,1,measured
535,4DF4,0,1,measured
536,90E2,0,1,measured
537,CDEB,0,1,measured
538,16D0,0,1,measured
539,6112,0,1,measured
540,A954,0,1,measured
541,F284,0,1,measured
542,3BBD,0,1,measured
543,8595,0,1,measured
544,CE84,0,1,measured
545,6C7A,0,1,measured
546,B5B9,0,1,measured
547,FF07,0,1,measured
548,2856,0,1,measured
549,4B8A,0,1,measured
550,93F4,0,1,measured
551,DD62,0,1,measured
552,DD62,0,1,measured
553,88D0,0,1,measured
554,BF6E,0,1,measured
555,0AF0,0,1,measured
556,5372,0,1,measured
557,9CCC,0,1,measured
558,E629,0,1,measured
559,304E,0,1,measured
560,6D33,0,1,measured
561,C1E6,0,1,measured
562,0392,0,1,measured
563,41A7,0,1,measured
564,DE8F,0,1,measured
565,56CF,0,1,measured
566,84F7,0,1,measured
567,CE13,0,1,measured
568,0A87,0,1,measured
569,5407,0,1,measured
570,9D9D,0,1,measured
571,9D9D,0,1,measured
572,E46F,0,1,measured
573,2CE7,0,1,measured
574,7615,0,1,measured
575,A0D9,0,1,measured
576,EEC5,0,1,measured
577,377C,0,1,measured
578,80BB,0,1,measured
579,01F7,0,1,measured
580,384B,0,1,measured
581,816D,0,1,measured
582,CB17,0,1,measured
583,68CC,0,1,measured
584,B225,0,1,measured
585,DC64,0,1,measured
586,25F3,0,1,measured
587,45E0,0,1,measured
588,7567,0,1,measured
589,B77D,0,1,measured
590,B77D,0,1,measured
591,0624,0,1,measured
592,BEE6,0,1,measured
593,E8D3,0,1,measured
594,31E8,0,1,measured
595,7AB7,0,1,measured
596,C42D,0,1,measured
597,0DC4,0,1,measured
598,762F,0,1,measured
599,A047,0,1,measured
600,E95D,0,1,measured
601,3232,0,1,measured
602,D0F7,0,1,measured
603,3736,0,1,measured
604,5CE9,0,1,measured
605,AB10,0,1,measured
606,E95D,0,1,measured
607,3412,0,1,measured
608,7BEE,0,1,measured
609,7BEE,0,1,measured
610,C53C,0,1,measured
611,1082,0,1,measured
612,56D5,0,1,measured
613,96DC,0,1,measured
614,B82B,0,1,measured
615,FF74,0,1,measured
616,4856,0,1,measured
617,EB7B,0,1,measured
618,1B4F,0,1,measured
619,6668,0,1,measured
620,A68C,0,1,measured
621,4BCD,0,1,measured
622,9503,0,1,measured
623,DF4D,0,1,measured
624,258E,0,1,measured
625,42AE,0,1,measured
626,6DB1,0,1,measured
627,B4F8,0,1,measured
628,B4F8,0,1,measured
629,FDDC,0,1,measured
630,97AE,0,1,measured
631,BED4,0,1,measured
632,0804,0,1,measured
633,5192,0,1,measured
634,9B20,0,1,measured
635,DE70,0,1,measured
636,2CBA,0,1,measured
637,756D,0,1,measured
638,BE20,0,1,measured
639,CA2D,0,1,measured
640,5A6C,0,1,measured
641,A3B9,0,1,measured
642,10D7,0,1,measured
643,569D,0,1,measured
644,948E,0,1,measured
645,DE6E,0,1,measured
646,2709,0,1,measured
647,2709,0,1,measured
648,704C,0,1,measured
649,BA70,0,1,measured
650,FE7D,0,1,measured
651,4C0D,0,1,measured
652,5B10,0,1,measured
653,857E,0,1,measured
654,CE0D,0,1,measured
655,176A,0,1,measured
656,BA41,0,1,measured
657,F32F,0,1,measured
658,3EFF,0,1,measured
659,DA04,0,1,measured
660,24E6,0,1,measured
661,6EC4,0,1,measured
662,B760,0,1,measured
663,F640,0,1,measured
664,30EC,0,1,measured
665,75E6,0,1,measured
666,75E6,0,1,measured
667,BEAB,0,1,measured
668,0879,0,1,measured
669,9AA7,0,1,measured
670,D574,0,1,measured
671,1EB4,0,1,measured
672,685D,0,1,measured
673,B081,0,1,measured
674,FA70,0,1,measured
675,42F3,0,1,measured
676,8DFE,0,1,measured
677,D5E0,0,1,measured
678,5CA5,0,1,measured
679,9E7E,0,1,measured
680,EE06,0,1,measured
681,8A49,0,1,measured
682,B5B3,0,1,measured
683,FEE6,0,1,measured
684,48A3,0,1,measured
685,48A3,0,1,measured
686,911D,0,1,measured
687,DA02,0,1,measured
688,233F,0,1,measured
689,6CF6,0,1,measured
690,B5C3,0,1,measured
691,E32E,0,1,measured
692,0F0B,0,1,measured
693,5701,0,1,measured
694,DEE3,0,1,measured
695,140A,0,1,measured
696,61D7,0,1,measured
697,0126,0,1,measured
698,5A39,0,1,measured
699,936F,0,1,measured
700,EA72,0,1,measured
701,1A4B,0,1,measured
702,628F,0,1,measured
703,AB89,0,1,measured
704,AB89,0,1,measured
705,F4A5,0,1,measured
706,3E68,0,1,measured
707,9BFF,0,1,measured
708,D441,0,1,measured
709,1EBA,0,1,measured
710,6201,0,1,measured
711,AFD1,0,1,measured
712,F913,0,1,measured
713,4262,0,1,measured
714,8BA6,0,1,measured
715,D566,0,1,measured
716,8583,0,1,measured
717,CEBC,0,1,measured
718,1855,0,1,measured
719,5587,0,1,measured
720,8509,0,1,measured
721,CE17,0,1,measured
722,17F0,0,1,measured
723,17F0,0,1,measured
724,60F4,0,1,measured
725,A5AE,0,1,measured
726,F26F,0,1,measured
727,3BB5,0,1,measured
728,84F3,0,1,measured
729,C6B1,0,1,measured
730,0503,0,1,measured
731,4DC2,0,1,measured
732,978A,0,1,measured
733,1B2D,0,1,measured
734,3F07,0,1,measured
735,DDDE,0,1,measured
736,2631,0,1,measured
737,6F61,0,1,measured
738,B9BC,0,1,measured
739,F10A,0,1,measured
740,3E33,0,1,measured
741,80F5,0,1,measured
742,80F5,0,1,measured
743,BE2B,0,1,measured
744,06EA,0,1,measured
745,502E,0,1,measured
746,9978,0,1,measured
747,E2AB,0,1,measured
748,2BDD,0,1,measured
749,75BC,0,1,measured
750,BE7E,0,1,measured
751,07AB,0,1,measured
752,5168,0,1,measured
753,9A26,0,1,measured
754,18AF,0,1,measured
755,4B0B,0,1,measured
756,9383,0,1,measured
757,DCE9,0,1,measured
758,7EEA,0,1,measured
759,B427,0,1,measured
760,FFB6,0,1,measured
761,FFB6,0,1,measured
762,49F7,0,1,measured
763,8FB2,0,1,measured
764,DAFD,0,1,measured
765,266A,0,1,measured
766,6DF0,0,1,measured
767,B6A0,0,1,measured
768,FA2D,0,1,measured
769,36CE,0,1,measured
770,7411,0,1,measured
771,C92D,0,1,measured
772,3797,0,1,measured
773,C82D,0,1,measured
774,127E,0,1,measured
775,5AA2,0,1,measured
776,A40A,0,1,measured
777,E4E0,0,1,measured
778,2C63,0,1,measured
779,7502,0,1,measured
780,7502,0,1,measured
781,A5D7,0,1,measured
782,EDCB,0,1,measured
783,3678,0,1,measured
784,B5A6,0,1,measured
785,DD9D,0,1,measured
786,2C36,0,1,measured
787,73D3,0,1,measured
788,BDD0,0,1,measured
789,0658,0,1,measured
790,50BC,0,1,measured
791,98DD,0,1,measured
792,1B0C,0,1,measured
793,495F,0,1,measured
794,91FE,0,1,measured
795,DAC4,0,1,measured
796,5ABB,0,1,measured
797,914A,0,1,measured
798,DBE8,0,1,measured
799,DBE8,0,1,measured
800,1F58,0,1,measured
801,6CAD,0,1,measured
802,C09F,0,1,measured
803,FE74,0,1,measured
804,5C58,0,1,measured
805,911B,0,1,measured
806,DAD3,0,1,measured
807,23E3,0,1,measured
808,6CA6,0,1,measured
809,B6A1,0,1,measured
810,1650,0,1,measured
811,9E71,0,1,measured
812,E7E4,0,1,measured
813,3161,0,1,measured
814,7460,0,1,measured
815,B715,0,1,measured
816,0117,0,1,measured
817,4996,0,1,measured
818,4996,0,1,measured
819,A7A9,0,1,measured
820,E519,0,1,measured
821,2E43,0,1,measured
822,7924,0,1,measured
823,C534,0,1,measured
824,0926,0,1,measured
825,5125,0,1,measured
826,9A58,0,1,measured
827,E294,0,1,measured
828,2C79,0,1,measured
829,8B49,0,1,measured
830,14BE,0,1,measured
831,3CB8,0,1,measured
832,859B,0,1,measured
833,CE45,0,1,measured
834,0C4A,0,1,measured
835,8E6E,0,1,measured
836,B2C5,0,1,measured
837,B2C5,0,1,measured
838,FBDB,0,1,measured
839,459B,0,1,measured
840,8DF5,0,1,measured
841,D6D2,0,1,measured
842,2012,0,1,measured
843,69E6,0,1,measured
844,B2DB,0,1,measured
845,F041,0,1,measured
846,31F4,0,1,measured
847,7AC7,0,1,measured
848,C3EE,0,1,measured
849,5FD8,0,1,measured
850,A88C,0,1,measured
851,F25B,0,1,measured
852,3B0C,0,1,measured
853,787F,0,1,measured
854,EA68,0,1,measured
855,28AA,0,1,measured
856,28AA,0,1,measured
857,71E5,0,1,measured
858,9F26,0,1,measured
859,CEF6,0,1,measured
860,1258,0,1,measured
861,60F3,0,1,measured
862,F692,0,1,measured
863,2576,0,1,measured
864,6F10,0,1,measured
865,B7A1,0,1,measured
866,00FB,0,1,measured
867,4A40,0,1,measured
868,E881,0,1,measured
869,31BB,0,1,measured
870,738C,0,1,measured
871,B12A,0,1,measured
872,EED2,0,1,measured
873,5B8B,0,1,measured
874,940D,0,1,measured
875,940D,0,1,measured
876,E3C8,0,1,measured
877,2D03,0,1,measured
878,762C,0,1,measured
879,BF6E,0,1,measured
880,08C9,0,1,measured
881,528A,0,1,measured
882,9BB8,0,1,measured
883,CA5C,0,1,measured
884,13E3,0,1,measured
885,5CA4,0,1,measured
886,A5D1,0,1,measured
887,427A,0,1,measured
888,8D97,0,1,measured
889,CFD3,0,1,measured
890,1F51,0,1,measured
891,5B2C,0,1,measured
892,A684,0,1,measured
893,F06E,0,1,measured
894,F06E,0,1,measured
895,39AA,0,1,measured
896,667B,0,1,measured
897,9579,0,1,measured
898,DE68,0,1,measured
899,2747,0,1,measured
900,DB98,0,1,measured
901,0AD0,0,1,measured
902,5796,0,1,measured
903,A0D1,0,1,measured
904,E765,0,1,measured
905,2814,0,1,measured
906,DE22,0,1,measured
907,194C,0,1,measured
908,632B,0,1,measured
909,AB69,0,1,measured
910,EAA9,0,1,measured
911,349E,0,1,measured
912,97B3,0,1,measured
913,97B3,0,1,measured
914,C876,0,1,measured
915,1169,0,1,measured
916,5BE1,0,1,measured
917,A452,0,1,measured
918,ED45,0,1,measured
919,3845,0,1,measured
920,74B7,0,1,measured
921,C86D,0,1,measured
922,0B1F,0,1,measured
923,495D,0,1,measured
924,919E,0,1,measured
925,4D3A,0,1,measured
926,83B7,0,1,measured
927,CCAA,0,1,measured
928,1ED4,0,1,measured
929,5524,0,1,measured
930,9DF7,0,1,measured
931,F374,0,1,measured
932,F374,0,1,measured
933,2FCE,0,1,measured
934,79D8,0,1,measured
935,B81D,0,1,measured
936,16E8,0,1,measured
937,556D,0,1,measured
938,9E38,0,1,measured
939,1048,0,1,measured
940,2B54,0,1,measured
941,7453,0,1,measured
942,BE17,0,1,measured
943,0674,0,1,measured
944,A50E,0,1,measured
945,EE6B,0,1,measured
946,3781,0,1,measured
947,786C,0,1,measured
948,ABDC,0,1,measured
949,EEC7,0,1,measured
950,1C1F,0,1,measured
951,1C1F,0,1,measured
952,9F93,0,1,measured
953,DF49,0,1,measured
954,287C,0,1,measured
955,7247,0,1,measured
956,BB08,0,1,measured
957,0439,0,1,measured
958,4DFE,0,1,measured
959,96BE,0,1,measured
960,DFF6,0,1,measured
961,05EC,0,1,measured
962,2A3E,0,1,measured
963,EEDD,0,1,measured
964,2689,0,1,measured
965,7718,0,1,measured
966,C076,0,1,measured
967,FEF3,0,1,measured
968,4846,0,1,measured
969,916A,0,1,measured
970,916A,0,1,measured
971,DB61,0,1,measured
972,248D,0,1,measured
973,6D24,0,1,measured
974,B67A,0,1,measured
975,FFB9,0,1,measured
976,48F5,0,1,measured
977,E3F0,0,1,measured
978,0820,0,1,measured
979,5336,0,1,measured
980,9584,0,1,measured
981,E31B,0,1,measured
982,8245,0,1,measured
983,CB76,0,1,measured
984,12C9,0,1,measured
985,5264,0,1,measured
986,67DD,0,1,measured
987,B0D7,0,1,measured
988,F9A7,0,1,measured
989,F9A7,0,1,measured
990,724E,0,1,measured
991,AE36,0,1,measured
992,F76E,0,1,measured
993,4121,0,1,measured
994,8AB4,0,1,measured
995,CE1D,0,1,measured
996,0056,0,1,measured
997,496F,0,1,measured
998,9196,0,1,measured
999,C003,0,1,measured
1000,EDC7,0,1,measured
1001,89E9,0,1,measured
1002,50FE,0,1,measured
1003,8A7A,0,1,measured
1004,D38D,0,1,measured
1005,1116,0,1,measured
1006,59B5,0,1,measured
1007,A301,0,1,measured
1008,A301,0,1,measured
1009,FD24,0,1,measured
1010,309B,0,1,measured
1011,7E6C,0,1,measured
1012,C81B,0,1,measured
1013,10F0,0,1,measured
1014,5A0E,0,1,measured
1015,A3E6,0,1,measured
1016,0CCA,0,1,measured
1017,3A19,0,1,measured
1018,8599,0,1,measured
1019,D008,0,1,measured
1020,6B5A,0,1,measured
1021,BBED,0,1,measured
1022,FEE3,0,1,measured
1023,485B,0,1,measured
1024,73C5,0,1,measured
1025,BEFE,0,1,measured
1026,061B,0,1,measured
1027,061B,0,1,measured
1028,4FE6,0,1,measured
1029,C8B9,0,1,measured
1030,0067,0,1,measured
1031,497A,0,1,measured
1032,9465,0,1,measured
1033,DBF3,0,1,measured
1034,2540,0,1,measured
1035,7747,0,1,measured
1036,B972,0,1,measured
1037,020F,0,1,measured
1038,2C72,0,1,measured
1039,BD80,0,1,measured
1040,10FD,0,1,measured
1041,84D7,0,1,measured
1042,AE2D,0,1,measured
1043,EB03,0,1,measured
1044,348D,0,1,measured
1045,7D27,0,1,measured
1046,7D27,0,1,measured
1047,C612,0,1,measured
1048,0F4D,0,1,measured
1049,58E0,0,1,measured
1050,A1D3,0,1,measured
1051,C8CC,0,1,measured
1052,0867,0,1,measured
1053,4F92,0,1,measured
1054,A70A,0,1,measured
1055,E15E,0,1,measured
1056,2FF1,0,1,measured
1057,778F,0,1,measured
1058,1561,0,1,measured
1059,5F73,0,1,measured
1060,A872,0,1,measured
