offset,seed,band,boots,how
6,836C,0,1,measured
7,AB5E,0,1,measured
8,F4D4,0,1,measured
9,3D9A,0,1,measured
10,86DF,0,1,measured
11,D023,0,1,measured
12,1963,0,1,measured
13,18D3,0,1,measured
14,3B66,0,1,measured
15,85BD,0,1,measured
16,85BD,0,1,measured
17,CD46,0,1,measured
18,6073,0,1,measured
19,A98A,0,1,measured
20,EBC3,0,1,measured
21,38AB,0,1,measured
22,5912,0,1,measured
23,9798,0,1,measured
24,DFED,0,1,measured
25,2922,0,1,measured
26,7267,0,1,measured
27,BBA7,0,1,measured
28,E469,0,1,measured
29,F781,0,1,measured
30,40C5,0,1,measured
31,8916,0,1,measured
32,D25B,0,1,measured
33,1BA3,0,1,measured
34,64E3,0,1,measured
35,AA3D,0,1,measured
36,F75A,0,1,measured
37,F75A,0,1,measured
38,40A3,0,1,measured
39,89DF,0,1,measured
40,8856,0,1,measured
41,ABE6,0,1,measured
42,F636,0,1,measured
43,3DFC,0,1,measured
44,8830,0,1,measured
45,CFFD,0,1,measured
46,1F04,0,1,measured
47,685E,0,1,measured
48,AF2D,0,1,measured
49,F0B5,0,1,measured
50,2F6F,0,1,measured
51,6EF4,0,1,measured
52,C20D,0,1,measured
53,0BC5,0,1,measured
54,53E8,0,1,measured
55,9CF7,0,1,measured
56,14F8,0,1,measured
57,5DE8,0,1,measured
58,A858,0,1,measured
59,F294,0,1,measured
60,397C,0,1,measured
61,804F,0,1,measured
62,C965,0,1,measured
63,F26E,0,1,measured
64,B35E,0,1,measured
65,CE95,0,1,measured
66,1AE4,0,1,measured
67,6515,0,1,measured
68,ACED,0,1,measured
69,F68D,0,1,measured
70,4028,0,1,measured
71,89E0,0,1,measured
72,D23E,0,1,measured
73,45B9,0,1,measured
74,6549,0,1,measured
75,AFBF,0,1,measured
76,F741,0,1,measured
77,418C,0,1,measured
78,8A2B,0,1,measured
79,D642,0,1,measured
80,1737,0,1,measured
81,6305,0,1,measured
82,D7A8,0,1,measured
83,F880,0,1,measured
84,42FF,0,1,measured
85,8A81,0,1,measured
86,D4CD,0,1,measured
87,1D68,0,1,measured
88,6738,0,1,measured
89,6738,0,1,measured
90,B060,0,1,measured
91,244F,0,1,measured
92,43D6,0,1,measured
93,8E30,0,1,measured
94,D5D5,0,1,measured
95,6394,0,1,measured
96,B1F0,0,1,measured
97,FB9A,0,1,measured
98,43FE,0,1,measured
99,B70F,0,1,measured
100,D70A,0,1,measured
101,216D,0,1,measured
102,6916,0,1,measured
103,B348,0,1,measured
104,FBF7,0,1,measured
105,45BC,0,1,measured
106,8EE7,0,1,measured
107,00EE,0,1,measured
108,2015,0,1,measured
109,6BF0,0,1,measured
110,AE68,0,1,measured
111,AE68,0,1,measured
112,FAE3,0,1,measured
113,4495,0,1,measured
114,8E29,0,1,measured
115,D7E6,0,1,measured
116,2036,0,1,measured
117,9581,0,1,measured
118,AECF,0,1,measured
119,F7D4,0,1,measured
120,417E,0,1,measured
121,D2DD,0,1,measured
122,1C18,0,1,measured
123,65F4,0,1,measured
124,AEE5,0,1,measured
125,EC3F,0,1,measured
126,2DF4,0,1,measured
127,76D0,0,1,measured
128,BFF7,0,1,measured
129,0FF8,0,1,measured
130,52E3,0,1,measured
131,A067,0,1,measured
132,EA47,0,1,measured
133,2E9D,0,1,measured
134,7C37,0,1,measured
135,C5ED,0,1,measured
136,0E9A,0,1,measured
137,5807,0,1,measured
138,8264,0,1,measured
139,B22A,0,1,measured
140,F0C8,0,1,measured
141,4426,0,1,measured
142,E9FE,0,1,measured
143,22E7,0,1,measured
144,6E59,0,1,measured
145,B6F2,0,1,measured
146,003A,0,1,measured
147,499C,0,1,measured
