offset,seed,band,boots,how
6,9ADB,0,1,measured
7,C2CD,0,1,measured
8,0C3F,0,1,measured
9,550A,0,1,measured
10,9E49,0,1,measured
11,E789,0,1,measured
12,30C9,0,1,measured
13,3085,0,1,measured
14,530B,0,1,measured
15,9D79,0,1,measured
16,9D79,0,1,measured
17,E4B0,0,1,measured
18,7698,0,1,measured
19,BE90,0,1,measured
20,0324,0,1,measured
21,50F3,0,1,measured
22,70F6,0,1,measured
23,AEFD,0,1,measured
24,F762,0,1,measured
25,4090,0,1,measured
26,89DF,0,1,measured
27,D316,0,1,measured
28,FBD8,0,1,measured
29,0EF5,0,1,measured
30,582C,0,1,measured
31,A089,0,1,measured
32,E9C9,0,1,measured
33,3307,0,1,measured
34,7C52,0,1,measured
35,C1A5,0,1,measured
36,0EC5,0,1,measured
37,0EC5,0,1,measured
38,5812,0,1,measured
39,A149,0,1,measured
40,A008,0,1,measured
41,C38B,0,1,measured
42,0DFB,0,1,measured
43,5582,0,1,measured
44,9FD2,0,1,measured
45,E77D,0,1,measured
46,366D,0,1,measured
47,7FF9,0,1,measured
48,C70C,0,1,measured
49,0816,0,1,measured
50,4672,0,1,measured
51,8660,0,1,measured
52,D993,0,1,measured
53,2361,0,1,measured
54,6B56,0,1,measured
55,B45C,0,1,measured
56,2C67,0,1,measured
57,755C,0,1,measured
58,BFBE,0,1,measured
59,0A2C,0,1,measured
60,5109,0,1,measured
61,97CA,0,1,measured
62,E0D4,0,1,measured
63,09DB,0,1,measured
64,C94E,0,1,measured
65,E4E2,0,1,measured
66,343B,0,1,measured
67,7B8A,0,1,measured
68,C5E5,0,1,measured
69,0DAF,0,1,measured
70,57A0,0,1,measured
71,A1A5,0,1,measured
72,EB37,0,1,measured
73,5DE7,0,1,measured
74,7CEF,0,1,measured
75,C770,0,1,measured
76,0ECA,0,1,measured
77,5A5B,0,1,measured
78,A19F,0,1,measured
79,EBD0,0,1,measured
80,3090,0,1,measured
81,7A79,0,1,measured
82,EF62,0,1,measured
83,1030,0,1,measured
84,5AB0,0,1,measured
85,A203,0,1,measured
86,EC66,0,1,measured
87,34DA,0,1,measured
88,7EF6,0,1,measured
89,7EF6,0,1,measured
90,C80E,0,1,measured
91,3C0A,0,1,measured
92,5B7A,0,1,measured
93,A785,0,1,measured
94,EE83,0,1,measured
95,7B14,0,1,measured
96,C95F,0,1,measured
97,135F,0,1,measured
98,5BA5,0,1,measured
99,CEC5,0,1,measured
100,EEBB,0,1,measured
101,392C,0,1,measured
102,8090,0,1,measured
103,CAEF,0,1,measured
104,1361,0,1,measured
105,5D6D,0,1,measured
106,A694,0,1,measured
107,1A9D,0,1,measured
108,392A,0,1,measured
109,8058,0,1,measured
110,C604,0,1,measured
111,C604,0,1,measured
112,126B,0,1,measured
113,5C12,0,1,measured
114,A587,0,1,measured
115,EFAC,0,1,measured
116,37E7,0,1,measured
117,AD25,0,1,measured
118,C672,0,1,measured
119,0F82,0,1,measured
120,5923,0,1,measured
121,EA65,0,1,measured
122,3538,0,1,measured
123,7D0B,0,1,measured
124,C564,0,1,measured
125,03CD,0,1,measured
126,456B,0,1,measured
127,8E3C,0,1,measured
128,D767,0,1,measured
129,276A,0,1,measured
130,6A5A,0,1,measured
131,B7D6,0,1,measured
132,01D2,0,1,measured
133,4615,0,1,measured
134,93A1,0,1,measured
135,DD71,0,1,measured
136,2619,0,1,measured
137,6FC6,0,1,measured
138,9A71,0,1,measured
139,C8C9,0,1,measured
140,083A,0,1,measured
141,5BAA,0,1,measured
142,0161,0,1,measured
143,3A50,0,1,measured
144,85E6,0,1,measured
145,CE60,0,1,measured
146,17AB,0,1,measured
147,610C,0,1,measured
148,AB02,0,1,measured
149,F43B,0,1,measured
150,3CC1,0,1,measured
151,7E4C,0,1,measured
152,BCE3,0,1,measured
153,058A,0,1,measured
154,8984,0,1,measured
155,AD5F,0,1,measured
156,FB27,0,1,measured
157,44D6,0,1,measured
158,8D0B,0,1,measured
159,D6B1,0,1,measured
160,1FF1,0,1,measured
161,6996,0,1,measured
162,B021,0,1,measured
163,DCAA,0,1,measured
164,2619,0,1,measured
165,6EEC,0,1,measured
166,B80E,0,1,measured
167,36C5,0,1,measured
168,4C7B,0,1,measured
169,963C,0,1,measured
170,D9BC,0,1,measured
171,270C,0,1,measured
172,7055,0,1,measured
173,B9F1,0,1,measured
174,02C9,0,1,measured
175,4B50,0,1,measured
176,76DE,0,1,measured
177,A492,0,1,measured
178,ED9C,0,1,measured
179,3796,0,1,measured
180,E953,0,1,measured
181,1A72,0,1,measured
182,65D8,0,1,measured
183,AC2A,0,1,measured
184,F5E1,0,1,measured
185,3AA4,0,1,measured
186,88A2,0,1,measured
187,EB93,0,1,measured
188,1B33,0,1,measured
189,644A,0,1,measured
190,ACEB,0,1,measured
191,F69F,0,1,measured
192,403F,0,1,measured
193,AB3E,0,1,measured
194,D1F1,0,1,measured
195,1EA0,0,1,measured
196,6A7D,0,1,measured
197,B2F6,0,1,measured
198,F800,0,1,measured
199,43FC,0,1,measured
200,8130,0,1,measured
201,D2F1,0,1,measured
202,1480,0,1,measured
203,5607,0,1,measured
204,9B72,0,1,measured
205,E4E1,0,1,measured
206,6701,0,1,measured
207,99F1,0,1,measured
208,E304,0,1,measured
209,2EC9,0,1,measured
210,7547,0,1,measured
211,BF0E,0,1,measured
212,0937,0,1,measured
213,4E18,0,1,measured
214,9715,0,1,measured
215,B73E,0,1,measured
216,0CBB,0,1,measured
217,522A,0,1,measured
218,9B86,0,1,measured
219,1ECE,0,1,measured
220,4353,0,1,measured
221,8C7A,0,1,measured
222,D629,0,1,measured
223,1E8B,0,1,measured
224,676D,0,1,measured
225,B084,0,1,measured
226,FA56,0,1,measured
227,436C,0,1,measured
228,6976,0,1,measured
229,A6AD,0,1,measured
230,EA95,0,1,measured
231,383A,0,1,measured
232,848C,0,1,measured
233,C9BC,0,1,measured
234,127D,0,1,measured
235,5C60,0,1,measured
236,A4FC,0,1,measured
237,EE39,0,1,measured
238,382A,0,1,measured
239,80AA,0,1,measured
240,C9FD,0,1,measured
241,F4D2,0,1,measured
242,208F,0,1,measured
243,68B6,0,1,measured
244,3668,0,1,measured
245,471D,0,1,measured
246,9507,0,1,measured
247,DEE9,0,1,measured
248,263A,0,1,measured
249,7057,0,1,measured
250,B8B8,0,1,measured
251,0334,0,1,measured
252,4BF2,0,1,measured
253,8CF2,0,1,measured
254,CB3F,0,1,measured
255,141D,0,1,measured
256,5D44,0,1,measured
257,F4AC,0,1,measured
258,2991,0,1,measured
259,72C5,0,1,measured
260,B853,0,1,measured
261,0468,0,1,measured
262,4E71,0,1,measured
263,96E6,0,1,measured
264,E0FB,0,1,measured
265,2958,0,1,measured
266,2958,0,1,measured
267,5782,0,1,measured
268,ADF6,0,1,measured
269,ED15,0,1,measured
270,3661,0,1,measured
271,A9E6,0,1,measured
272,E6C7,0,1,measured
273,2EC1,0,1,measured
274,7775,0,1,measured
275,C0AB,0,1,measured
276,0622,0,1,measured
277,533F,0,1,measured
278,9C6C,0,1,measured
279,E5AF,0,1,measured
280,2B4D,0,1,measured
281,73F0,0,1,measured
282,BA7B,0,1,measured
283,69DF,0,1,measured
284,950E,0,1,measured
285,DE22,0,1,measured
286,26D1,0,1,measured
287,728D,0,1,measured
288,B775,0,1,measured
289,1BEB,0,1,measured
290,47EB,0,1,measured
291,95A2,0,1,measured
292,DF5D,0,1,measured
293,279E,0,1,measured
294,713B,0,1,measured
295,BA78,0,1,measured
