offset,seed,band,boots,how
6,836C,0,1,measured
7,AB5A,0,1,measured
8,F4D4,0,1,measured
9,3D9A,0,1,measured
10,86E3,0,1,measured
11,D023,0,1,measured
12,1963,0,1,measured
13,1920,0,1,measured
14,3B97,0,1,measured
15,8608,0,1,measured
16,8608,0,1,measured
17,D049,0,1,measured
18,5F2B,0,1,measured
19,A721,0,1,measured
20,EBB5,0,1,measured
21,3977,0,1,measured
22,598E,0,1,measured
23,979B,0,1,measured
24,DFEF,0,1,measured
25,2921,0,1,measured
26,7271,0,1,measured
27,BBA7,0,1,measured
28,E465,0,1,measured
29,F78B,0,1,measured
30,40BC,0,1,measured
31,891A,0,1,measured
32,D260,0,1,measured
33,1BA3,0,1,measured
34,64E3,0,1,measured
35,AA3B,0,1,measured
36,F75B,0,1,measured
37,F75B,0,1,measured
38,40A3,0,1,measured
39,89E3,0,1,measured
40,88A2,0,1,measured
41,AC27,0,1,measured
42,F68A,0,1,measured
43,3E06,0,1,measured
44,886A,0,1,measured
45,D016,0,1,measured
46,1F06,0,1,measured
47,68F0,0,1,measured
48,AF2B,0,1,measured
49,F0B5,0,1,measured
50,2F00,0,1,measured
51,6EFF,0,1,measured
52,C222,0,1,measured
53,0BFD,0,1,measured
54,53E7,0,1,measured
55,9CED,0,1,measured
56,14F2,0,1,measured
57,5DE9,0,1,measured
58,A858,0,1,measured
59,F2C5,0,1,measured
60,398F,0,1,measured
61,804F,0,1,measured
62,C964,0,1,measured
63,F269,0,1,measured
64,B1D7,0,1,measured
65,CD72,0,1,measured
66,1CC1,0,1,measured
67,6421,0,1,measured
68,AE74,0,1,measured
69,F642,0,1,measured
70,402A,0,1,measured
71,8A3C,0,1,measured
72,D3C7,0,1,measured
73,4678,0,1,measured
74,657E,0,1,measured
75,B008,0,1,measured
76,FA37,0,1,measured
77,4037,0,1,measured
78,8A2B,0,1,measured
79,D463,0,1,measured
80,1929,0,1,measured
81,62FE,0,1,measured
82,D7FC,0,1,measured
83,F8C1,0,1,measured
84,4346,0,1,measured
85,8A99,0,1,measured
86,D4F4,0,1,measured
87,1D6B,0,1,measured
88,677F,0,1,measured
89,677F,0,1,measured
90,B0AC,0,1,measured
91,248F,0,1,measured
92,4770,0,1,measured
93,8CB8,0,1,measured
94,D722,0,1,measured
95,63A5,0,1,measured
96,B1E7,0,1,measured
97,FBE7,0,1,measured
98,4434,0,1,measured
99,B764,0,1,measured
100,D743,0,1,measured
101,21C7,0,1,measured
102,692E,0,1,measured
103,B381,0,1,measured
104,FBF2,0,1,measured
105,4604,0,1,measured
106,9131,0,1,measured
107,01B9,0,1,measured
108,2050,0,1,measured
109,6ABE,0,1,measured
