offset,seed,band,boots,how
268,ADEA,0,1,measured
269,ECFC,0,1,measured
270,3639,0,1,measured
271,A9DE,0,1,measured
272,E6B0,0,1,measured
273,2EC0,0,1,measured
274,7775,0,1,measured
275,C0B6,0,1,measured
276,0602,0,1,measured
277,533E,0,1,measured
278,9C6C,0,1,measured
279,E5B8,0,1,measured
280,2B4D,0,1,measured
281,73DC,0,1,measured
282,BA85,0,1,measured
283,69A8,0,1,measured
284,94DD,0,1,measured
285,DDE6,0,1,measured
286,26D1,0,1,measured
287,7218,0,1,measured
288,B759,0,1,measured
289,1BB4,0,1,measured
290,47AC,0,1,measured
291,956B,0,1,measured
292,DF27,0,1,measured
293,27A5,0,1,measured
294,7106,0,1,measured
295,BA42,0,1,measured
296,209F,0,1,measured
297,50A8,0,1,measured
298,EE54,0,1,measured
299,3861,0,1,measured
300,8185,0,1,measured
301,C744,0,1,measured
302,04F3,0,1,measured
303,4E2D,0,1,measured
304,8B96,0,1,measured
305,8B96,0,1,measured
306,CE1C,0,1,measured
307,16E7,0,1,measured
308,602B,0,1,measured
309,E023,0,1,measured
310,0C28,0,1,measured
311,5536,0,1,measured
312,9DFD,0,1,measured
313,E7A3,0,1,measured
314,3127,0,1,measured
315,8F21,0,1,measured
316,C257,0,1,measured
317,3FA0,0,1,measured
318,888A,0,1,measured
319,CD16,0,1,measured
320,1A7F,0,1,measured
321,97F8,0,1,measured
322,BB2F,0,1,measured
323,043B,0,1,measured
324,043B,0,1,measured
325,4DE4,0,1,measured
326,9674,0,1,measured
327,DF3B,0,1,measured
328,2871,0,1,measured
329,7247,0,1,measured
330,BAF8,0,1,measured
331,FC22,0,1,measured
332,3B9E,0,1,measured
333,8325,0,1,measured
334,CC66,0,1,measured
335,1122,0,1,measured
336,B3C8,0,1,measured
337,FDBB,0,1,measured
338,4658,0,1,measured
339,8FA7,0,1,measured
340,CD93,0,1,measured
341,164B,0,1,measured
342,4203,0,1,measured
343,4203,0,1,measured
344,6F3A,0,1,measured
345,B8E2,0,1,measured
346,019A,0,1,measured
347,B1DF,0,1,measured
348,E2E2,0,1,measured
349,2F86,0,1,measured
350,6BF5,0,1,measured
351,C53E,0,1,measured
352,0B2C,0,1,measured
353,5491,0,1,measured
354,A218,0,1,measured
355,32D4,0,1,measured
356,7297,0,1,measured
357,B93E,0,1,measured
358,02B6,0,1,measured
359,6D51,0,1,measured
360,A995,0,1,measured
361,F2DF,0,1,measured
362,F2DF,0,1,measured
363,3E93,0,1,measured
364,8497,0,1,measured
365,C052,0,1,measured
366,1728,0,1,measured
367,64A5,0,1,measured
368,AA3A,0,1,measured
369,D6D0,0,1,measured
370,239E,0,1,measured
371,6939,0,1,measured
372,B2AA,0,1,measured
373,3216,0,1,measured
374,B299,0,1,measured
375,FBFD,0,1,measured
376,4575,0,1,measured
377,8D9B,0,1,measured
378,AD36,0,1,measured
379,F157,0,1,measured
380,3ECE,0,1,measured
381,3ECE,0,1,measured
382,6EB7,0,1,measured
383,9974,0,1,measured
384,E27B,0,1,measured
385,2C6B,0,1,measured
386,D2B5,0,1,measured
387,0DC0,0,1,measured
388,56DC,0,1,measured
389,A0BA,0,1,measured
390,E954,0,1,measured
391,329A,0,1,measured
392,8CCD,0,1,measured
393,1A9B,0,1,measured
394,5FC5,0,1,measured
395,AD25,0,1,measured
396,F657,0,1,measured
397,33DD,0,1,measured
398,9245,0,1,measured
399,C953,0,1,measured
400,C953,0,1,measured
401,1306,0,1,measured
402,5BBB,0,1,measured
403,A4FB,0,1,measured
404,EE35,0,1,measured
405,3814,0,1,measured
406,814C,0,1,measured
407,CA37,0,1,measured
408,0BA3,0,1,measured
409,49E5,0,1,measured
410,897D,0,1,measured
411,DC82,0,1,measured
412,9558,0,1,measured
413,DE75,0,1,measured
414,278E,0,1,measured
415,70D9,0,1,measured
416,AF02,0,1,measured
417,04D7,0,1,measured
418,4357,0,1,measured
419,4357,0,1,measured
420,8BE2,0,1,measured
421,B4A8,0,1,measured
422,FE6D,0,1,measured
423,46DD,0,1,measured
424,C33F,0,1,measured
425,E0C1,0,1,measured
426,2E5F,0,1,measured
427,781D,0,1,measured
428,C07A,0,1,measured
429,097C,0,1,measured
430,52BC,0,1,measured
431,F180,0,1,measured
432,3275,0,1,measured
433,712D,0,1,measured
434,B91B,0,1,measured
435,F699,0,1,measured
436,4141,0,1,measured
437,8906,0,1,measured
438,8906,0,1,measured
439,D24E,0,1,measured
440,17A5,0,1,measured
441,64CF,0,1,measured
442,AE0E,0,1,measured
443,F7C7,0,1,measured
444,408E,0,1,measured
445,89DC,0,1,measured
446,B739,0,1,measured
447,E6A9,0,1,measured
448,2F9E,0,1,measured
449,77DE,0,1,measured
450,65FF,0,1,measured
451,B27E,0,1,measured
452,FCF7,0,1,measured
453,42AF,0,1,measured
454,75BE,0,1,measured
455,CD21,0,1,measured
456,1A09,0,1,measured
457,1A09,0,1,measured
458,5F39,0,1,measured
459,A0BF,0,1,measured
460,E238,0,1,measured
461,27B9,0,1,measured
462,7125,0,1,measured
463,E1FC,0,1,measured
464,1DBC,0,1,measured
465,620D,0,1,measured
466,BA2D,0,1,measured
467,F77B,0,1,measured
468,3D27,0,1,measured
469,D49E,0,1,measured
470,25C7,0,1,measured
471,5312,0,1,measured
472,A6BE,0,1,measured
473,DB91,0,1,measured
474,25CC,0,1,measured
475,804F,0,1,measured
476,804F,0,1,measured
477,B319,0,1,measured
478,FC54,0,1,measured
479,4606,0,1,measured
480,8E9E,0,1,measured
481,D77B,0,1,measured
482,2219,0,1,measured
483,69F9,0,1,measured
484,B27F,0,1,measured
485,DC99,0,1,measured
486,D433,0,1,measured
487,1DA3,0,1,measured
488,59A4,0,1,measured
489,8F76,0,1,measured
490,D885,0,1,measured
491,226C,0,1,measured
492,695B,0,1,measured
493,A948,0,1,measured
494,0D4B,0,1,measured
495,0D4B,0,1,measured
496,3C80,0,1,measured
497,85CA,0,1,measured
498,CDBF,0,1,measured
499,1750,0,1,measured
500,5B8E,0,1,measured
501,A89B,0,1,measured
502,0C38,0,1,measured
503,390C,0,1,measured
504,8208,0,1,measured
505,CC75,0,1,measured
506,1479,0,1,measured
507,B358,0,1,measured
508,FD23,0,1,measured
509,4E42,0,1,measured
510,6D17,0,1,measured
511,A141,0,1,measured
512,E75A,0,1,measured
513,79D2,0,1,measured
514,79D2,0,1,measured
515,A4BB,0,1,measured
516,F2D0,0,1,measured
517,3B80,0,1,measured
518,8446,0,1,measured
519,CE71,0,1,measured
520,1682,0,1,measured
521,7B1F,0,1,measured
522,AA7C,0,1,measured
523,F26B,0,1,measured
524,3BB0,0,1,measured
525,84D7,0,1,measured
526,4E9B,0,1,measured
527,7283,0,1,measured
528,BBC8,0,1,measured
529,FFAA,0,1,measured
530,4129,0,1,measured
531,8A5B,0,1,measured
532,D415,0,1,measured
533,D415,0,1,measured
534,1CEB,0,1,measured
535,6574,0,1,measured
536,A847,0,1,measured
537,E562,0,1,measured
538,2E32,0,1,measured
539,7878,0,1,measured
540,C0B6,0,1,measured
541,09F3,0,1,measured
542,5408,0,1,measured
543,9C72,0,1,measured
544,E59E,0,1,measured
545,83EA,0,1,measured
546,CD24,0,1,measured
547,167F,0,1,measured
548,3FC9,0,1,measured
549,62FE,0,1,measured
550,AB6A,0,1,measured
551,F4C6,0,1,measured
552,F4C6,0,1,measured
553,A03F,0,1,measured
554,D6DC,0,1,measured
555,225F,0,1,measured
556,6ADF,0,1,measured
557,B47F,0,1,measured
558,FE1D,0,1,measured
559,46DC,0,1,measured
560,84B0,0,1,measured
561,D948,0,1,measured
562,1B0B,0,1,measured
563,591A,0,1,measured
564,F5F3,0,1,measured
565,6E3E,0,1,measured
566,9C5C,0,1,measured
567,E57F,0,1,measured
568,2200,0,1,measured
569,6B79,0,1,measured
570,B506,0,1,measured
571,B506,0,1,measured
572,FBE8,0,1,measured
573,444A,0,1,measured
574,8D7B,0,1,measured
575,B851,0,1,measured
576,062C,0,1,measured
577,4EF8,0,1,measured
578,981F,0,1,measured
579,195C,0,1,measured
580,4FBA,0,1,measured
581,98DB,0,1,measured
582,E28A,0,1,measured
583,803F,0,1,measured
584,C99C,0,1,measured
585,F3D4,0,1,measured
586,3D86,0,1,measured
587,5D44,0,1,measured
588,8BE8,0,1,measured
589,D077,0,1,measured
