offset,seed,band,boots,how
6,9AC8,0,1,measured
7,C2C3,0,1,measured
8,0C2C,0,1,measured
9,5508,0,1,measured
10,9E49,0,1,measured
11,E788,0,1,measured
12,30C8,0,1,measured
13,3038,0,1,measured
14,52D7,0,1,measured
15,9D22,0,1,measured
16,9D22,0,1,measured
17,E4A2,0,1,measured
18,7683,0,1,measured
19,BE86,0,1,measured
20,02FC,0,1,measured
21,50C2,0,1,measured
22,70E3,0,1,measured
23,AEF3,0,1,measured
24,F754,0,1,measured
25,4091,0,1,measured
26,89CC,0,1,measured
27,D315,0,1,measured
28,FBCE,0,1,measured
29,0EEB,0,1,measured
30,582A,0,1,measured
31,A088,0,1,measured
32,E9C8,0,1,measured
33,3305,0,1,measured
34,7C48,0,1,measured
35,C1A3,0,1,measured
36,0EBB,0,1,measured
37,0EBB,0,1,measured
38,5808,0,1,measured
39,A149,0,1,measured
40,9FBB,0,1,measured
41,C356,0,1,measured
42,0DA5,0,1,measured
43,5555,0,1,measured
44,9F9A,0,1,measured
45,E764,0,1,measured
46,366B,0,1,measured
47,7FB8,0,1,measured
48,C6FC,0,1,measured
49,0814,0,1,measured
50,465F,0,1,measured
51,865F,0,1,measured
52,D971,0,1,measured
53,2323,0,1,measured
54,6B4C,0,1,measured
55,B45D,0,1,measured
56,2C5D,0,1,measured
57,7552,0,1,measured
58,BFB4,0,1,measured
59,09FC,0,1,measured
60,50D8,0,1,measured
61,97B4,0,1,measured
62,E0C1,0,1,measured
63,09D0,0,1,measured
64,C8EC,0,1,measured
65,E4AA,0,1,measured
66,33D8,0,1,measured
67,7B67,0,1,measured
68,C5B2,0,1,measured
69,0D89,0,1,measured
70,5799,0,1,measured
71,A158,0,1,measured
72,EAE8,0,1,measured
73,5D90,0,1,measured
74,7CAE,0,1,measured
75,C718,0,1,measured
76,0EAE,0,1,measured
77,5A11,0,1,measured
78,A194,0,1,measured
79,EB79,0,1,measured
80,3043,0,1,measured
81,7A63,0,1,measured
82,EF0D,0,1,measured
83,0FEE,0,1,measured
84,5A62,0,1,measured
85,A1EC,0,1,measured
86,EC32,0,1,measured
87,34DD,0,1,measured
88,7E99,0,1,measured
89,7E99,0,1,measured
90,C7C5,0,1,measured
91,3BB4,0,1,measured
