offset,seed,band,boots,how
6,9ACB,0,1,measured
7,C2BD,0,1,measured
8,0C2F,0,1,measured
9,550B,0,1,measured
10,9E42,0,1,measured
11,E782,0,1,measured
12,30C2,0,1,measured
13,3031,0,1,measured
14,52D6,0,1,measured
15,9D24,0,1,measured
16,9D24,0,1,measured
17,E4A7,0,1,measured
18,7685,0,1,measured
19,BE89,0,1,measured
20,0308,0,1,measured
21,50CF,0,1,measured
22,70EF,0,1,measured
23,AEF6,0,1,measured
24,F74F,0,1,measured
25,4093,0,1,measured
26,89CF,0,1,measured
27,D317,0,1,measured
28,FBDA,0,1,measured
29,0EEE,0,1,measured
30,582F,0,1,measured
31,A082,0,1,measured
32,E9CB,0,1,measured
33,3300,0,1,measured
34,7C4E,0,1,measured
35,C19E,0,1,measured
36,0EBE,0,1,measured
37,0EBE,0,1,measured
38,580D,0,1,measured
39,A142,0,1,measured
40,9FBE,0,1,measured
41,C356,0,1,measured
42,0DA6,0,1,measured
43,5564,0,1,measured
44,9F9B,0,1,measured
45,E75D,0,1,measured
46,3665,0,1,measured
47,7FBE,0,1,measured
48,C703,0,1,measured
49,0817,0,1,measured
50,466B,0,1,measured
51,8659,0,1,measured
52,D974,0,1,measured
53,232E,0,1,measured
54,6B57,0,1,measured
55,B455,0,1,measured
56,2C60,0,1,measured
57,754B,0,1,measured
58,BFB5,0,1,measured
59,09F7,0,1,measured
60,50DB,0,1,measured
61,97C0,0,1,measured
62,E0D1,0,1,measured
63,09D2,0,1,measured
64,C8FA,0,1,measured
65,E4AF,0,1,measured
66,33E7,0,1,measured
67,7B74,0,1,measured
68,C5B1,0,1,measured
69,0D80,0,1,measured
70,578E,0,1,measured
71,A152,0,1,measured
72,EAED,0,1,measured
73,5D8D,0,1,measured
74,7CB2,0,1,measured
75,C72A,0,1,measured
76,0EB3,0,1,measured
77,5A12,0,1,measured
78,A18D,0,1,measured
79,EB87,0,1,measured
80,3049,0,1,measured
81,7A66,0,1,measured
82,EF1B,0,1,measured
83,0FE7,0,1,measured
84,5A6A,0,1,measured
85,A1ED,0,1,measured
86,EC2C,0,1,measured
87,34D3,0,1,measured
88,7EA8,0,1,measured
89,7EA8,0,1,measured
90,C7C7,0,1,measured
91,3BAB,0,1,measured
92,5B32,0,1,measured
93,A71C,0,1,measured
94,EE44,0,1,measured
95,7B00,0,1,measured
96,C94D,0,1,measured
97,130F,0,1,measured
98,5B68,0,1,measured
99,CE7C,0,1,measured
100,EE7E,0,1,measured
101,38D5,0,1,measured
102,8073,0,1,measured
103,CAB1,0,1,measured
104,1361,0,1,measured
105,5D19,0,1,measured
106,A648,0,1,measured
107,1A1B,0,1,measured
108,38D1,0,1,measured
109,8037,0,1,measured
110,C5C9,0,1,measured
111,C5C9,0,1,measured
112,1256,0,1,measured
113,5BFF,0,1,measured
114,A58C,0,1,measured
115,EF50,0,1,measured
116,37A0,0,1,measured
117,ACE7,0,1,measured
118,C62D,0,1,measured
119,0F44,0,1,measured
120,58EF,0,1,measured
121,EA45,0,1,measured
122,34FC,0,1,measured
123,7CDE,0,1,measured
124,C552,0,1,measured
125,03A8,0,1,measured
126,455C,0,1,measured
127,8E35,0,1,measured
128,D760,0,1,measured
129,2763,0,1,measured
130,6A53,0,1,measured
131,B7CF,0,1,measured
132,01A6,0,1,measured
133,460E,0,1,measured
134,939A,0,1,measured
135,DD57,0,1,measured
136,2606,0,1,measured
137,6FB5,0,1,measured
138,9A5D,0,1,measured
139,C8C5,0,1,measured
140,0829,0,1,measured
141,5B89,0,1,measured
142,015A,0,1,measured
143,3A4A,0,1,measured
144,85C9,0,1,measured
145,CE52,0,1,measured
146,17A2,0,1,measured
147,6107,0,1,measured
148,AAE9,0,1,measured
149,F417,0,1,measured
150,3CB4,0,1,measured
151,7E45,0,1,measured
152,BCDC,0,1,measured
153,058B,0,1,measured
154,8947,0,1,measured
155,AD2E,0,1,measured
156,FADE,0,1,measured
157,449C,0,1,measured
158,8D0F,0,1,measured
159,D674,0,1,measured
160,1FA9,0,1,measured
161,6951,0,1,measured
162,B01B,0,1,measured
163,DCAE,0,1,measured
164,2612,0,1,measured
165,6EDC,0,1,measured
166,B811,0,1,measured
167,3643,0,1,measured
168,4C34,0,1,measured
169,95FF,0,1,measured
170,D997,0,1,measured
171,26E4,0,1,measured
172,7024,0,1,measured
173,B9D2,0,1,measured
174,02AC,0,1,measured
175,4B49,0,1,measured
176,76B9,0,1,measured
177,A484,0,1,measured
178,ED95,0,1,measured
179,3771,0,1,measured
180,E924,0,1,measured
181,1A28,0,1,measured
182,6559,0,1,measured
183,AC2E,0,1,measured
184,F5AC,0,1,measured
185,3A5D,0,1,measured
186,8865,0,1,measured
187,EB4A,0,1,measured
188,1AF6,0,1,measured
189,6415,0,1,measured
190,ACD3,0,1,measured
191,F663,0,1,measured
192,4000,0,1,measured
193,AB0C,0,1,measured
194,D199,0,1,measured
