offset,seed,band,boots,how
6,836C,0,1,measured
7,AB67,0,1,measured
8,F4D4,0,1,measured
9,3DAC,0,1,measured
10,86DF,0,1,measured
11,D02C,0,1,measured
12,196C,0,1,measured
13,18D2,0,1,measured
14,3B6F,0,1,measured
15,85C6,0,1,measured
16,85C6,0,1,measured
17,CD4F,0,1,measured
18,6073,0,1,measured
19,A993,0,1,measured
20,EBCC,0,1,measured
21,38B7,0,1,measured
22,591B,0,1,measured
23,9797,0,1,measured
24,DFEB,0,1,measured
25,2934,0,1,measured
26,7279,0,1,measured
27,BBB9,0,1,measured
28,E472,0,1,measured
29,F794,0,1,measured
30,40CF,0,1,measured
31,8928,0,1,measured
32,D26E,0,1,measured
33,1BAC,0,1,measured
34,64E3,0,1,measured
35,AA3C,0,1,measured
36,F76D,0,1,measured
37,F76D,0,1,measured
38,40A3,0,1,measured
39,89DF,0,1,measured
40,885F,0,1,measured
41,ABEF,0,1,measured
42,F646,0,1,measured
43,3DFB,0,1,measured
44,8844,0,1,measured
45,D006,0,1,measured
46,1F03,0,1,measured
47,685D,0,1,measured
48,AF3B,0,1,measured
49,F0B2,0,1,measured
50,2F79,0,1,measured
51,6EFD,0,1,measured
52,C215,0,1,measured
53,0BCC,0,1,measured
54,53F1,0,1,measured
55,9CF6,0,1,measured
56,1501,0,1,measured
57,5DF1,0,1,measured
58,A856,0,1,measured
59,F29D,0,1,measured
60,3985,0,1,measured
61,8058,0,1,measured
62,C96E,0,1,measured
63,F26D,0,1,measured
64,B35A,0,1,measured
65,CEA9,0,1,measured
66,1ADF,0,1,measured
67,651D,0,1,measured
68,ACF7,0,1,measured
69,F696,0,1,measured
70,4030,0,1,measured
71,89E1,0,1,measured
72,D249,0,1,measured
73,45C2,0,1,measured
74,6552,0,1,measured
75,AFC8,0,1,measured
76,F755,0,1,measured
77,418C,0,1,measured
78,8A3E,0,1,measured
79,D64A,0,1,measured
80,1741,0,1,measured
81,6307,0,1,measured
82,D7B1,0,1,measured
83,F888,0,1,measured
84,42FC,0,1,measured
85,8A94,0,1,measured
86,D4D7,0,1,measured
87,1D78,0,1,measured
88,6740,0,1,measured
89,6740,0,1,measured
90,B069,0,1,measured
91,2458,0,1,measured
92,43D3,0,1,measured
93,8E39,0,1,measured
94,D5DD,0,1,measured
95,6397,0,1,measured
96,B1F0,0,1,measured
97,FBAF,0,1,measured
98,43FD,0,1,measured
99,B723,0,1,measured
100,D71D,0,1,measured
101,2173,0,1,measured
102,6916,0,1,measured
103,B351,0,1,measured
104,FC03,0,1,measured
105,45C5,0,1,measured
106,8EEF,0,1,measured
107,00EF,0,1,measured
108,201E,0,1,measured
109,6C02,0,1,measured
110,AE68,0,1,measured
111,AE68,0,1,measured
112,FAF5,0,1,measured
113,4495,0,1,measured
114,8E2C,0,1,measured
115,D7FA,0,1,measured
116,203F,0,1,measured
117,9588,0,1,measured
118,AECE,0,1,measured
119,F7E5,0,1,measured
120,4187,0,1,measured
121,D2EF,0,1,measured
122,1C2D,0,1,measured
123,65FD,0,1,measured
124,AEEE,0,1,measured
125,EC4A,0,1,measured
126,2E07,0,1,measured
127,76D9,0,1,measured
128,C00C,0,1,measured
129,100A,0,1,measured
130,52F4,0,1,measured
131,A070,0,1,measured
132,EA50,0,1,measured
133,2EAF,0,1,measured
134,7C40,0,1,measured
135,C5F6,0,1,measured
136,0EA3,0,1,measured
137,5810,0,1,measured
138,8263,0,1,measured
139,B23F,0,1,measured
140,F0C9,0,1,measured
141,4439,0,1,measured
142,E9FB,0,1,measured
143,22E7,0,1,measured
144,6E62,0,1,measured
145,B6FC,0,1,measured
146,003D,0,1,measured
147,499E,0,1,measured
148,938B,0,1,measured
149,DCAF,0,1,measured
150,2556,0,1,measured
151,66E6,0,1,measured
152,A534,0,1,measured
153,EE26,0,1,measured
154,737F,0,1,measured
155,95C8,0,1,measured
156,E3F0,0,1,measured
157,2C71,0,1,measured
158,75A5,0,1,measured
159,BF15,0,1,measured
160,084A,0,1,measured
161,51CE,0,1,measured
162,99EB,0,1,measured
163,C5B4,0,1,measured
164,0EB9,0,1,measured
165,5785,0,1,measured
166,A0B4,0,1,measured
167,1D50,0,1,measured
168,34E1,0,1,measured
169,803A,0,1,measured
170,C22C,0,1,measured
171,0F8A,0,1,measured
172,58C5,0,1,measured
