offset,seed,band,boots,how
6,835B,0,1,measured
7,AB56,0,1,measured
8,F4C3,0,1,measured
9,3D9B,0,1,measured
10,86CE,0,1,measured
11,D01B,0,1,measured
12,1952,0,1,measured
13,18C1,0,1,measured
14,3B66,0,1,measured
15,85B9,0,1,measured
16,85B9,0,1,measured
17,CD3E,0,1,measured
18,6062,0,1,measured
19,A982,0,1,measured
20,EBBB,0,1,measured
21,38A3,0,1,measured
22,590A,0,1,measured
23,9786,0,1,measured
24,DFDA,0,1,measured
25,2923,0,1,measured
26,7268,0,1,measured
27,BBA8,0,1,measured
28,E461,0,1,measured
29,F782,0,1,measured
30,40BE,0,1,measured
31,8917,0,1,measured
32,D25B,0,1,measured
33,1B9B,0,1,measured
34,64D2,0,1,measured
35,AA2B,0,1,measured
36,F75C,0,1,measured
37,F75C,0,1,measured
38,4092,0,1,measured
39,89CE,0,1,measured
40,884E,0,1,measured
41,ABDC,0,1,measured
42,F639,0,1,measured
43,3DEC,0,1,measured
44,8833,0,1,measured
45,CFF5,0,1,measured
46,1EFC,0,1,measured
47,684B,0,1,measured
48,AF28,0,1,measured
49,F0A1,0,1,measured
50,2F68,0,1,measured
51,6EEC,0,1,measured
52,C204,0,1,measured
53,0BBB,0,1,measured
54,53E0,0,1,measured
55,9CE5,0,1,measured
56,14F0,0,1,measured
57,5DE9,0,1,measured
58,A845,0,1,measured
59,F28C,0,1,measured
60,396C,0,1,measured
61,8047,0,1,measured
62,C954,0,1,measured
63,F262,0,1,measured
64,B349,0,1,measured
65,CE98,0,1,measured
66,1AD0,0,1,measured
67,6511,0,1,measured
68,ACD4,0,1,measured
69,F690,0,1,measured
70,401E,0,1,measured
71,89D0,0,1,measured
72,D22F,0,1,measured
73,45B1,0,1,measured
74,6542,0,1,measured
75,AFB7,0,1,measured
76,F742,0,1,measured
77,417B,0,1,measured
78,8A2D,0,1,measured
79,D63A,0,1,measured
80,1726,0,1,measured
81,62F6,0,1,measured
82,D7A0,0,1,measured
83,F876,0,1,measured
84,42E9,0,1,measured
85,8A82,0,1,measured
86,D4BC,0,1,measured
87,1D68,0,1,measured
88,6735,0,1,measured
89,6735,0,1,measured
90,B057,0,1,measured
91,2447,0,1,measured
92,43C0,0,1,measured
93,8E24,0,1,measured
94,D5C3,0,1,measured
95,6386,0,1,measured
96,B1E0,0,1,measured
97,FB9F,0,1,measured
98,43EF,0,1,measured
99,B712,0,1,measured
100,D70D,0,1,measured
101,216D,0,1,measured
102,6907,0,1,measured
103,B344,0,1,measured
104,FBF3,0,1,measured
105,45B5,0,1,measured
106,8EDF,0,1,measured
107,00DE,0,1,measured
108,200C,0,1,measured
109,6BF4,0,1,measured
110,AE57,0,1,measured
111,AE57,0,1,measured
112,FAE4,0,1,measured
113,4483,0,1,measured
114,8E17,0,1,measured
115,D7E4,0,1,measured
116,2036,0,1,measured
117,9579,0,1,measured
118,AEBD,0,1,measured
119,F7D4,0,1,measured
120,417F,0,1,measured
121,D2DE,0,1,measured
122,1C1C,0,1,measured
123,65EC,0,1,measured
124,AEDD,0,1,measured
125,EC39,0,1,measured
126,2DF6,0,1,measured
127,76C8,0,1,measured
128,BFFB,0,1,measured
129,0FF9,0,1,measured
130,52E3,0,1,measured
131,A05F,0,1,measured
132,EA3F,0,1,measured
133,2E9E,0,1,measured
134,7C32,0,1,measured
135,C5E5,0,1,measured
136,0E92,0,1,measured
137,57FF,0,1,measured
138,8252,0,1,measured
139,B21F,0,1,measured
140,F0B8,0,1,measured
141,4427,0,1,measured
142,E9EA,0,1,measured
143,22D7,0,1,measured
144,6E52,0,1,measured
145,B6E6,0,1,measured
146,002A,0,1,measured
147,498D,0,1,measured
148,937B,0,1,measured
149,DC9E,0,1,measured
150,2545,0,1,measured
151,66D5,0,1,measured
152,A523,0,1,measured
153,EE15,0,1,measured
154,736E,0,1,measured
155,95B7,0,1,measured
156,E3DF,0,1,measured
157,2C60,0,1,measured
158,7594,0,1,measured
159,BF04,0,1,measured
160,0839,0,1,measured
161,51BD,0,1,measured
162,99DA,0,1,measured
163,C5A3,0,1,measured
164,0EA8,0,1,measured
165,5774,0,1,measured
166,A0A3,0,1,measured
167,1D35,0,1,measured
168,34D0,0,1,measured
169,8029,0,1,measured
170,C21B,0,1,measured
171,0F79,0,1,measured
172,58B4,0,1,measured
173,A262,0,1,measured
174,EB34,0,1,measured
175,33D9,0,1,measured
176,5F56,0,1,measured
177,8D13,0,1,measured
178,D623,0,1,measured
179,200A,0,1,measured
180,D1B4,0,1,measured
181,02BA,0,1,measured
182,4BEA,0,1,measured
183,94B8,0,1,measured
184,E002,0,1,measured
185,2020,0,1,measured
186,6E7F,0,1,measured
187,D302,0,1,measured
188,0385,0,1,measured
