offset,seed,band,boots,how
6,8363,0,1,measured
7,AB5E,0,1,measured
8,F4CB,0,1,measured
9,3DA3,0,1,measured
10,86D6,0,1,measured
11,D023,0,1,measured
12,195A,0,1,measured
13,18C9,0,1,measured
14,3B6E,0,1,measured
15,85C1,0,1,measured
16,85C1,0,1,measured
17,CD46,0,1,measured
18,606A,0,1,measured
19,A98A,0,1,measured
20,EBC3,0,1,measured
21,38AB,0,1,measured
22,5912,0,1,measured
23,978E,0,1,measured
24,DFE2,0,1,measured
25,292B,0,1,measured
26,7270,0,1,measured
27,BBB0,0,1,measured
28,E469,0,1,measured
29,F78A,0,1,measured
30,40C6,0,1,measured
31,891F,0,1,measured
32,D263,0,1,measured
33,1BA3,0,1,measured
34,64DA,0,1,measured
35,AA33,0,1,measured
36,F764,0,1,measured
37,F764,0,1,measured
38,409A,0,1,measured
39,89D6,0,1,measured
40,8856,0,1,measured
41,ABE4,0,1,measured
42,F641,0,1,measured
43,3DF4,0,1,measured
44,883B,0,1,measured
45,CFFD,0,1,measured
46,1F03,0,1,measured
47,6853,0,1,measured
48,AF30,0,1,measured
49,F0A9,0,1,measured
50,2F70,0,1,measured
51,6EF4,0,1,measured
52,C20C,0,1,measured
53,0BC3,0,1,measured
54,53E8,0,1,measured
55,9CED,0,1,measured
56,14F8,0,1,measured
57,5DF1,0,1,measured
58,A84D,0,1,measured
59,F294,0,1,measured
60,3974,0,1,measured
61,804F,0,1,measured
62,C95C,0,1,measured
63,F26A,0,1,measured
64,B351,0,1,measured
65,CEA0,0,1,measured
66,1AD8,0,1,measured
67,6519,0,1,measured
68,ACDC,0,1,measured
69,F698,0,1,measured
70,4026,0,1,measured
71,89D8,0,1,measured
72,D237,0,1,measured
73,45B9,0,1,measured
74,654A,0,1,measured
75,AFBF,0,1,measured
76,F74A,0,1,measured
77,4183,0,1,measured
78,8A35,0,1,measured
79,D642,0,1,measured
80,172E,0,1,measured
81,62FE,0,1,measured
82,D7A8,0,1,measured
83,F87E,0,1,measured
84,42F1,0,1,measured
85,8A8A,0,1,measured
86,D4C4,0,1,measured
87,1D70,0,1,measured
88,673D,0,1,measured
89,673D,0,1,measured
90,B05F,0,1,measured
91,244F,0,1,measured
92,43C8,0,1,measured
93,8E2C,0,1,measured
94,D5CB,0,1,measured
95,638E,0,1,measured
96,B1E8,0,1,measured
97,FBA7,0,1,measured
98,43F7,0,1,measured
99,B71A,0,1,measured
100,D715,0,1,measured
101,2175,0,1,measured
102,690F,0,1,measured
103,B34C,0,1,measured
104,FBFB,0,1,measured
105,45BD,0,1,measured
106,8EE7,0,1,measured
107,00E6,0,1,measured
108,2014,0,1,measured
109,6BFC,0,1,measured
110,AE5F,0,1,measured
111,AE5F,0,1,measured
112,FAEC,0,1,measured
113,448B,0,1,measured
114,8E1F,0,1,measured
115,D7EC,0,1,measured
116,203E,0,1,measured
117,9581,0,1,measured
118,AEC5,0,1,measured
119,F7DC,0,1,measured
120,4187,0,1,measured
121,D2E6,0,1,measured
122,1C24,0,1,measured
123,65F4,0,1,measured
124,AEE5,0,1,measured
125,EC41,0,1,measured
126,2DFE,0,1,measured
127,76D0,0,1,measured
128,C003,0,1,measured
129,1001,0,1,measured
130,52EB,0,1,measured
131,A067,0,1,measured
132,EA47,0,1,measured
133,2EA6,0,1,measured
134,7C3A,0,1,measured
135,C5ED,0,1,measured
136,0E9A,0,1,measured
137,5807,0,1,measured
138,825A,0,1,measured
139,B227,0,1,measured
140,F0C0,0,1,measured
141,442F,0,1,measured
142,E9F2,0,1,measured
143,22DF,0,1,measured
144,6E5A,0,1,measured
145,B6EE,0,1,measured
146,0032,0,1,measured
147,4995,0,1,measured
148,9383,0,1,measured
149,DCA6,0,1,measured
150,254D,0,1,measured
151,66DD,0,1,measured
152,A52B,0,1,measured
153,EE1D,0,1,measured
154,7376,0,1,measured
155,95BF,0,1,measured
156,E3E7,0,1,measured
157,2C68,0,1,measured
158,759C,0,1,measured
159,BF0C,0,1,measured
160,0841,0,1,measured
161,51C5,0,1,measured
162,99E2,0,1,measured
163,C5AB,0,1,measured
164,0EB0,0,1,measured
165,577C,0,1,measured
166,A0AB,0,1,measured
167,1D3D,0,1,measured
168,34D8,0,1,measured
169,8031,0,1,measured
170,C223,0,1,measured
171,0F81,0,1,measured
172,58BC,0,1,measured
173,A26A,0,1,measured
174,EB3C,0,1,measured
175,33E1,0,1,measured
176,5F5E,0,1,measured
177,8D1B,0,1,measured
