offset,seed,band,boots,how
6,9AEA,0,1,measured
7,C2E5,0,1,measured
8,0C4E,0,1,measured
9,552A,0,1,measured
10,9E6A,0,1,measured
11,E7A1,0,1,measured
12,30E1,0,1,measured
13,3050,0,1,measured
14,52F6,0,1,measured
15,9D42,0,1,measured
16,9D42,0,1,measured
17,E4C0,0,1,measured
18,76A5,0,1,measured
19,BEB1,0,1,measured
20,0327,0,1,measured
21,50EC,0,1,measured
22,7110,0,1,measured
23,AF15,0,1,measured
24,F76E,0,1,measured
25,40B3,0,1,measured
26,89EE,0,1,measured
27,D337,0,1,measured
28,FBF0,0,1,measured
29,0F0D,0,1,measured
30,584D,0,1,measured
31,A0AA,0,1,measured
32,E9E1,0,1,measured
33,331F,0,1,measured
34,7C61,0,1,measured
35,C1BD,0,1,measured
36,0EDD,0,1,measured
37,0EDD,0,1,measured
38,582C,0,1,measured
39,A16A,0,1,measured
40,9FD4,0,1,measured
41,C36D,0,1,measured
42,0DC4,0,1,measured
43,5579,0,1,measured
44,9FBB,0,1,measured
45,E784,0,1,measured
46,3693,0,1,measured
47,7FDB,0,1,measured
48,C725,0,1,measured
49,0836,0,1,measured
50,4681,0,1,measured
51,8678,0,1,measured
52,D993,0,1,measured
53,234D,0,1,measured
54,6B6E,0,1,measured
55,B474,0,1,measured
56,2C76,0,1,measured
57,756A,0,1,measured
58,BFD6,0,1,measured
59,0A1E,0,1,measured
60,5104,0,1,measured
61,97D6,0,1,measured
62,E0E3,0,1,measured
63,09EA,0,1,measured
64,C919,0,1,measured
65,E4C2,0,1,measured
66,3406,0,1,measured
67,7B92,0,1,measured
68,C5CA,0,1,measured
69,0DB9,0,1,measured
70,57AE,0,1,measured
71,A178,0,1,measured
72,EB0D,0,1,measured
73,5DAC,0,1,measured
74,7CD0,0,1,measured
75,C73A,0,1,measured
76,0ED2,0,1,measured
77,5A31,0,1,measured
78,A1AD,0,1,measured
79,EB9C,0,1,measured
80,3065,0,1,measured
81,7A85,0,1,measured
82,EF2F,0,1,measured
83,1010,0,1,measured
84,5A7A,0,1,measured
85,A20E,0,1,measured
86,EC52,0,1,measured
87,34FC,0,1,measured
88,7EB9,0,1,measured
89,7EB9,0,1,measured
90,C7E7,0,1,measured
91,3BD6,0,1,measured
92,5B51,0,1,measured
93,A73A,0,1,measured
94,EE65,0,1,measured
95,7B1F,0,1,measured
96,C96E,0,1,measured
97,132D,0,1,measured
98,5B7B,0,1,measured
99,CE9B,0,1,measured
100,EE9B,0,1,measured
101,38F7,0,1,measured
102,8093,0,1,measured
103,CACF,0,1,measured
104,1381,0,1,measured
105,5D43,0,1,measured
106,A665,0,1,measured
107,1A33,0,1,measured
108,38F0,0,1,measured
109,8057,0,1,measured
110,C5E8,0,1,measured
111,C5E8,0,1,measured
112,1272,0,1,measured
113,5C13,0,1,measured
114,A5A3,0,1,measured
115,EF75,0,1,measured
116,37C0,0,1,measured
117,AD0D,0,1,measured
118,C64C,0,1,measured
119,0F63,0,1,measured
120,5905,0,1,measured
121,EA6C,0,1,measured
122,351B,0,1,measured
123,7D06,0,1,measured
124,C57C,0,1,measured
125,03C7,0,1,measured
126,457B,0,1,measured
127,8E54,0,1,measured
128,D77F,0,1,measured
129,278B,0,1,measured
130,6A72,0,1,measured
131,B7EF,0,1,measured
132,01CE,0,1,measured
133,462D,0,1,measured
134,93B9,0,1,measured
135,DD6B,0,1,measured
136,2625,0,1,measured
137,6FDE,0,1,measured
138,9A71,0,1,measured
