offset,seed,band,boots,how
6,9ACD,0,1,measured
7,C2BF,0,1,measured
8,0C31,0,1,measured
9,550D,0,1,measured
10,9E44,0,1,measured
11,E784,0,1,measured
12,30C4,0,1,measured
13,3080,0,1,measured
14,5312,0,1,measured
15,9D74,0,1,measured
16,9D74,0,1,measured
17,E4A9,0,1,measured
18,7693,0,1,measured
19,BE8B,0,1,measured
20,031F,0,1,measured
21,50E5,0,1,measured
22,70F1,0,1,measured
23,AEF8,0,1,measured
24,F751,0,1,measured
25,4095,0,1,measured
26,89D1,0,1,measured
27,D319,0,1,measured
28,FBDC,0,1,measured
29,0EF0,0,1,measured
30,5831,0,1,measured
31,A084,0,1,measured
32,E9CD,0,1,measured
33,3302,0,1,measured
34,7C50,0,1,measured
35,C1A0,0,1,measured
36,0EC0,0,1,measured
37,0EC0,0,1,measured
38,580F,0,1,measured
39,A144,0,1,measured
40,A00C,0,1,measured
41,C391,0,1,measured
42,0DEA,0,1,measured
43,5574,0,1,measured
44,9FC8,0,1,measured
45,E779,0,1,measured
46,3674,0,1,measured
47,7FF4,0,1,measured
48,C6F9,0,1,measured
49,0811,0,1,measured
50,466D,0,1,measured
51,865B,0,1,measured
52,D98C,0,1,measured
53,2368,0,1,measured
54,6B59,0,1,measured
55,B461,0,1,measured
56,2C62,0,1,measured
57,754D,0,1,measured
58,BFB7,0,1,measured
59,0A27,0,1,measured
60,5104,0,1,measured
61,97C2,0,1,measured
62,E0D3,0,1,measured
63,09CC,0,1,measured
64,C949,0,1,measured
65,E4E7,0,1,measured
66,3431,0,1,measured
67,7B8D,0,1,measured
68,C5E1,0,1,measured
69,0DB3,0,1,measured
70,579A,0,1,measured
71,A1A1,0,1,measured
72,EB3A,0,1,measured
73,5DE2,0,1,measured
74,7CE9,0,1,measured
75,C769,0,1,measured
76,0ECD,0,1,measured
77,5A58,0,1,measured
78,A19A,0,1,measured
79,EBCF,0,1,measured
80,308B,0,1,measured
81,7A6F,0,1,measured
82,EF5D,0,1,measured
83,102A,0,1,measured
84,5AA9,0,1,measured
85,A1FC,0,1,measured
86,EC68,0,1,measured
87,34E0,0,1,measured
88,7EF4,0,1,measured
89,7EF4,0,1,measured
90,C814,0,1,measured
91,3C05,0,1,measured
92,5B70,0,1,measured
93,A782,0,1,measured
94,EE7E,0,1,measured
95,7B17,0,1,measured
96,C958,0,1,measured
97,135D,0,1,measured
98,5B96,0,1,measured
99,CEC0,0,1,measured
100,EEAA,0,1,measured
101,3925,0,1,measured
102,808E,0,1,measured
103,CAE8,0,1,measured
104,135A,0,1,measured
105,5D67,0,1,measured
106,A68B,0,1,measured
107,1AA0,0,1,measured
108,391E,0,1,measured
109,8053,0,1,measured
110,C5FF,0,1,measured
111,C5FF,0,1,measured
112,126D,0,1,measured
113,5C14,0,1,measured
114,A58E,0,1,measured
115,EF9A,0,1,measured
116,37E3,0,1,measured
117,AD26,0,1,measured
118,C664,0,1,measured
119,0F7D,0,1,measured
120,5926,0,1,measured
121,EA60,0,1,measured
122,3535,0,1,measured
123,7D06,0,1,measured
124,C55F,0,1,measured
125,03BF,0,1,measured
126,456A,0,1,measured
127,8E37,0,1,measured
128,D762,0,1,measured
129,2765,0,1,measured
130,6A55,0,1,measured
131,B7D1,0,1,measured
132,01C1,0,1,measured
133,4610,0,1,measured
134,9394,0,1,measured
135,DD76,0,1,measured
136,2611,0,1,measured
137,6FC1,0,1,measured
138,9A78,0,1,measured
139,C8C2,0,1,measured
140,0835,0,1,measured
141,5BAB,0,1,measured
142,0166,0,1,measured
143,3A4C,0,1,measured
144,85EB,0,1,measured
145,CE58,0,1,measured
146,17A4,0,1,measured
147,6100,0,1,measured
148,AB01,0,1,measured
149,F433,0,1,measured
150,3CB6,0,1,measured
151,7E47,0,1,measured
152,BCDE,0,1,measured
153,058D,0,1,measured
154,897F,0,1,measured
155,AD69,0,1,measured
156,FB22,0,1,measured
157,44C8,0,1,measured
158,8D0E,0,1,measured
159,D6AC,0,1,measured
160,1FEE,0,1,measured
161,6987,0,1,measured
162,B01E,0,1,measured
163,DCB0,0,1,measured
164,2614,0,1,measured
165,6EDE,0,1,measured
166,B809,0,1,measured
167,36B5,0,1,measured
168,4C6D,0,1,measured
169,962F,0,1,measured
170,D9AD,0,1,measured
171,2707,0,1,measured
172,7044,0,1,measured
173,B9F6,0,1,measured
174,02C4,0,1,measured
175,4B56,0,1,measured
176,76E2,0,1,measured
177,A490,0,1,measured
178,ED99,0,1,measured
179,3791,0,1,measured
180,E94E,0,1,measured
181,1A62,0,1,measured
182,65CA,0,1,measured
183,AC30,0,1,measured
184,F5E5,0,1,measured
185,3A95,0,1,measured
186,88A0,0,1,measured
187,EB82,0,1,measured
188,1B2C,0,1,measured
189,6450,0,1,measured
190,ACD5,0,1,measured
191,F699,0,1,measured
192,403B,0,1,measured
193,AB39,0,1,measured
194,D1EC,0,1,measured
195,1E9A,0,1,measured
196,6A76,0,1,measured
197,B2EE,0,1,measured
198,F7EF,0,1,measured
199,43F7,0,1,measured
