offset,seed,band,boots,how
6,9AC8,0,1,measured
7,C2C3,0,1,measured
8,0C2C,0,1,measured
9,5508,0,1,measured
10,9E49,0,1,measured
11,E788,0,1,measured
12,30C8,0,1,measured
13,3085,0,1,measured
14,5302,0,1,measured
15,9D64,0,1,measured
16,9D64,0,1,measured
17,E4A2,0,1,measured
18,768F,0,1,measured
19,BE8F,0,1,measured
20,031A,0,1,measured
21,50E9,0,1,measured
22,70E3,0,1,measured
23,AEF3,0,1,measured
24,F754,0,1,measured
25,4090,0,1,measured
26,89CC,0,1,measured
27,D315,0,1,measured
28,FBCE,0,1,measured
29,0EEB,0,1,measured
30,582A,0,1,measured
31,A088,0,1,measured
32,E9C8,0,1,measured
33,3305,0,1,measured
34,7C48,0,1,measured
35,C1A3,0,1,measured
36,0EBB,0,1,measured
37,0EBB,0,1,measured
38,5808,0,1,measured
39,A149,0,1,measured
40,A007,0,1,measured
41,C38B,0,1,measured
42,0DE7,0,1,measured
43,5570,0,1,measured
44,9FC5,0,1,measured
45,E77D,0,1,measured
46,366D,0,1,measured
47,7FEF,0,1,measured
48,C6FC,0,1,measured
49,080C,0,1,measured
50,465F,0,1,measured
51,865F,0,1,measured
52,D987,0,1,measured
53,2357,0,1,measured
54,6B55,0,1,measured
55,B45C,0,1,measured
56,2C5E,0,1,measured
57,7552,0,1,measured
58,BFB4,0,1,measured
59,0A2A,0,1,measured
60,5100,0,1,measured
61,97C0,0,1,measured
62,E0C1,0,1,measured
63,09D0,0,1,measured
64,C938,0,1,measured
65,E4E0,0,1,measured
66,3426,0,1,measured
67,7B7D,0,1,measured
68,C5E5,0,1,measured
69,0DAE,0,1,measured
70,5799,0,1,measured
71,A196,0,1,measured
72,EB35,0,1,measured
73,5DDD,0,1,measured
74,7CDD,0,1,measured
75,C76F,0,1,measured
76,0ECC,0,1,measured
77,5A5C,0,1,measured
78,A18A,0,1,measured
79,EBCB,0,1,measured
80,3086,0,1,measured
81,7A6A,0,1,measured
82,EF61,0,1,measured
83,101D,0,1,measured
84,5AAE,0,1,measured
85,A1F8,0,1,measured
86,EC58,0,1,measured
87,34DA,0,1,measured
88,7EED,0,1,measured
89,7EED,0,1,measured
90,C808,0,1,measured
91,3BF4,0,1,measured
