offset,seed,band,boots,how
6,9AEA,0,1,measured
7,C2E5,0,1,measured
8,0C4E,0,1,measured
9,552A,0,1,measured
10,9E6A,0,1,measured
11,E7A1,0,1,measured
12,30E1,0,1,measured
13,309D,0,1,measured
14,5324,0,1,measured
15,9D86,0,1,measured
16,9D86,0,1,measured
17,E4CD,0,1,measured
18,76B0,0,1,measured
19,BEA8,0,1,measured
20,0344,0,1,measured
21,5102,0,1,measured
22,7110,0,1,measured
23,AF1F,0,1,measured
24,F776,0,1,measured
25,40B3,0,1,measured
26,89EE,0,1,measured
27,D337,0,1,measured
28,FBF0,0,1,measured
29,0F0D,0,1,measured
30,584D,0,1,measured
31,A0AA,0,1,measured
32,E9E1,0,1,measured
33,331F,0,1,measured
34,7C61,0,1,measured
35,C1BD,0,1,measured
36,0EDD,0,1,measured
37,0EDD,0,1,measured
38,582C,0,1,measured
39,A16A,0,1,measured
40,A020,0,1,measured
41,C3AC,0,1,measured
42,0E09,0,1,measured
43,559A,0,1,measured
44,9FE9,0,1,measured
45,E79D,0,1,measured
46,3695,0,1,measured
47,8011,0,1,measured
48,C725,0,1,measured
49,0836,0,1,measured
50,4681,0,1,measured
51,8678,0,1,measured
52,D9A9,0,1,measured
53,2379,0,1,measured
54,6B76,0,1,measured
55,B47E,0,1,measured
56,2C76,0,1,measured
57,7574,0,1,measured
58,BFD4,0,1,measured
59,0A4C,0,1,measured
60,5116,0,1,measured
61,97D6,0,1,measured
62,E0E3,0,1,measured
63,09F2,0,1,measured
64,C966,0,1,measured
65,E502,0,1,measured
66,3449,0,1,measured
67,7B9F,0,1,measured
68,C605,0,1,measured
69,0DC9,0,1,measured
70,57BA,0,1,measured
71,A1BB,0,1,measured
72,EB56,0,1,measured
73,5E00,0,1,measured
74,7CFF,0,1,measured
75,C789,0,1,measured
76,0EDF,0,1,measured
77,5A7C,0,1,measured
78,A1AD,0,1,measured
79,EBEB,0,1,measured
80,30A8,0,1,measured
81,7A85,0,1,measured
82,EF85,0,1,measured
83,1046,0,1,measured
84,5AD5,0,1,measured
85,A226,0,1,measured
86,EC7D,0,1,measured
87,34F1,0,1,measured
88,7F10,0,1,measured
89,7F10,0,1,measured
90,C82B,0,1,measured
91,3C22,0,1,measured
92,5B8A,0,1,measured
93,A7A0,0,1,measured
94,EE9C,0,1,measured
95,7B2C,0,1,measured
96,C96E,0,1,measured
97,1377,0,1,measured
98,5BBD,0,1,measured
99,CEE8,0,1,measured
100,EECA,0,1,measured
101,3951,0,1,measured
102,80AB,0,1,measured
103,CB10,0,1,measured
104,1381,0,1,measured
105,5D87,0,1,measured
106,A6B2,0,1,measured
107,1ABC,0,1,measured
108,3939,0,1,measured
109,8079,0,1,measured
110,C61C,0,1,measured
111,C61C,0,1,measured
112,1280,0,1,measured
113,5C31,0,1,measured
114,A5A3,0,1,measured
115,EFBB,0,1,measured
116,37F6,0,1,measured
117,AD43,0,1,measured
118,C68A,0,1,measured
119,0F9A,0,1,measured
120,593B,0,1,measured
121,EA7D,0,1,measured
122,3550,0,1,measured
123,7D1B,0,1,measured
124,C571,0,1,measured
125,03E5,0,1,measured
126,457B,0,1,measured
127,8E54,0,1,measured
128,D77F,0,1,measured
129,2782,0,1,measured
130,6A72,0,1,measured
131,B7EF,0,1,measured
132,01E8,0,1,measured
133,462D,0,1,measured
134,93BD,0,1,measured
135,DD89,0,1,measured
136,262E,0,1,measured
137,6FDE,0,1,measured
138,9A92,0,1,measured
