offset,seed,band,boots,how
6,62A3,0,1,measured
7,ABF4,0,1,measured
8,F525,0,1,measured
9,07F5,0,1,measured
10,4CC0,0,1,measured
11,9AE3,0,1,measured
12,C2D5,0,1,measured
13,0C3E,0,1,measured
14,551A,0,1,measured
15,9E5A,0,1,measured
16,E79A,0,1,measured
17,30D1,0,1,measured
18,308D,0,1,measured
19,531C,0,1,measured
20,9D7D,0,1,measured
21,E4B6,0,1,measured
22,31DC,0,1,measured
23,76AB,0,1,measured
24,BE98,0,1,measured
25,0334,0,1,measured
26,50FC,0,1,measured
27,70FE,0,1,measured
28,AF11,0,1,measured
29,F766,0,1,measured
30,40A2,0,1,measured
31,89DE,0,1,measured
32,D326,0,1,measured
33,FBE9,0,1,measured
34,0EFD,0,1,measured
35,5834,0,1,measured
36,A091,0,1,measured
37,E9DA,0,1,measured
38,3317,0,1,measured
39,7C5A,0,1,measured
40,C1B5,0,1,measured
41,0ECD,0,1,measured
42,581A,0,1,measured
43,A15A,0,1,measured
44,A019,0,1,measured
45,C39E,0,1,measured
46,0DF7,0,1,measured
47,5589,0,1,measured
48,9FD5,0,1,measured
49,E8C4,0,1,measured
50,367F,0,1,measured
51,8001,0,1,measured
52,C710,0,1,measured
53,0826,0,1,measured
54,4671,0,1,measured
55,8668,0,1,measured
56,D991,0,1,measured
57,2369,0,1,measured
58,6C10,0,1,measured
59,B464,0,1,measured
60,E384,0,1,measured
61,2C6F,0,1,measured
62,755A,0,1,measured
63,BFD0,0,1,measured
64,0A3C,0,1,measured
65,5111,0,1,measured
66,97CF,0,1,measured
67,E0DC,0,1,measured
68,09E0,0,1,measured
69,C957,0,1,measured
70,E4F2,0,1,measured
71,3444,0,1,measured
72,7B98,0,1,measured
73,C5EE,0,1,measured
74,0EEE,0,1,measured
75,57A7,0,1,measured
76,A1AE,0,1,measured
77,EB3F,0,1,measured
78,5DE8,0,1,measured
79,7CF5,0,1,measured
80,C784,0,1,measured
81,0ED9,0,1,measured
82,5A64,0,1,measured
83,A19C,0,1,measured
84,EBBE,0,1,measured
85,30A0,0,1,measured
86,7A7C,0,1,measured
87,EF6A,0,1,measured
88,1035,0,1,measured
89,5AC3,0,1,measured
90,A217,0,1,measured
91,EC6F,0,1,measured
92,34E3,0,1,measured
93,7EF7,0,1,measured
94,C81B,0,1,measured
95,3C12,0,1,measured
96,5B77,0,1,measured
97,A78F,0,1,measured
98,EE69,0,1,measured
99,363D,0,1,measured
100,7B1C,0,1,measured
101,C95F,0,1,measured
102,1369,0,1,measured
103,5BA1,0,1,measured
104,CED8,0,1,measured
105,EEB8,0,1,measured
106,393E,0,1,measured
107,80A4,0,1,measured
108,CAFD,0,1,measured
109,1366,0,1,measured
110,5D74,0,1,measured
111,A6A6,0,1,measured
112,1AA4,0,1,measured
113,3929,0,1,measured
114,806A,0,1,measured
115,C5ED,0,1,measured
116,13B2,0,1,measured
117,5C23,0,1,measured
118,A59B,0,1,measured
119,EFB2,0,1,measured
120,37E7,0,1,measured
121,AD33,0,1,measured
122,C671,0,1,measured
123,0F8A,0,1,measured
124,592B,0,1,measured
125,A190,0,1,measured
126,EA6D,0,1,measured
127,3538,0,1,measured
128,7D0A,0,1,measured
129,C560,0,1,measured
130,03CC,0,1,measured
131,456A,0,1,measured
132,8E3A,0,1,measured
133,D8A7,0,1,measured
134,2773,0,1,measured
135,6A59,0,1,measured
136,B7DE,0,1,measured
137,01D8,0,1,measured
138,4614,0,1,measured
139,93A9,0,1,measured
140,DD82,0,1,measured
141,2621,0,1,measured
142,6FCE,0,1,measured
143,9A79,0,1,measured
144,C974,0,1,measured
145,0842,0,1,measured
146,5BBB,0,1,measured
147,01B0,0,1,measured
148,3A63,0,1,measured
149,85F7,0,1,measured
150,CE65,0,1,measured
151,17B2,0,1,measured
152,610C,0,1,measured
153,AB05,0,1,measured
154,F443,0,1,measured
155,3CC1,0,1,measured
156,7E4C,0,1,measured
157,BCEC,0,1,measured
158,0592,0,1,measured
159,89E0,0,1,measured
160,AD73,0,1,measured
161,FB25,0,1,measured
162,44D5,0,1,measured
163,8D13,0,1,measured
164,D6AD,0,1,measured
165,1FF9,0,1,measured
166,699E,0,1,measured
167,B028,0,1,measured
168,DCB2,0,1,measured
169,262B,0,1,measured
170,6EEB,0,1,measured
171,B81F,0,1,measured
172,36B6,0,1,measured
173,4C79,0,1,measured
174,963C,0,1,measured
175,D9C3,0,1,measured
176,270B,0,1,measured
177,705A,0,1,measured
178,BA02,0,1,measured
179,02DD,0,1,measured
180,4B58,0,1,measured
181,76EF,0,1,measured
182,A5D2,0,1,measured
183,ED9C,0,1,measured
184,379E,0,1,measured
185,E8DF,0,1,measured
186,1A78,0,1,measured
187,65D6,0,1,measured
188,AC21,0,1,measured
189,F5EA,0,1,measured
190,3AAE,0,1,measured
191,88AC,0,1,measured
192,EBC9,0,1,measured
193,1B3A,0,1,measured
194,645D,0,1,measured
195,ACF4,0,1,measured
196,F6A9,0,1,measured
197,4047,0,1,measured
198,AB51,0,1,measured
199,D1FB,0,1,measured
200,1E9F,0,1,measured
201,6A85,0,1,measured
202,B2F9,0,1,measured
203,F803,0,1,measured
204,4401,0,1,measured
205,8138,0,1,measured
206,D2F8,0,1,measured
207,1487,0,1,measured
208,560F,0,1,measured
209,9B83,0,1,measured
210,E4E9,0,1,measured
211,6732,0,1,measured
212,99F9,0,1,measured
213,E317,0,1,measured
214,2ED2,0,1,measured
215,7559,0,1,measured
216,BF0E,0,1,measured
217,093F,0,1,measured
218,4E23,0,1,measured
219,971D,0,1,measured
220,B747,0,1,measured
221,0CC3,0,1,measured
222,5232,0,1,measured
223,9B8E,0,1,measured
224,1F50,0,1,measured
225,435E,0,1,measured
226,8C75,0,1,measured
227,D633,0,1,measured
228,1E92,0,1,measured
229,6775,0,1,measured
230,B096,0,1,measured
231,FA60,0,1,measured
232,4375,0,1,measured
233,6975,0,1,measured
234,A6B4,0,1,measured
235,EAA7,0,1,measured
236,3979,0,1,measured
237,8500,0,1,measured
238,C9C4,0,1,measured
239,1289,0,1,measured
240,5C68,0,1,measured
241,A503,0,1,measured
242,EE41,0,1,measured
243,3831,0,1,measured
244,80B1,0,1,measured
245,CA0D,0,1,measured
246,F4E3,0,1,measured
247,20A0,0,1,measured
248,68BD,0,1,measured
249,3671,0,1,measured
250,4725,0,1,measured
251,9513,0,1,measured
252,DEE9,0,1,measured
253,264A,0,1,measured
254,7056,0,1,measured
255,B8C8,0,1,measured
256,033C,0,1,measured
257,4BFA,0,1,measured
258,8D04,0,1,measured
259,CB49,0,1,measured
260,1418,0,1,measured
261,5D4C,0,1,measured
262,F4E3,0,1,measured
263,29A1,0,1,measured
264,72CD,0,1,measured
265,B86B,0,1,measured
266,B86B,0,1,measured
267,0478,0,1,measured
268,4E93,0,1,measured
269,9705,0,1,measured
270,E108,0,1,measured
271,2976,0,1,measured
272,57A5,0,1,measured
273,AEC2,0,1,measured
274,EC84,0,1,measured
275,3670,0,1,measured
276,A9FE,0,1,measured
277,E6DF,0,1,measured
278,2ECF,0,1,measured
279,7783,0,1,measured
280,C0C3,0,1,measured
281,063C,0,1,measured
282,5359,0,1,measured
283,9C8F,0,1,measured
284,E5D0,0,1,measured
285,13F2,0,1,measured
286,2099,0,1,measured
287,6A54,0,1,measured
288,B142,0,1,measured
289,6273,0,1,measured
290,952B,0,1,measured
291,DE31,0,1,measured
292,26EC,0,1,measured
293,72A5,0,1,measured
294,B78C,0,1,measured
295,1C09,0,1,measured
296,4803,0,1,measured
297,95BA,0,1,measured
298,DF75,0,1,measured
299,27BC,0,1,measured
300,7150,0,1,measured
301,BA9A,0,1,measured
302,20ED,0,1,measured
303,5100,0,1,measured
304,9A1C,0,1,measured
305,E2BC,0,1,measured
306,2C6E,0,1,measured
307,7623,0,1,measured
308,BCAA,0,1,measured
309,050E,0,1,measured
310,4E4B,0,1,measured
311,8BA5,0,1,measured
312,CE3D,0,1,measured
313,1708,0,1,measured
314,6044,0,1,measured
315,E0BE,0,1,measured
316,0C6D,0,1,measured
317,558B,0,1,measured
318,9E1F,0,1,measured
