offset,seed,band,boots,how
6,9AD9,0,1,measured
7,C2CB,0,1,measured
8,0C41,0,1,measured
9,5503,0,1,measured
10,9E50,0,1,measured
11,E790,0,1,measured
12,30D0,0,1,measured
13,3040,0,1,measured
14,52D3,0,1,measured
15,9D2A,0,1,measured
16,9D2A,0,1,measured
17,E4B1,0,1,measured
18,78AE,0,1,measured
19,BF17,0,1,measured
20,0304,0,1,measured
21,50CA,0,1,measured
22,70EF,0,1,measured
23,AF01,0,1,measured
24,F75C,0,1,measured
25,408E,0,1,measured
26,89DE,0,1,measured
27,D314,0,1,measured
28,FBD6,0,1,measured
29,0EEE,0,1,measured
30,582D,0,1,measured
31,A088,0,1,measured
32,E9D0,0,1,measured
33,3310,0,1,measured
34,7C4D,0,1,measured
35,C1AB,0,1,measured
36,0ED0,0,1,measured
37,0ED0,0,1,measured
38,580C,0,1,measured
39,A148,0,1,measured
40,9FC3,0,1,measured
41,C353,0,1,measured
42,0DA3,0,1,measured
43,5569,0,1,measured
44,9F9D,0,1,measured
45,E768,0,1,measured
46,366B,0,1,measured
47,7FC0,0,1,measured
48,C69A,0,1,measured
49,088E,0,1,measured
50,466D,0,1,measured
51,866C,0,1,measured
52,D976,0,1,measured
53,2333,0,1,measured
54,6B5C,0,1,measured
55,B465,0,1,measured
56,2C65,0,1,measured
57,7555,0,1,measured
58,BFC0,0,1,measured
59,09FD,0,1,measured
60,50E0,0,1,measured
61,97BC,0,1,measured
62,E0D2,0,1,measured
63,09DB,0,1,measured
64,C903,0,1,measured
65,E4AF,0,1,measured
66,33E2,0,1,measured
67,7B79,0,1,measured
68,C5B1,0,1,measured
69,0D97,0,1,measured
70,579D,0,1,measured
71,A161,0,1,measured
72,EAF0,0,1,measured
73,5D92,0,1,measured
74,7CAD,0,1,measured
75,C72C,0,1,measured
76,0EAE,0,1,measured
77,58F9,0,1,measured
78,A3B9,0,1,measured
79,EB64,0,1,measured
80,2EA9,0,1,measured
81,7A72,0,1,measured
82,EF1E,0,1,measured
