offset,seed,band,boots,how
6,836C,0,1,measured
7,AB5E,0,1,measured
8,F4D4,0,1,measured
9,3D96,0,1,measured
10,86E3,0,1,measured
11,D023,0,1,measured
12,1963,0,1,measured
13,18D3,0,1,measured
14,3B66,0,1,measured
15,85BD,0,1,measured
16,85BD,0,1,measured
17,CD44,0,1,measured
18,6141,0,1,measured
19,A7AA,0,1,measured
20,EB97,0,1,measured
21,395D,0,1,measured
22,5982,0,1,measured
23,9794,0,1,measured
24,DFEF,0,1,measured
25,2921,0,1,measured
26,7271,0,1,measured
27,BBA7,0,1,measured
28,E469,0,1,measured
29,F781,0,1,measured
30,40C0,0,1,measured
31,891B,0,1,measured
32,D263,0,1,measured
33,1BA3,0,1,measured
34,64E0,0,1,measured
35,AA3E,0,1,measured
36,F763,0,1,measured
37,F763,0,1,measured
38,409F,0,1,measured
39,89DB,0,1,measured
40,8856,0,1,measured
41,ABE6,0,1,measured
42,F636,0,1,measured
43,3DFC,0,1,measured
44,8830,0,1,measured
45,CFFB,0,1,measured
46,1EFE,0,1,measured
47,6853,0,1,measured
48,AF2D,0,1,measured
49,F121,0,1,measured
50,2F00,0,1,measured
51,6EFF,0,1,measured
52,C209,0,1,measured
53,0BC6,0,1,measured
54,53EF,0,1,measured
55,9CF8,0,1,measured
56,14F8,0,1,measured
57,5DE8,0,1,measured
58,A853,0,1,measured
59,F290,0,1,measured
60,3973,0,1,measured
61,804F,0,1,measured
62,C965,0,1,measured
63,F26E,0,1,measured
64,B196,0,1,measured
65,CD42,0,1,measured
66,1C75,0,1,measured
67,640C,0,1,measured
68,AE44,0,1,measured
69,F62A,0,1,measured
70,4030,0,1,measured
71,89F4,0,1,measured
72,D383,0,1,measured
73,4625,0,1,measured
74,6540,0,1,measured
75,AFBF,0,1,measured
76,F741,0,1,measured
77,418C,0,1,measured
78,8C4C,0,1,measured
79,D3F7,0,1,measured
80,173C,0,1,measured
81,6305,0,1,measured
82,D7B1,0,1,measured
83,F880,0,1,measured
84,42FF,0,1,measured
85,8A81,0,1,measured
86,D4CB,0,1,measured
87,1D77,0,1,measured
88,6732,0,1,measured
89,6732,0,1,measured
90,B058,0,1,measured
91,244F,0,1,measured
92,43D6,0,1,measured
93,8E30,0,1,measured
94,D865,0,1,measured
95,639B,0,1,measured
96,B1F0,0,1,measured
97,FB9A,0,1,measured
98,43FE,0,1,measured
99,B70F,0,1,measured
100,D707,0,1,measured
101,2172,0,1,measured
102,690C,0,1,measured
103,B358,0,1,measured
104,FBF7,0,1,measured
105,45BC,0,1,measured
106,8EDA,0,1,measured
107,00EA,0,1,measured
108,232C,0,1,measured
109,68D8,0,1,measured
110,AE6A,0,1,measured
111,AE6A,0,1,measured
112,FAE3,0,1,measured
113,448D,0,1,measured
114,8E29,0,1,measured
115,D7E4,0,1,measured
116,203D,0,1,measured
117,957F,0,1,measured
118,AECC,0,1,measured
119,F7D4,0,1,measured
120,417E,0,1,measured
121,D2D8,0,1,measured
122,1C1D,0,1,measured
123,66E6,0,1,measured
124,ADE7,0,1,measured
125,EC38,0,1,measured
126,2DFC,0,1,measured
127,76D0,0,1,measured
128,BFF3,0,1,measured
129,1006,0,1,measured
130,52EB,0,1,measured
131,A067,0,1,measured
132,EA4B,0,1,measured
133,2E9D,0,1,measured
134,7C37,0,1,measured
135,C5E8,0,1,measured
136,0E9F,0,1,measured
137,580F,0,1,measured
138,833B,0,1,measured
139,B156,0,1,measured
140,F0C1,0,1,measured
141,4426,0,1,measured
142,E9EE,0,1,measured
143,22EB,0,1,measured
144,6E5F,0,1,measured
145,B6F5,0,1,measured
146,003A,0,1,measured
147,499C,0,1,measured
148,9382,0,1,measured
