offset,seed,band,boots,how
268,9672,0,1,measured
269,D588,0,1,measured
270,1ECA,0,1,measured
271,9277,0,1,measured
272,CF41,0,1,measured
273,1725,0,1,measured
274,602A,0,1,measured
275,A948,0,1,measured
276,EE8F,0,1,measured
277,3BCF,0,1,measured
278,84FD,0,1,measured
279,CE40,0,1,measured
280,13D5,0,1,measured
281,5C68,0,1,measured
282,A310,0,1,measured
283,5239,0,1,measured
284,7D67,0,1,measured
285,C67F,0,1,measured
286,0F62,0,1,measured
287,58E5,0,1,measured
288,A26F,0,1,measured
289,051D,0,1,measured
290,303D,0,1,measured
291,7DF7,0,1,measured
292,C7B8,0,1,measured
293,102F,0,1,measured
294,59A1,0,1,measured
295,A2D5,0,1,measured
296,092D,0,1,measured
297,393B,0,1,measured
298,D6E5,0,1,measured
299,20F2,0,1,measured
300,6A18,0,1,measured
301,AFD1,0,1,measured
302,ED7A,0,1,measured
303,36C1,0,1,measured
304,7429,0,1,measured
305,7429,0,1,measured
306,B6AD,0,1,measured
307,FF81,0,1,measured
308,48C7,0,1,measured
309,C8AD,0,1,measured
310,F4B7,0,1,measured
311,3DC7,0,1,measured
312,8697,0,1,measured
313,D028,0,1,measured
314,19B8,0,1,measured
315,77B2,0,1,measured
316,AAE2,0,1,measured
317,282A,0,1,measured
318,7124,0,1,measured
319,B59F,0,1,measured
320,0310,0,1,measured
321,8089,0,1,measured
322,A3BA,0,1,measured
323,ECC0,0,1,measured
324,ECC0,0,1,measured
325,3669,0,1,measured
326,7F0E,0,1,measured
327,C7C2,0,1,measured
328,110B,0,1,measured
329,5AD0,0,1,measured
330,A399,0,1,measured
331,E4B7,0,1,measured
332,23E9,0,1,measured
333,6C00,0,1,measured
334,B4ED,0,1,measured
335,F9A9,0,1,measured
336,9C5E,0,1,measured
337,E646,0,1,measured
338,2EE0,0,1,measured
339,7830,0,1,measured
340,B62C,0,1,measured
341,FEDF,0,1,measured
342,2A90,0,1,measured
343,2A90,0,1,measured
344,57CC,0,1,measured
345,A16F,0,1,measured
346,EA30,0,1,measured
347,99A3,0,1,measured
348,CC4D,0,1,measured
349,1816,0,1,measured
350,5486,0,1,measured
351,ADD2,0,1,measured
352,F3BA,0,1,measured
353,3D18,0,1,measured
354,8AA9,0,1,measured
355,1B65,0,1,measured
356,5B28,0,1,measured
357,A1C6,0,1,measured
358,EB42,0,1,measured
359,55E2,0,1,measured
360,922F,0,1,measured
361,DB28,0,1,measured
362,DB28,0,1,measured
363,276B,0,1,measured
364,6D30,0,1,measured
365,A8DC,0,1,measured
366,FFB6,0,1,measured
367,4D2D,0,1,measured
368,92D6,0,1,measured
369,BF6A,0,1,measured
370,0C27,0,1,measured
371,51CA,0,1,measured
372,9B36,0,1,measured
373,1AAF,0,1,measured
374,9B29,0,1,measured
375,E498,0,1,measured
376,2D14,0,1,measured
377,7733,0,1,measured
378,95C1,0,1,measured
379,D9EC,0,1,measured
380,2762,0,1,measured
381,2762,0,1,measured
382,573B,0,1,measured
383,820C,0,1,measured
384,CB08,0,1,measured
385,13D9,0,1,measured
386,BB48,0,1,measured
387,F648,0,1,measured
388,3F6C,0,1,measured
389,894C,0,1,measured
390,D1D9,0,1,measured
391,1B2A,0,1,measured
392,7517,0,1,measured
