offset,seed,band,boots,how
42,0DB8,0,1,measured
43,557F,0,1,measured
44,9FA8,0,1,measured
48,C6AD,0,1,measured
49,088B,0,1,measured
50,4671,0,1,measured
51,866F,0,1,measured
53,2349,0,1,measured
57,756A,0,1,measured
58,BFBF,0,1,measured
59,09FC,0,1,measured
63,09F0,0,1,measured
64,C902,0,1,measured
66,33EC,0,1,measured
68,C5C1,0,1,measured
69,0D9F,0,1,measured
73,5DA7,0,1,measured
74,7CB6,0,1,measured
78,A3D0,0,1,measured
80,2EA1,0,1,measured
82,EF15,0,1,measured
84,5A81,0,1,measured
86,EC26,0,1,measured
89,7EB5,0,1,measured
94,EFE8,0,1,measured
95,7B05,0,1,measured
99,CE91,0,1,measured
100,EE81,0,1,measured
104,137D,0,1,measured
105,5D2C,0,1,measured
106,A654,0,1,measured
109,8058,0,1,measured
111,C5CE,0,1,measured
114,A5AB,0,1,measured
115,EF59,0,1,measured
116,37B2,0,1,measured
