offset,seed,band,boots,how
268,967A,0,1,measured
269,D598,0,1,measured
270,1EE1,0,1,measured
271,9266,0,1,measured
272,CF47,0,1,measured
273,1720,0,1,measured
274,6012,0,1,measured
275,A937,0,1,measured
276,EE9F,0,1,measured
277,3BB6,0,1,measured
278,84EC,0,1,measured
279,CE2F,0,1,measured
280,13C4,0,1,measured
281,5C75,0,1,measured
282,A2F7,0,1,measured
283,5258,0,1,measured
284,7D8C,0,1,measured
285,C69A,0,1,measured
286,0F51,0,1,measured
287,5907,0,1,measured
288,A294,0,1,measured
289,0543,0,1,measured
290,306B,0,1,measured
291,7E1A,0,1,measured
292,C7D4,0,1,measured
293,101E,0,1,measured
294,59C6,0,1,measured
295,A306,0,1,measured
296,0951,0,1,measured
297,3960,0,1,measured
298,D6CC,0,1,measured
299,2116,0,1,measured
300,6A30,0,1,measured
301,AFC9,0,1,measured
302,ED69,0,1,measured
303,36B0,0,1,measured
304,7418,0,1,measured
305,7418,0,1,measured
306,B69C,0,1,measured
307,FF70,0,1,measured
308,48B6,0,1,measured
309,C8D2,0,1,measured
310,F4D0,0,1,measured
311,3DEC,0,1,measured
312,867D,0,1,measured
313,D04D,0,1,measured
314,19E6,0,1,measured
315,77A2,0,1,measured
316,AAD1,0,1,measured
317,2822,0,1,measured
318,7113,0,1,measured
319,B58E,0,1,measured
320,0308,0,1,measured
321,80AE,0,1,measured
322,A3DE,0,1,measured
323,ECF5,0,1,measured
324,ECF5,0,1,measured
325,3694,0,1,measured
326,7F10,0,1,measured
327,C7C9,0,1,measured
328,1118,0,1,measured
329,5AD7,0,1,measured
330,A3A3,0,1,measured
331,E4A6,0,1,measured
332,23F6,0,1,measured
333,6BEF,0,1,measured
334,B4E5,0,1,measured
335,F9A2,0,1,measured
336,9C4D,0,1,measured
337,E64D,0,1,measured
338,2ECF,0,1,measured
339,781F,0,1,measured
340,B63A,0,1,measured
341,FEC2,0,1,measured
342,2A7F,0,1,measured
343,2A7F,0,1,measured
344,57BB,0,1,measured
345,A177,0,1,measured
346,EA39,0,1,measured
347,9992,0,1,measured
348,CC54,0,1,measured
349,17FB,0,1,measured
350,5495,0,1,measured
351,ADB8,0,1,measured
352,F39E,0,1,measured
353,3D07,0,1,measured
354,8AAF,0,1,measured
355,1B55,0,1,measured
356,5B17,0,1,measured
357,A1B5,0,1,measured
358,EB31,0,1,measured
359,55D1,0,1,measured
360,9235,0,1,measured
361,DB35,0,1,measured
362,DB35,0,1,measured
363,275A,0,1,measured
364,6D1F,0,1,measured
365,A8CB,0,1,measured
366,FFA5,0,1,measured
367,4D33,0,1,measured
368,92E3,0,1,measured
369,BF50,0,1,measured
370,0C22,0,1,measured
371,51B9,0,1,measured
372,9B25,0,1,measured
373,1AD4,0,1,measured
374,9B45,0,1,measured
375,E4BE,0,1,measured
376,2D20,0,1,measured
377,774E,0,1,measured
378,95D4,0,1,measured
379,D9FA,0,1,measured
380,274E,0,1,measured
381,274E,0,1,measured
382,5747,0,1,measured
383,81F0,0,1,measured
384,CB00,0,1,measured
385,13C8,0,1,measured
386,BB37,0,1,measured
387,F637,0,1,measured
388,3F5C,0,1,measured
389,8953,0,1,measured
390,D1C8,0,1,measured
391,1B19,0,1,measured
392,7525,0,1,measured
393,0315,0,1,measured
394,485D,0,1,measured
395,95A5,0,1,measured
396,DECF,0,1,measured
397,1C6C,0,1,measured
398,7AC4,0,1,measured
399,B1D6,0,1,measured
400,B1D6,0,1,measured
401,FB9F,0,1,measured
402,443C,0,1,measured
403,8D71,0,1,measured
404,D6AC,0,1,measured
405,20AE,0,1,measured
406,69E8,0,1,measured
407,B277,0,1,measured
408,F471,0,1,measured
409,326D,0,1,measured
410,7207,0,1,measured
411,C512,0,1,measured
412,7DD6,0,1,measured
413,C6F1,0,1,measured
414,1011,0,1,measured
415,595A,0,1,measured
416,9782,0,1,measured
417,ED6F,0,1,measured
418,2BF5,0,1,measured
419,2BF5,0,1,measured
420,7462,0,1,measured
421,9D2A,0,1,measured
422,E6A0,0,1,measured
423,2FAF,0,1,measured
424,ABF3,0,1,measured
425,C983,0,1,measured
426,1714,0,1,measured
427,60D1,0,1,measured
428,A929,0,1,measured
429,F20F,0,1,measured
430,3B5A,0,1,measured
431,DA21,0,1,measured
432,1AF5,0,1,measured
433,59C3,0,1,measured
434,A19E,0,1,measured
435,DF09,0,1,measured
436,29A2,0,1,measured
437,71CE,0,1,measured
438,71CE,0,1,measured
439,BAC2,0,1,measured
440,0046,0,1,measured
441,4D5B,0,1,measured
442,9689,0,1,measured
443,E058,0,1,measured
444,290D,0,1,measured
445,725D,0,1,measured
446,9FB9,0,1,measured
447,CF38,0,1,measured
448,1836,0,1,measured
449,6063,0,1,measured
450,4E88,0,1,measured
451,9A28,0,1,measured
452,E669,0,1,measured
453,2B22,0,1,measured
454,5E3E,0,1,measured
455,B5BD,0,1,measured
456,01E8,0,1,measured
457,01E8,0,1,measured
458,47B8,0,1,measured
459,893F,0,1,measured
460,CAC0,0,1,measured
461,1039,0,1,measured
462,59AD,0,1,measured
463,CA79,0,1,measured
464,066E,0,1,measured
465,4A8B,0,1,measured
466,A2D7,0,1,measured
467,DDC3,0,1,measured
468,2858,0,1,measured
469,BD59,0,1,measured
470,0E6C,0,1,measured
471,3B89,0,1,measured
472,8F75,0,1,measured
473,C446,0,1,measured
474,0E80,0,1,measured
475,6904,0,1,measured
476,6904,0,1,measured
477,9BC9,0,1,measured
478,E506,0,1,measured
479,2EB4,0,1,measured
480,773C,0,1,measured
481,C013,0,1,measured
482,093F,0,1,measured
483,5415,0,1,measured
484,9B02,0,1,measured
485,C531,0,1,measured
486,BCAA,0,1,measured
487,0623,0,1,measured
488,4222,0,1,measured
489,77F6,0,1,measured
490,C10B,0,1,measured
491,0AFF,0,1,measured
492,5212,0,1,measured
493,920A,0,1,measured
494,F601,0,1,measured
495,F601,0,1,measured
496,253F,0,1,measured
497,6D78,0,1,measured
498,B788,0,1,measured
499,FFE4,0,1,measured
500,442C,0,1,measured
501,9112,0,1,measured
502,F4D9,0,1,measured
503,218C,0,1,measured
504,6A92,0,1,measured
505,B3DF,0,1,measured
506,FCFD,0,1,measured
507,9BD7,0,1,measured
508,E5BC,0,1,measured
509,36F2,0,1,measured
510,55C1,0,1,measured
511,87F8,0,1,measured
512,D23C,0,1,measured
513,6263,0,1,measured
514,6263,0,1,measured
515,8D4F,0,1,measured
516,DB69,0,1,measured
517,241E,0,1,measured
518,6CC6,0,1,measured
519,B706,0,1,measured
520,FEFE,0,1,measured
521,63A1,0,1,measured
522,9319,0,1,measured
523,DAEB,0,1,measured
524,243A,0,1,measured
525,6D58,0,1,measured
526,35AB,0,1,measured
527,5D0F,0,1,measured
528,A486,0,1,measured
529,E848,0,1,measured
530,29C0,0,1,measured
531,72FB,0,1,measured
532,BCAF,0,1,measured
533,BCAF,0,1,measured
534,0583,0,1,measured
535,4DE7,0,1,measured
536,90F0,0,1,measured
537,CDE2,0,1,measured
538,16B2,0,1,measured
539,611F,0,1,measured
540,A943,0,1,measured
541,F270,0,1,measured
542,3BB0,0,1,measured
543,85E3,0,1,measured
544,CE1D,0,1,measured
545,6C60,0,1,measured
546,B5B2,0,1,measured
547,FEFB,0,1,measured
548,2859,0,1,measured
549,4B95,0,1,measured
550,93E3,0,1,measured
551,DD66,0,1,measured
552,DD66,0,1,measured
553,88BF,0,1,measured
554,BF5D,0,1,measured
555,0AF9,0,1,measured
556,535E,0,1,measured
557,9CC1,0,1,measured
558,E709,0,1,measured
559,2F62,0,1,measured
560,6D24,0,1,measured
561,C1D5,0,1,measured
562,037D,0,1,measured
563,4199,0,1,measured
564,DE94,0,1,measured
565,56F5,0,1,measured
566,851B,0,1,measured
567,CE38,0,1,measured
568,0A72,0,1,measured
569,5431,0,1,measured
570,9DBD,0,1,measured
571,9DBD,0,1,measured
572,E46B,0,1,measured
573,2CD6,0,1,measured
574,7603,0,1,measured
575,A0CB,0,1,measured
576,EEA6,0,1,measured
577,3770,0,1,measured
578,80A9,0,1,measured
579,021D,0,1,measured
580,3866,0,1,measured
581,8187,0,1,measured
582,CB44,0,1,measured
583,68D5,0,1,measured
584,B23A,0,1,measured
585,DC6C,0,1,measured
586,261A,0,1,measured
587,46AE,0,1,measured
588,74A8,0,1,measured
589,B76B,0,1,measured
590,B76B,0,1,measured
