offset,seed,band,boots,how
268,968B,0,1,measured
269,D5A9,0,1,measured
270,1EF2,0,1,measured
271,9277,0,1,measured
272,CF58,0,1,measured
273,1731,0,1,measured
274,6023,0,1,measured
275,A948,0,1,measured
276,EEB0,0,1,measured
277,3BC7,0,1,measured
278,84FD,0,1,measured
279,CE40,0,1,measured
280,13D5,0,1,measured
281,5C86,0,1,measured
282,A308,0,1,measured
283,5269,0,1,measured
284,7D9D,0,1,measured
285,C6AB,0,1,measured
286,0F62,0,1,measured
287,5918,0,1,measured
288,A2A5,0,1,measured
289,0554,0,1,measured
290,307C,0,1,measured
291,7E2B,0,1,measured
292,C7E5,0,1,measured
293,102F,0,1,measured
294,59D7,0,1,measured
295,A317,0,1,measured
296,0962,0,1,measured
297,3971,0,1,measured
298,D6DD,0,1,measured
299,2127,0,1,measured
300,6A41,0,1,measured
301,AFDA,0,1,measured
302,ED7A,0,1,measured
303,36C1,0,1,measured
304,7429,0,1,measured
305,7429,0,1,measured
306,B6AD,0,1,measured
307,FF81,0,1,measured
308,48C7,0,1,measured
309,C8E3,0,1,measured
310,F4E1,0,1,measured
311,3DFD,0,1,measured
312,868E,0,1,measured
313,D05E,0,1,measured
314,19F7,0,1,measured
315,77B3,0,1,measured
316,AAE2,0,1,measured
317,2833,0,1,measured
318,7124,0,1,measured
319,B59F,0,1,measured
320,0319,0,1,measured
321,80BF,0,1,measured
322,A3EF,0,1,measured
323,ED06,0,1,measured
324,ED06,0,1,measured
325,36A5,0,1,measured
326,7F21,0,1,measured
327,C7DA,0,1,measured
328,1129,0,1,measured
329,5AE8,0,1,measured
330,A3B4,0,1,measured
331,E4B7,0,1,measured
332,2407,0,1,measured
333,6C00,0,1,measured
334,B4F6,0,1,measured
335,F9B3,0,1,measured
336,9C5E,0,1,measured
337,E65E,0,1,measured
338,2EE0,0,1,measured
339,7830,0,1,measured
340,B64B,0,1,measured
341,FED3,0,1,measured
342,2A90,0,1,measured
343,2A90,0,1,measured
344,57CC,0,1,measured
345,A188,0,1,measured
346,EA4A,0,1,measured
347,99A3,0,1,measured
348,CC65,0,1,measured
349,180C,0,1,measured
350,54A6,0,1,measured
351,ADC9,0,1,measured
352,F3AF,0,1,measured
353,3D18,0,1,measured
354,8AC0,0,1,measured
355,1B66,0,1,measured
356,5B28,0,1,measured
357,A1C6,0,1,measured
358,EB42,0,1,measured
359,55E2,0,1,measured
360,9246,0,1,measured
361,DB46,0,1,measured
362,DB46,0,1,measured
363,276B,0,1,measured
364,6D30,0,1,measured
365,A8DC,0,1,measured
366,FFB6,0,1,measured
367,4D44,0,1,measured
368,92F4,0,1,measured
369,BF61,0,1,measured
370,0C33,0,1,measured
371,51CA,0,1,measured
372,9B36,0,1,measured
373,1AE5,0,1,measured
374,9B56,0,1,measured
375,E4CF,0,1,measured
376,2D31,0,1,measured
377,775F,0,1,measured
378,95E5,0,1,measured
379,DA0B,0,1,measured
380,275F,0,1,measured
381,275F,0,1,measured
382,5758,0,1,measured
383,8201,0,1,measured
384,CB11,0,1,measured
385,13D9,0,1,measured
386,BB48,0,1,measured
387,F648,0,1,measured
388,3F6D,0,1,measured
389,8964,0,1,measured
390,D1D9,0,1,measured
391,1B2A,0,1,measured
392,7536,0,1,measured
393,0326,0,1,measured
394,486E,0,1,measured
395,95B6,0,1,measured
396,DEE0,0,1,measured
397,1C7D,0,1,measured
398,7AD5,0,1,measured
399,B1E7,0,1,measured
400,B1E7,0,1,measured
401,FBB0,0,1,measured
402,444D,0,1,measured
403,8D82,0,1,measured
404,D6BD,0,1,measured
405,20BF,0,1,measured
406,69F9,0,1,measured
407,B288,0,1,measured
408,F482,0,1,measured
409,327E,0,1,measured
410,7218,0,1,measured
411,C523,0,1,measured
412,7DE7,0,1,measured
413,C702,0,1,measured
414,1022,0,1,measured
415,596B,0,1,measured
416,9793,0,1,measured
417,ED80,0,1,measured
418,2C06,0,1,measured
419,2C06,0,1,measured
420,7473,0,1,measured
421,9D3B,0,1,measured
422,E6B1,0,1,measured
423,2FC0,0,1,measured
424,AC04,0,1,measured
425,C994,0,1,measured
426,1725,0,1,measured
427,60E2,0,1,measured
428,A93A,0,1,measured
429,F220,0,1,measured
430,3B6B,0,1,measured
431,DA32,0,1,measured
432,1B06,0,1,measured
433,59D4,0,1,measured
434,A1AF,0,1,measured
435,DF1A,0,1,measured
436,29B3,0,1,measured
437,71DF,0,1,measured
438,71DF,0,1,measured
439,BAD3,0,1,measured
440,0057,0,1,measured
441,4D6C,0,1,measured
442,969A,0,1,measured
443,E069,0,1,measured
444,291E,0,1,measured
445,726E,0,1,measured
446,9FCA,0,1,measured
447,CF49,0,1,measured
448,1847,0,1,measured
449,6074,0,1,measured
450,4E99,0,1,measured
451,9A39,0,1,measured
452,E67A,0,1,measured
453,2B33,0,1,measured
454,5E4F,0,1,measured
455,B5CE,0,1,measured
456,01F9,0,1,measured
457,01F9,0,1,measured
458,47C9,0,1,measured
459,8950,0,1,measured
460,CAD1,0,1,measured
461,104A,0,1,measured
462,59BE,0,1,measured
463,CA8A,0,1,measured
464,067F,0,1,measured
465,4A9C,0,1,measured
466,A2E8,0,1,measured
467,DDD4,0,1,measured
468,2869,0,1,measured
469,BD6A,0,1,measured
470,0E7D,0,1,measured
471,3B9A,0,1,measured
472,8F86,0,1,measured
473,C457,0,1,measured
474,0E91,0,1,measured
475,6915,0,1,measured
476,6915,0,1,measured
477,9BDA,0,1,measured
478,E517,0,1,measured
479,2EC5,0,1,measured
480,774D,0,1,measured
481,C024,0,1,measured
482,0950,0,1,measured
483,5426,0,1,measured
484,9B13,0,1,measured
485,C542,0,1,measured
486,BCBB,0,1,measured
487,0634,0,1,measured
488,4233,0,1,measured
489,7807,0,1,measured
490,C11C,0,1,measured
491,0B10,0,1,measured
492,5223,0,1,measured
493,921B,0,1,measured
494,F612,0,1,measured
495,F612,0,1,measured
496,2550,0,1,measured
497,6D89,0,1,measured
498,B799,0,1,measured
499,FFF5,0,1,measured
500,443D,0,1,measured
501,9123,0,1,measured
502,F4EA,0,1,measured
503,219D,0,1,measured
504,6AA3,0,1,measured
505,B3F0,0,1,measured
506,FD0E,0,1,measured
507,9BE8,0,1,measured
508,E5CD,0,1,measured
509,3703,0,1,measured
510,55D2,0,1,measured
511,8809,0,1,measured
512,D24D,0,1,measured
513,6274,0,1,measured
514,6274,0,1,measured
515,8D60,0,1,measured
516,DB7A,0,1,measured
517,242F,0,1,measured
518,6CD7,0,1,measured
519,B717,0,1,measured
520,FF0F,0,1,measured
521,63B2,0,1,measured
522,932A,0,1,measured
523,DAFC,0,1,measured
524,244B,0,1,measured
525,6D69,0,1,measured
526,35BC,0,1,measured
527,5D20,0,1,measured
528,A497,0,1,measured
529,E859,0,1,measured
530,29D1,0,1,measured
531,730C,0,1,measured
532,BCC0,0,1,measured
533,BCC0,0,1,measured
534,0594,0,1,measured
535,4DF8,0,1,measured
536,9101,0,1,measured
537,CDF3,0,1,measured
