offset,seed,band,boots,how
21,50E8,0,1,measured
30,582F,0,1,measured
42,0E11,0,1,measured
43,558B,0,1,measured
45,E775,0,1,measured
48,C6A6,0,1,measured
49,088B,0,1,measured
50,4671,0,1,measured
51,866F,0,1,measured
53,2377,0,1,measured
55,B45A,0,1,measured
57,756A,0,1,measured
58,BFBF,0,1,measured
59,0A2A,0,1,measured
63,09F0,0,1,measured
64,C941,0,1,measured
68,C5F8,0,1,measured
69,0DB6,0,1,measured
71,A1B0,0,1,measured
73,5DFA,0,1,measured
74,7CE5,0,1,measured
75,C775,0,1,measured
78,A41D,0,1,measured
79,EBB7,0,1,measured
80,2ED8,0,1,measured
81,7A6B,0,1,measured
84,5AC9,0,1,measured
85,A205,0,1,measured
89,7F02,0,1,measured
90,C81B,0,1,measured
91,3C08,0,1,measured
94,F03D,0,1,measured
95,7B1A,0,1,measured
97,135D,0,1,measured
99,CEE6,0,1,measured
104,1374,0,1,measured
105,5D78,0,1,measured
107,189A,0,1,measured
109,8069,0,1,measured
110,C602,0,1,measured
111,C602,0,1,measured
112,1267,0,1,measured
114,A5A5,0,1,measured
115,EFA6,0,1,measured
