offset,seed,band,boots,how
6,9ACD,0,1,measured
7,C2C8,0,1,measured
8,0C35,0,1,measured
9,5509,0,1,measured
10,9E45,0,1,measured
11,E78D,0,1,measured
12,30CD,0,1,measured
13,303D,0,1,measured
14,52DC,0,1,measured
15,9D2A,0,1,measured
16,9D2A,0,1,measured
17,E4A3,0,1,measured
18,78A1,0,1,measured
19,BEF9,0,1,measured
20,030B,0,1,measured
21,50C7,0,1,measured
22,70EC,0,1,measured
23,AF01,0,1,measured
24,F759,0,1,measured
25,4096,0,1,measured
26,89D1,0,1,measured
27,D31A,0,1,measured
28,FBD3,0,1,measured
29,0EF4,0,1,measured
30,582C,0,1,measured
31,A084,0,1,measured
32,E9CE,0,1,measured
33,330D,0,1,measured
34,7C4A,0,1,measured
35,C1A8,0,1,measured
36,0ECE,0,1,measured
37,0ECE,0,1,measured
38,5809,0,1,measured
39,A14D,0,1,measured
40,9FC0,0,1,measured
41,C35B,0,1,measured
42,0DAA,0,1,measured
43,555A,0,1,measured
44,9FA2,0,1,measured
45,E763,0,1,measured
46,366F,0,1,measured
47,7FBD,0,1,measured
48,C696,0,1,measured
49,087E,0,1,measured
50,466A,0,1,measured
51,8660,0,1,measured
52,D972,0,1,measured
53,2333,0,1,measured
54,6B51,0,1,measured
55,B462,0,1,measured
56,2C62,0,1,measured
57,755B,0,1,measured
58,BFBD,0,1,measured
59,09FA,0,1,measured
60,50E7,0,1,measured
61,97B9,0,1,measured
62,E0C6,0,1,measured
63,09D6,0,1,measured
64,C8F2,0,1,measured
65,E4AB,0,1,measured
66,33DF,0,1,measured
67,7B73,0,1,measured
68,C5B7,0,1,measured
69,0D8E,0,1,measured
70,579E,0,1,measured
71,A161,0,1,measured
72,EAEA,0,1,measured
73,5D97,0,1,measured
74,7CB3,0,1,measured
75,C71D,0,1,measured
76,0EB3,0,1,measured
77,58F7,0,1,measured
78,A3C6,0,1,measured
79,EB6F,0,1,measured
80,2E9F,0,1,measured
81,7A6F,0,1,measured
82,EF1B,0,1,measured
83,0FF3,0,1,measured
84,5A67,0,1,measured
85,A1F3,0,1,measured
86,EC32,0,1,measured
87,34E0,0,1,measured
88,7E9E,0,1,measured
89,7E9E,0,1,measured
90,C7CA,0,1,measured
91,3BB9,0,1,measured
92,5B34,0,1,measured
93,A5A0,0,1,measured
94,EFDA,0,1,measured
95,7AF9,0,1,measured
96,C95B,0,1,measured
97,130E,0,1,measured
98,5B6A,0,1,measured
99,CE84,0,1,measured
100,EE7A,0,1,measured
101,38E0,0,1,measured
102,807D,0,1,measured
103,CABF,0,1,measured
104,135C,0,1,measured
105,5D22,0,1,measured
106,A64E,0,1,measured
107,1855,0,1,measured
108,3A97,0,1,measured
109,8039,0,1,measured
110,C5CB,0,1,measured
111,C5CB,0,1,measured
112,1254,0,1,measured
113,5BFF,0,1,measured
