offset,seed,band,boots,how
6,8372,0,1,measured
7,AB6D,0,1,measured
8,F4DA,0,1,measured
9,3DAE,0,1,measured
10,86F4,0,1,measured
11,D032,0,1,measured
12,1969,0,1,measured
13,18D8,0,1,measured
14,3B7E,0,1,measured
15,85CC,0,1,measured
16,85CC,0,1,measured
17,CD52,0,1,measured
18,6150,0,1,measured
19,A7B8,0,1,measured
20,EBA6,0,1,measured
21,3977,0,1,measured
22,599D,0,1,measured
23,97A3,0,1,measured
24,DFF7,0,1,measured
25,293C,0,1,measured
26,7276,0,1,measured
27,BBBF,0,1,measured
28,E478,0,1,measured
29,F79A,0,1,measured
30,40D1,0,1,measured
31,8929,0,1,measured
32,D272,0,1,measured
33,1BA9,0,1,measured
34,64E7,0,1,measured
35,AA45,0,1,measured
36,F769,0,1,measured
37,F769,0,1,measured
38,40A5,0,1,measured
39,89F2,0,1,measured
40,8865,0,1,measured
41,ABF5,0,1,measured
42,F64C,0,1,measured
43,3E01,0,1,measured
44,884A,0,1,measured
45,D00A,0,1,measured
46,1F0D,0,1,measured
47,6863,0,1,measured
48,AF41,0,1,measured
49,F12D,0,1,measured
50,2F07,0,1,measured
51,6F05,0,1,measured
52,C217,0,1,measured
53,0BD5,0,1,measured
54,53F6,0,1,measured
55,9D06,0,1,measured
56,14FE,0,1,measured
57,5DF7,0,1,measured
58,A859,0,1,measured
59,F29F,0,1,measured
60,398E,0,1,measured
61,805E,0,1,measured
62,C96B,0,1,measured
63,F27D,0,1,measured
64,B197,0,1,measured
65,CD50,0,1,measured
66,1C8E,0,1,measured
67,641A,0,1,measured
68,AE52,0,1,measured
69,F641,0,1,measured
70,4036,0,1,measured
71,8A02,0,1,measured
72,D38E,0,1,measured
73,4634,0,1,measured
74,6558,0,1,measured
75,AFC2,0,1,measured
76,F75A,0,1,measured
77,419D,0,1,measured
78,8C67,0,1,measured
79,D414,0,1,measured
80,174E,0,1,measured
81,6314,0,1,measured
82,D7B7,0,1,measured
83,F898,0,1,measured
84,4302,0,1,measured
85,8A9A,0,1,measured
86,D4D6,0,1,measured
87,1D79,0,1,measured
88,6741,0,1,measured
89,6741,0,1,measured
90,B06F,0,1,measured
91,245E,0,1,measured
92,43D9,0,1,measured
93,8E3F,0,1,measured
94,D87A,0,1,measured
95,63A7,0,1,measured
96,B1FE,0,1,measured
97,FBB5,0,1,measured
98,4403,0,1,measured
99,B729,0,1,measured
100,D71F,0,1,measured
101,2180,0,1,measured
102,691B,0,1,measured
103,B357,0,1,measured
104,FC01,0,1,measured
105,45CB,0,1,measured
106,8EF5,0,1,measured
107,00F0,0,1,measured
108,2339,0,1,measured
109,68DD,0,1,measured
110,AE70,0,1,measured
111,AE70,0,1,measured
112,FAF2,0,1,measured
113,449B,0,1,measured
114,8E32,0,1,measured
115,D7FA,0,1,measured
116,2054,0,1,measured
117,958E,0,1,measured
118,AED4,0,1,measured
119,F7EB,0,1,measured
120,418D,0,1,measured
121,D2F2,0,1,measured
122,1C34,0,1,measured
123,66FE,0,1,measured
124,AE00,0,1,measured
125,EC47,0,1,measured
126,2E0D,0,1,measured
127,76DF,0,1,measured
128,C00F,0,1,measured
129,1015,0,1,measured
130,52FA,0,1,measured
131,A077,0,1,measured
132,EA58,0,1,measured
133,2EB5,0,1,measured
134,7C49,0,1,measured
135,C5F7,0,1,measured
136,0EB8,0,1,measured
137,5821,0,1,measured
138,8343,0,1,measured
139,B164,0,1,measured
140,F0D0,0,1,measured
141,4434,0,1,measured
142,EA0A,0,1,measured
143,22F0,0,1,measured
144,6E68,0,1,measured
145,B6F8,0,1,measured
146,0043,0,1,measured
147,49A4,0,1,measured
148,9391,0,1,measured
149,DCAC,0,1,measured
150,2563,0,1,measured
151,66EF,0,1,measured
152,A53A,0,1,measured
153,EE73,0,1,measured
154,71E1,0,1,measured
155,95D9,0,1,measured
156,E38B,0,1,measured
157,2D37,0,1,measured
158,75AB,0,1,measured
159,BF1B,0,1,measured
160,0850,0,1,measured
161,51F8,0,1,measured
162,98C5,0,1,measured
163,C550,0,1,measured
164,0EC3,0,1,measured
165,578E,0,1,measured
166,A0AE,0,1,measured
167,1D4C,0,1,measured
168,3685,0,1,measured
169,7EA9,0,1,measured
170,C239,0,1,measured
171,0F8B,0,1,measured
172,58CB,0,1,measured
