offset,seed,band,boots,how
6,8363,0,1,measured
7,AB5E,0,1,measured
8,F4CB,0,1,measured
9,3D9F,0,1,measured
10,86E5,0,1,measured
11,D023,0,1,measured
12,195A,0,1,measured
13,18C9,0,1,measured
14,3B64,0,1,measured
15,85C1,0,1,measured
16,85C1,0,1,measured
17,CD38,0,1,measured
18,613C,0,1,measured
19,A798,0,1,measured
20,EB97,0,1,measured
21,3968,0,1,measured
22,598E,0,1,measured
23,9794,0,1,measured
24,DFE8,0,1,measured
25,292D,0,1,measured
26,7270,0,1,measured
27,BBA7,0,1,measured
28,E469,0,1,measured
29,F78A,0,1,measured
30,40C2,0,1,measured
31,891A,0,1,measured
32,D263,0,1,measured
33,1B9A,0,1,measured
34,64D8,0,1,measured
35,AA36,0,1,measured
36,F75A,0,1,measured
37,F75A,0,1,measured
38,4096,0,1,measured
39,89E3,0,1,measured
40,8856,0,1,measured
41,ABE4,0,1,measured
42,F641,0,1,measured
43,3DFB,0,1,measured
44,883B,0,1,measured
45,CFFB,0,1,measured
46,1EFF,0,1,measured
47,6853,0,1,measured
48,AF30,0,1,measured
49,F11E,0,1,measured
50,2F00,0,1,measured
51,6EF6,0,1,measured
52,C208,0,1,measured
53,0BC6,0,1,measured
54,53E7,0,1,measured
55,9CF7,0,1,measured
56,14F8,0,1,measured
57,5DF1,0,1,measured
58,A84A,0,1,measured
59,F290,0,1,measured
60,397F,0,1,measured
61,804F,0,1,measured
62,C95C,0,1,measured
63,F263,0,1,measured
64,B188,0,1,measured
65,CD41,0,1,measured
66,1C7F,0,1,measured
67,640A,0,1,measured
68,AE44,0,1,measured
69,F621,0,1,measured
70,4026,0,1,measured
71,89EE,0,1,measured
72,D380,0,1,measured
73,4625,0,1,measured
74,654A,0,1,measured
75,AFB3,0,1,measured
76,F74A,0,1,measured
77,4189,0,1,measured
78,8C5C,0,1,measured
79,D405,0,1,measured
80,1735,0,1,measured
81,62FE,0,1,measured
82,D7B3,0,1,measured
83,F88A,0,1,measured
84,42F1,0,1,measured
85,8A8A,0,1,measured
86,D4BF,0,1,measured
87,1D6C,0,1,measured
88,6734,0,1,measured
89,6734,0,1,measured
90,B05F,0,1,measured
91,244F,0,1,measured
92,43C8,0,1,measured
93,8E2C,0,1,measured
94,D870,0,1,measured
95,6398,0,1,measured
96,B1EE,0,1,measured
97,FBA7,0,1,measured
98,43F7,0,1,measured
99,B71A,0,1,measured
100,D711,0,1,measured
101,216E,0,1,measured
102,690B,0,1,measured
103,B34C,0,1,measured
104,FBFB,0,1,measured
105,45BD,0,1,measured
106,8EE7,0,1,measured
107,00E1,0,1,measured
108,232B,0,1,measured
109,68CE,0,1,measured
110,AE61,0,1,measured
111,AE61,0,1,measured
112,FAEC,0,1,measured
113,448B,0,1,measured
114,8E1F,0,1,measured
115,D7E8,0,1,measured
116,2044,0,1,measured
117,9586,0,1,measured
118,AECC,0,1,measured
119,F7DC,0,1,measured
120,417E,0,1,measured
121,D2E3,0,1,measured
122,1C25,0,1,measured
123,66EF,0,1,measured
124,ADF1,0,1,measured
125,EC38,0,1,measured
126,2DF4,0,1,measured
127,76D0,0,1,measured
128,BFF3,0,1,measured
129,1006,0,1,measured
130,52EB,0,1,measured
131,A068,0,1,measured
132,EA49,0,1,measured
133,2EA6,0,1,measured
134,7C37,0,1,measured
135,C5E0,0,1,measured
136,0EA9,0,1,measured
137,5812,0,1,measured
138,8334,0,1,measured
139,B15A,0,1,measured
140,F0C1,0,1,measured
141,4423,0,1,measured
142,E9EE,0,1,measured
143,22E1,0,1,measured
144,6E5A,0,1,measured
145,B6E9,0,1,measured
146,0032,0,1,measured
147,4995,0,1,measured
148,9383,0,1,measured
149,DCA3,0,1,measured
150,254A,0,1,measured
151,66E0,0,1,measured
152,A535,0,1,measured
153,EE64,0,1,measured
154,71D2,0,1,measured
155,95CA,0,1,measured
156,E37C,0,1,measured
157,2D28,0,1,measured
158,759C,0,1,measured
159,BF0C,0,1,measured
160,0841,0,1,measured
161,51E9,0,1,measured
162,98B7,0,1,measured
163,C541,0,1,measured
164,0EB4,0,1,measured
165,577F,0,1,measured
166,A09F,0,1,measured
167,1D3D,0,1,measured
168,3676,0,1,measured
169,7E9A,0,1,measured
170,C22A,0,1,measured
171,0F7C,0,1,measured
172,58BC,0,1,measured
173,A26A,0,1,measured
174,EB3C,0,1,measured
175,33E1,0,1,measured
176,5F5E,0,1,measured
177,8D17,0,1,measured
178,D62D,0,1,measured
