offset,seed,band,boots,how
6,9ACD,0,1,measured
7,C2C8,0,1,measured
8,0C35,0,1,measured
9,5509,0,1,measured
10,9E45,0,1,measured
11,E78D,0,1,measured
12,30CD,0,1,measured
13,308A,0,1,measured
14,5307,0,1,measured
15,9D6C,0,1,measured
16,9D6C,0,1,measured
17,E4A3,0,1,measured
18,78EC,0,1,measured
19,BEF9,0,1,measured
20,0329,0,1,measured
21,50E5,0,1,measured
22,70EC,0,1,measured
23,AEFE,0,1,measured
24,F759,0,1,measured
25,4096,0,1,measured
26,89D1,0,1,measured
27,D31A,0,1,measured
28,FBD3,0,1,measured
29,0EF4,0,1,measured
30,582C,0,1,measured
31,A084,0,1,measured
32,E9CE,0,1,measured
33,330D,0,1,measured
34,7C4A,0,1,measured
35,C1A8,0,1,measured
36,0ECE,0,1,measured
37,0ECE,0,1,measured
38,5809,0,1,measured
39,A14D,0,1,measured
40,A00C,0,1,measured
41,C390,0,1,measured
42,0DEC,0,1,measured
43,5575,0,1,measured
44,9FCC,0,1,measured
45,E771,0,1,measured
46,3668,0,1,measured
47,7FF4,0,1,measured
48,C696,0,1,measured
49,0888,0,1,measured
50,466A,0,1,measured
51,8660,0,1,measured
52,D988,0,1,measured
53,235C,0,1,measured
54,6B5A,0,1,measured
55,B457,0,1,measured
56,2C63,0,1,measured
57,755B,0,1,measured
58,BFBD,0,1,measured
59,0A28,0,1,measured
60,50F9,0,1,measured
61,97C5,0,1,measured
62,E0C6,0,1,measured
63,09D6,0,1,measured
64,C93E,0,1,measured
65,E4E1,0,1,measured
66,342B,0,1,measured
67,7B82,0,1,measured
68,C5EA,0,1,measured
69,0DB3,0,1,measured
70,579E,0,1,measured
71,A19E,0,1,measured
72,EB36,0,1,measured
73,5DE2,0,1,measured
74,7CE2,0,1,measured
75,C773,0,1,measured
76,0ED1,0,1,measured
77,5929,0,1,measured
78,A40D,0,1,measured
79,EBB2,0,1,measured
80,2EDF,0,1,measured
81,7A72,0,1,measured
82,EF66,0,1,measured
83,102D,0,1,measured
84,5AB3,0,1,measured
85,A202,0,1,measured
86,EC66,0,1,measured
87,34DF,0,1,measured
88,7EEA,0,1,measured
89,7EEA,0,1,measured
90,C816,0,1,measured
91,3BF9,0,1,measured
92,5B74,0,1,measured
93,A5F3,0,1,measured
94,F025,0,1,measured
95,7B17,0,1,measured
96,C951,0,1,measured
97,135D,0,1,measured
98,5B9D,0,1,measured
99,CECE,0,1,measured
100,EEA7,0,1,measured
101,3928,0,1,measured
102,8090,0,1,measured
103,CAEE,0,1,measured
104,1362,0,1,measured
105,5D6F,0,1,measured
106,A69D,0,1,measured
107,18A0,0,1,measured
108,3B1A,0,1,measured
109,8058,0,1,measured
110,C608,0,1,measured
111,C608,0,1,measured
112,1265,0,1,measured
113,5C15,0,1,measured
114,A58D,0,1,measured
