offset,seed,band,boots,how
6,8363,0,1,measured
7,AB5E,0,1,measured
8,F4CB,0,1,measured
9,3D9F,0,1,measured
10,86E5,0,1,measured
11,D023,0,1,measured
12,195A,0,1,measured
13,1916,0,1,measured
14,3BA5,0,1,measured
15,8600,0,1,measured
16,8600,0,1,measured
17,CD44,0,1,measured
18,617A,0,1,measured
19,A79A,0,1,measured
20,EBBF,0,1,measured
21,3985,0,1,measured
22,598B,0,1,measured
23,9794,0,1,measured
24,DFE8,0,1,measured
25,292D,0,1,measured
26,7270,0,1,measured
27,BBA7,0,1,measured
28,E469,0,1,measured
29,F78A,0,1,measured
30,40C2,0,1,measured
31,891A,0,1,measured
32,D263,0,1,measured
33,1B9A,0,1,measured
34,64D8,0,1,measured
35,AA36,0,1,measured
36,F75A,0,1,measured
37,F75A,0,1,measured
38,4096,0,1,measured
39,89E3,0,1,measured
40,88A2,0,1,measured
41,AC25,0,1,measured
42,F680,0,1,measured
43,3E12,0,1,measured
44,8868,0,1,measured
45,D011,0,1,measured
46,1EFF,0,1,measured
47,688A,0,1,measured
48,AF30,0,1,measured
49,F11E,0,1,measured
50,2EF8,0,1,measured
51,6EF6,0,1,measured
52,C21E,0,1,measured
53,0BFF,0,1,measured
54,53F0,0,1,measured
55,9CF7,0,1,measured
56,14EF,0,1,measured
57,5DF1,0,1,measured
58,A84A,0,1,measured
59,F2BE,0,1,measured
60,398F,0,1,measured
61,804F,0,1,measured
62,C95C,0,1,measured
63,F263,0,1,measured
64,B1D4,0,1,measured
65,CD77,0,1,measured
66,1CC0,0,1,measured
67,6427,0,1,measured
68,AE7F,0,1,measured
69,F641,0,1,measured
70,4034,0,1,measured
71,8A39,0,1,measured
72,D3C2,0,1,measured
73,4678,0,1,measured
74,657E,0,1,measured
75,AFFF,0,1,measured
76,F75A,0,1,measured
77,41BD,0,1,measured
78,8CA6,0,1,measured
79,D451,0,1,measured
80,1773,0,1,measured
81,6308,0,1,measured
82,D7FE,0,1,measured
83,F8BE,0,1,measured
84,434D,0,1,measured
85,8A9A,0,1,measured
86,D4FA,0,1,measured
87,1D75,0,1,measured
88,6780,0,1,measured
89,6780,0,1,measured
90,B0A4,0,1,measured
91,249B,0,1,measured
92,4400,0,1,measured
93,8E7D,0,1,measured
94,D8B3,0,1,measured
95,63AD,0,1,measured
96,B1E8,0,1,measured
97,FBF1,0,1,measured
98,4434,0,1,measured
99,B75C,0,1,measured
100,D743,0,1,measured
101,21BD,0,1,measured
102,6926,0,1,measured
103,B386,0,1,measured
104,FBFB,0,1,measured
105,45FD,0,1,measured
106,8F31,0,1,measured
107,0137,0,1,measured
108,23B8,0,1,measured
109,68E6,0,1,measured
110,AE9E,0,1,measured
111,AE9E,0,1,measured
112,FB04,0,1,measured
113,44AC,0,1,measured
114,8E1F,0,1,measured
115,D837,0,1,measured
116,207B,0,1,measured
117,95C2,0,1,measured
118,AF03,0,1,measured
119,F814,0,1,measured
120,41B4,0,1,measured
121,D2F1,0,1,measured
122,1C3C,0,1,measured
123,671C,0,1,measured
124,ADF1,0,1,measured
125,EC5E,0,1,measured
126,2DF4,0,1,measured
127,76D0,0,1,measured
128,C000,0,1,measured
129,1006,0,1,measured
130,52EB,0,1,measured
131,A068,0,1,measured
132,EA60,0,1,measured
133,2EA6,0,1,measured
134,7C3A,0,1,measured
135,C5FE,0,1,measured
136,0E9F,0,1,measured
137,5812,0,1,measured
138,834C,0,1,measured
139,B156,0,1,measured
140,F0C1,0,1,measured
141,443C,0,1,measured
142,E9F7,0,1,measured
143,22E1,0,1,measured
144,6E74,0,1,measured
145,B6EE,0,1,measured
146,0032,0,1,measured
147,499D,0,1,measured
148,9398,0,1,measured
149,DCBE,0,1,measured
150,254A,0,1,measured
151,66DD,0,1,measured
152,A52B,0,1,measured
153,EE64,0,1,measured
154,7207,0,1,measured
155,9600,0,1,measured
156,E3A9,0,1,measured
157,2D5E,0,1,measured
158,759C,0,1,measured
159,BF42,0,1,measured
160,0876,0,1,measured
161,521D,0,1,measured
162,98B7,0,1,measured
163,C537,0,1,measured
164,0EB4,0,1,measured
165,577F,0,1,measured
166,A09F,0,1,measured
167,1D74,0,1,measured
168,36D8,0,1,measured
169,7ED0,0,1,measured
170,C23F,0,1,measured
171,0F9D,0,1,measured
172,58E4,0,1,measured
173,A282,0,1,measured
174,EB5A,0,1,measured
175,33EA,0,1,measured
176,5F7B,0,1,measured
177,8D20,0,1,measured
178,D626,0,1,measured
