offset,seed,band,boots,how
6,3AA1,0,1,measured
7,6298,0,1,measured
8,AC17,0,1,measured
9,F4DD,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D013,0,1,measured
14,F5D0,0,1,measured
15,3B59,0,1,measured
16,3B59,0,1,measured
17,859F,0,1,measured
18,1789,0,1,measured
19,6160,0,1,measured
20,A2DE,0,1,measured
21,F19D,0,1,measured
22,10C5,0,1,measured
23,4EDB,0,1,measured
24,9733,0,1,measured
25,E064,0,1,measured
26,29B4,0,1,measured
27,72E5,0,1,measured
28,9BAD,0,1,measured
29,AEC4,0,1,measured
30,F806,0,1,measured
31,405D,0,1,measured
32,89A6,0,1,measured
33,D2E6,0,1,measured
34,1C22,0,1,measured
35,6181,0,1,measured
36,AE9D,0,1,measured
37,AE9D,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3F99,0,1,measured
41,6329,0,1,measured
42,AD74,0,1,measured
43,F536,0,1,measured
44,3F73,0,1,measured
45,87AB,0,1,measured
46,D772,0,1,measured
47,1D61,0,1,measured
48,6670,0,1,measured
49,A7F1,0,1,measured
50,E646,0,1,measured
51,2645,0,1,measured
52,7950,0,1,measured
53,C301,0,1,measured
54,0B32,0,1,measured
55,543A,0,1,measured
56,CC33,0,1,measured
57,152B,0,1,measured
58,5F9B,0,1,measured
59,AA7E,0,1,measured
60,EF87,0,1,measured
61,3720,0,1,measured
62,809C,0,1,measured
63,A9A9,0,1,measured
64,68CD,0,1,measured
65,847E,0,1,measured
66,D3B6,0,1,measured
67,1B44,0,1,measured
68,6590,0,1,measured
69,AD57,0,1,measured
70,F772,0,1,measured
71,4137,0,1,measured
72,8ACA,0,1,measured
73,FD6E,0,1,measured
74,1F9D,0,1,measured
75,655B,0,1,measured
76,AF95,0,1,measured
77,F772,0,1,measured
78,416E,0,1,measured
79,8B35,0,1,measured
80,D018,0,1,measured
81,1A41,0,1,measured
82,8EEB,0,1,measured
83,AFC0,0,1,measured
84,FA38,0,1,measured
85,41CF,0,1,measured
86,8C10,0,1,measured
87,D4AE,0,1,measured
88,1E75,0,1,measured
89,1E75,0,1,measured
90,6969,0,1,measured
91,DC05,0,1,measured
92,FB17,0,1,measured
93,457F,0,1,measured
94,8D0F,0,1,measured
95,1A75,0,1,measured
96,6933,0,1,measured
97,B2F8,0,1,measured
98,FC7E,0,1,measured
99,6EC4,0,1,measured
100,8E57,0,1,measured
101,D8B3,0,1,measured
102,204F,0,1,measured
103,6A9B,0,1,measured
104,B55E,0,1,measured
105,FD08,0,1,measured
106,4536,0,1,measured
107,B838,0,1,measured
108,D75D,0,1,measured
109,21A9,0,1,measured
110,649B,0,1,measured
111,649B,0,1,measured
112,B380,0,1,measured
113,FB71,0,1,measured
114,456C,0,1,measured
115,8F4A,0,1,measured
116,D8CB,0,1,measured
117,4D3D,0,1,measured
118,660F,0,1,measured
119,AF13,0,1,measured
120,FA18,0,1,measured
121,8A28,0,1,measured
122,D3DC,0,1,measured
123,1CBA,0,1,measured
124,6535,0,1,measured
125,A37F,0,1,measured
126,E537,0,1,measured
127,2E09,0,1,measured
128,7855,0,1,measured
129,C73E,0,1,measured
130,0A2E,0,1,measured
131,57AA,0,1,measured
132,A187,0,1,measured
133,E5E1,0,1,measured
134,3451,0,1,measured
135,7C93,0,1,measured
136,C5E1,0,1,measured
137,0F52,0,1,measured
138,3A37,0,1,measured
139,6920,0,1,measured
140,A80E,0,1,measured
141,FB73,0,1,measured
142,A135,0,1,measured
143,DA30,0,1,measured
144,25A2,0,1,measured
145,6E35,0,1,measured
146,B77C,0,1,measured
147,00DE,0,1,measured
148,4AC5,0,1,measured
149,9436,0,1,measured
150,DC8B,0,1,measured
151,1E20,0,1,measured
152,5C6E,0,1,measured
153,A55C,0,1,measured
154,2917,0,1,measured
155,4D0E,0,1,measured
156,9AB9,0,1,measured
157,E473,0,1,measured
158,2CDF,0,1,measured
159,764F,0,1,measured
160,BF8C,0,1,measured
161,0936,0,1,measured
162,4FF7,0,1,measured
163,7C7D,0,1,measured
164,C5F7,0,1,measured
165,0EBE,0,1,measured
166,57EB,0,1,measured
167,D47C,0,1,measured
168,EC12,0,1,measured
169,3571,0,1,measured
170,7A29,0,1,measured
171,C723,0,1,measured
172,1008,0,1,measured
173,5946,0,1,measured
174,A2EE,0,1,measured
175,EBD7,0,1,measured
176,157E,0,1,measured
177,4578,0,1,measured
178,8D68,0,1,measured
179,D679,0,1,measured
180,88EF,0,1,measured
181,BA02,0,1,measured
182,0332,0,1,measured
183,4C0E,0,1,measured
184,9589,0,1,measured
185,DA93,0,1,measured
186,25C8,0,1,measured
187,8A4D,0,1,measured
188,BACD,0,1,measured
189,03E8,0,1,measured
190,4CCE,0,1,measured
191,963D,0,1,measured
192,DFE5,0,1,measured
193,4ADC,0,1,measured
194,7326,0,1,measured
195,BEA6,0,1,measured
196,0A50,0,1,measured
197,508E,0,1,measured
198,99EF,0,1,measured
199,E71A,0,1,measured
200,210D,0,1,measured
201,73A6,0,1,measured
202,B45C,0,1,measured
203,F5D3,0,1,measured
204,3B52,0,1,measured
205,84AA,0,1,measured
206,069E,0,1,measured
207,3999,0,1,measured
208,82AC,0,1,measured
209,D017,0,1,measured
210,1537,0,1,measured
211,5C48,0,1,measured
212,A832,0,1,measured
213,EDE3,0,1,measured
214,36F2,0,1,measured
215,5712,0,1,measured
216,AC8A,0,1,measured
217,F1FF,0,1,measured
218,3B66,0,1,measured
219,BE6A,0,1,measured
220,E2F8,0,1,measured
221,2C0B,0,1,measured
222,75BF,0,1,measured
223,BE32,0,1,measured
224,0827,0,1,measured
225,50CA,0,1,measured
226,9998,0,1,measured
227,E21F,0,1,measured
228,0932,0,1,measured
229,468A,0,1,measured
230,8A65,0,1,measured
231,D817,0,1,measured
232,2466,0,1,measured
233,6990,0,1,measured
234,B251,0,1,measured
235,FC1C,0,1,measured
236,44C6,0,1,measured
237,8E08,0,1,measured
238,D7D7,0,1,measured
239,20C0,0,1,measured
240,69D8,0,1,measured
241,9540,0,1,measured
242,BF72,0,1,measured
243,088A,0,1,measured
244,D616,0,1,measured
245,E6E1,0,1,measured
246,34BE,0,1,measured
247,7E87,0,1,measured
248,C618,0,1,measured
249,1009,0,1,measured
250,5895,0,1,measured
251,A2EC,0,1,measured
252,EBA8,0,1,measured
253,2CD2,0,1,measured
254,6B5C,0,1,measured
255,B3E3,0,1,measured
256,FD18,0,1,measured
257,934D,0,1,measured
258,C94E,0,1,measured
259,127B,0,1,measured
260,5797,0,1,measured
261,A555,0,1,measured
262,ED7E,0,1,measured
263,3771,0,1,measured
264,7FFC,0,1,measured
265,C9E7,0,1,measured
266,C9E7,0,1,measured
267,F620,0,1,measured
268,4EC7,0,1,measured
269,8CCF,0,1,measured
270,D5C5,0,1,measured
271,49A7,0,1,measured
272,867C,0,1,measured
273,CE64,0,1,measured
274,1742,0,1,measured
275,607B,0,1,measured
276,A546,0,1,measured
277,F399,0,1,measured
278,3C43,0,1,measured
279,857B,0,1,measured
280,CB12,0,1,measured
281,13A3,0,1,measured
282,5A51,0,1,measured
283,096F,0,1,measured
284,3641,0,1,measured
285,7E1E,0,1,measured
286,C690,0,1,measured
287,1014,0,1,measured
288,595F,0,1,measured
289,BBE5,0,1,measured
290,E778,0,1,measured
291,353B,0,1,measured
292,7EF4,0,1,measured
293,C764,0,1,measured
294,10DA,0,1,measured
295,5A12,0,1,measured
296,C06B,0,1,measured
297,F07F,0,1,measured
298,8F9F,0,1,measured
299,D7F3,0,1,measured
300,1DED,0,1,measured
301,6637,0,1,measured
302,A4C7,0,1,measured
303,EDF1,0,1,measured
304,2B59,0,1,measured
305,2B59,0,1,measured
306,6DF1,0,1,measured
307,B6B8,0,1,measured
308,0003,0,1,measured
309,7FE8,0,1,measured
310,ABF4,0,1,measured
311,F502,0,1,measured
