offset,seed,band,boots,how
6,3AAF,0,1,measured
7,629D,0,1,measured
8,AC17,0,1,measured
9,F4DD,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D016,0,1,measured
14,F2A4,0,1,measured
15,3E86,0,1,measured
16,3E86,0,1,measured
17,859E,0,1,measured
18,178A,0,1,measured
19,6160,0,1,measured
20,A2E3,0,1,measured
21,F18F,0,1,measured
22,10D1,0,1,measured
23,4EDE,0,1,measured
24,9732,0,1,measured
25,E064,0,1,measured
26,29B4,0,1,measured
27,72EA,0,1,measured
28,9BA8,0,1,measured
29,AECE,0,1,measured
30,F7FF,0,1,measured
31,405B,0,1,measured
32,899D,0,1,measured
33,D2E6,0,1,measured
34,1C26,0,1,measured
35,617E,0,1,measured
36,AE9E,0,1,measured
37,AE9E,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3F99,0,1,measured
41,6329,0,1,measured
42,AD79,0,1,measured
43,F538,0,1,measured
44,3F74,0,1,measured
45,8740,0,1,measured
46,D7DD,0,1,measured
47,1D5F,0,1,measured
48,6670,0,1,measured
49,A7F8,0,1,measured
50,E642,0,1,measured
51,2642,0,1,measured
52,7950,0,1,measured
53,C30C,0,1,measured
54,0B32,0,1,measured
55,543B,0,1,measured
56,CC35,0,1,measured
57,152C,0,1,measured
58,5F9A,0,1,measured
59,A9DA,0,1,measured
60,F0B6,0,1,measured
61,3790,0,1,measured
62,80A8,0,1,measured
63,A9AC,0,1,measured
64,68CE,0,1,measured
65,848B,0,1,measured
66,D3B6,0,1,measured
67,1B44,0,1,measured
68,6590,0,1,measured
69,AD6D,0,1,measured
70,F76E,0,1,measured
71,4133,0,1,measured
72,8ACA,0,1,measured
73,FD6E,0,1,measured
74,1C83,0,1,measured
75,6888,0,1,measured
76,AFA3,0,1,measured
77,F752,0,1,measured
78,416E,0,1,measured
79,8B35,0,1,measured
80,D018,0,1,measured
81,1A41,0,1,measured
82,8EEB,0,1,measured
83,AFC3,0,1,measured
84,FA3A,0,1,measured
85,41CF,0,1,measured
86,8C10,0,1,measured
87,D4AE,0,1,measured
88,1E75,0,1,measured
