offset,seed,band,boots,how
6,3AAF,0,1,measured
7,629D,0,1,measured
8,AC17,0,1,measured
9,F4DD,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D063,0,1,measured
14,F2DA,0,1,measured
15,3EEB,0,1,measured
16,3EEB,0,1,measured
17,85BF,0,1,measured
18,17B6,0,1,measured
19,618D,0,1,measured
20,A2F8,0,1,measured
21,F1B9,0,1,measured
22,10D1,0,1,measured
23,4EDC,0,1,measured
24,9733,0,1,measured
25,E064,0,1,measured
26,29B4,0,1,measured
27,72EA,0,1,measured
28,9BA8,0,1,measured
29,AECE,0,1,measured
30,F7FF,0,1,measured
31,405B,0,1,measured
32,899D,0,1,measured
33,D2E6,0,1,measured
34,1C26,0,1,measured
35,617E,0,1,measured
36,AE9E,0,1,measured
37,AE9E,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3FE5,0,1,measured
41,636A,0,1,measured
42,ADCD,0,1,measured
43,F549,0,1,measured
44,3FAD,0,1,measured
45,8759,0,1,measured
46,D7F6,0,1,measured
47,1D5F,0,1,measured
48,6670,0,1,measured
49,A7F8,0,1,measured
50,E643,0,1,measured
51,263A,0,1,measured
52,7965,0,1,measured
53,C340,0,1,measured
54,0B2A,0,1,measured
55,5430,0,1,measured
56,CC35,0,1,measured
57,152C,0,1,measured
58,5F9B,0,1,measured
59,AA08,0,1,measured
60,F0D2,0,1,measured
61,3790,0,1,measured
62,80A8,0,1,measured
63,A9AC,0,1,measured
64,691A,0,1,measured
65,84B5,0,1,measured
66,D404,0,1,measured
67,1B64,0,1,measured
68,65B7,0,1,measured
69,AD85,0,1,measured
70,F76D,0,1,measured
71,417F,0,1,measured
72,8B0A,0,1,measured
73,FDBB,0,1,measured
74,1CC1,0,1,measured
75,68EB,0,1,measured
76,AFD7,0,1,measured
77,F786,0,1,measured
78,416E,0,1,measured
79,8B82,0,1,measured
80,D06C,0,1,measured
81,1A41,0,1,measured
82,8F3F,0,1,measured
83,B004,0,1,measured
84,FA89,0,1,measured
85,41DC,0,1,measured
86,8C37,0,1,measured
87,D4AE,0,1,measured
