offset,seed,band,boots,how
268,4EFC,0,1,measured
269,8CE5,0,1,measured
270,D4F1,0,1,measured
271,4BBA,0,1,measured
272,8543,0,1,measured
273,CDF5,0,1,measured
274,173C,0,1,measured
275,6078,0,1,measured
276,A543,0,1,measured
277,F3B5,0,1,measured
278,3C40,0,1,measured
279,8578,0,1,measured
280,CB12,0,1,measured
281,13C9,0,1,measured
282,5A44,0,1,measured
283,09A8,0,1,measured
284,34D7,0,1,measured
285,802F,0,1,measured
286,C68F,0,1,measured
287,1044,0,1,measured
288,598F,0,1,measured
289,BC0E,0,1,measured
290,E7AB,0,1,measured
291,355F,0,1,measured
292,7F25,0,1,measured
293,C767,0,1,measured
294,1101,0,1,measured
295,5A45,0,1,measured
296,C094,0,1,measured
297,F0A8,0,1,measured
298,8E1D,0,1,measured
299,D9E1,0,1,measured
300,1DDA,0,1,measured
301,6633,0,1,measured
302,A4C1,0,1,measured
303,EDEE,0,1,measured
305,2B56,0,1,measured
306,6DEE,0,1,measured
307,B6B9,0,1,measured
308,FFFB,0,1,measured
309,8025,0,1,measured
310,AC1E,0,1,measured
311,F53C,0,1,measured
312,3DC6,0,1,measured
313,87A0,0,1,measured
314,D12F,0,1,measured
315,2EE6,0,1,measured
316,6222,0,1,measured
317,DF6B,0,1,measured
318,285D,0,1,measured
319,6CDF,0,1,measured
320,BA48,0,1,measured
321,37F2,0,1,measured
322,5B2A,0,1,measured
324,A444,0,1,measured
325,EDD6,0,1,measured
326,3664,0,1,measured
327,7F12,0,1,measured
328,C860,0,1,measured
329,1225,0,1,measured
330,5B2A,0,1,measured
331,9D20,0,1,measured
332,DA06,0,1,measured
333,22F9,0,1,measured
334,6C27,0,1,measured
335,B0EB,0,1,measured
336,538D,0,1,measured
337,9D9A,0,1,measured
338,E621,0,1,measured
339,2F71,0,1,measured
340,6D83,0,1,measured
341,B614,0,1,measured
343,E1C5,0,1,measured
344,0F05,0,1,measured
345,590A,0,1,measured
346,A0BE,0,1,measured
347,5179,0,1,measured
348,82AA,0,1,measured
349,CF50,0,1,measured
350,0BD0,0,1,measured
351,6502,0,1,measured
352,AAF3,0,1,measured
353,F458,0,1,measured
354,41F8,0,1,measured
355,D293,0,1,measured
356,125B,0,1,measured
357,5900,0,1,measured
358,A27E,0,1,measured
359,0E0B,0,1,measured
360,4981,0,1,measured
362,91CE,0,1,measured
363,DE5C,0,1,measured
364,245C,0,1,measured
365,6018,0,1,measured
366,B6F0,0,1,measured
367,047C,0,1,measured
368,4A2F,0,1,measured
369,7699,0,1,measured
370,C35F,0,1,measured
371,08FD,0,1,measured
372,526E,0,1,measured
373,D213,0,1,measured
374,54B0,0,1,measured
375,9B13,0,1,measured
376,E43F,0,1,measured
377,2D8A,0,1,measured
378,4D13,0,1,measured
379,913D,0,1,measured
381,DE8F,0,1,measured
382,0E90,0,1,measured
383,3941,0,1,measured
384,8241,0,1,measured
385,CC44,0,1,measured
386,7280,0,1,measured
387,AD85,0,1,measured
388,F6A6,0,1,measured
389,4093,0,1,measured
390,895B,0,1,measured
391,D305,0,1,measured
392,2BBA,0,1,measured
393,BA64,0,1,measured
394,FFAF,0,1,measured
395,4CEE,0,1,measured
396,9620,0,1,measured
397,D3BD,0,1,measured
398,3202,0,1,measured
400,6923,0,1,measured
401,B2ED,0,1,measured
402,FB85,0,1,measured
403,44BB,0,1,measured
404,8DFD,0,1,measured
405,D83B,0,1,measured
406,207E,0,1,measured
407,69B5,0,1,measured
408,AB6D,0,1,measured
409,E9B8,0,1,measured
410,2950,0,1,measured
411,7C5B,0,1,measured
412,351B,0,1,measured
413,7E45,0,1,measured
414,C763,0,1,measured
415,10A2,0,1,measured
416,4ECB,0,1,measured
417,A4B8,0,1,measured
419,E33E,0,1,measured
420,2BFA,0,1,measured
421,5469,0,1,measured
422,9DEE,0,1,measured
423,E6B4,0,1,measured
424,6348,0,1,measured
425,80C9,0,1,measured
426,CE66,0,1,measured
427,180F,0,1,measured
428,606F,0,1,measured
429,A954,0,1,measured
430,F2A3,0,1,measured
431,9169,0,1,measured
432,D247,0,1,measured
433,1111,0,1,measured
434,5931,0,1,measured
435,9655,0,1,measured
436,DFB5,0,1,measured
438,28D0,0,1,measured
439,720D,0,1,measured
440,B78F,0,1,measured
441,0493,0,1,measured
442,4DDB,0,1,measured
443,97A6,0,1,measured
444,E056,0,1,measured
445,29A5,0,1,measured
446,56F8,0,1,measured
447,868A,0,1,measured
448,CF72,0,1,measured
449,17AD,0,1,measured
450,05CE,0,1,measured
451,521E,0,1,measured
452,9CBA,0,1,measured
453,E26C,0,1,measured
454,1584,0,1,measured
455,6CFA,0,1,measured
457,B9E1,0,1,measured
458,FEF9,0,1,measured
459,4092,0,1,measured
460,8201,0,1,measured
461,C784,0,1,measured
462,10EA,0,1,measured
463,81CA,0,1,measured
464,BDBA,0,1,measured
465,01DA,0,1,measured
466,5A1E,0,1,measured
467,950D,0,1,measured
468,DF54,0,1,measured
469,74A4,0,1,measured
470,C5B9,0,1,measured
471,F2DB,0,1,measured
472,46B5,0,1,measured
473,7B8E,0,1,measured
474,C5C9,0,1,measured
476,2049,0,1,measured
477,531C,0,1,measured
478,9C5C,0,1,measured
479,E5FC,0,1,measured
480,2F8F,0,1,measured
481,7757,0,1,measured
482,C0F6,0,1,measured
483,09D5,0,1,measured
484,5244,0,1,measured
485,7C88,0,1,measured
486,73F2,0,1,measured
487,BD6C,0,1,measured
488,F96B,0,1,measured
489,2F3A,0,1,measured
490,7852,0,1,measured
491,C254,0,1,measured
492,0962,0,1,measured
493,4947,0,1,measured
495,AF94,0,1,measured
496,DBB6,0,1,measured
497,244B,0,1,measured
498,6DBF,0,1,measured
499,B729,0,1,measured
500,FB81,0,1,measured
501,4864,0,1,measured
502,AC20,0,1,measured
503,D8D5,0,1,measured
504,21CC,0,1,measured
505,6C61,0,1,measured
506,B44A,0,1,measured
507,5319,0,1,measured
508,9D0E,0,1,measured
509,F01D,0,1,measured
510,0D04,0,1,measured
511,3FB2,0,1,measured
512,8742,0,1,measured
514,19BA,0,1,measured
515,4498,0,1,measured
516,92B0,0,1,measured
517,DB67,0,1,measured
518,2414,0,1,measured
519,6E5A,0,1,measured
520,B642,0,1,measured
521,1AE8,0,1,measured
522,4A62,0,1,measured
523,922B,0,1,measured
524,DB79,0,1,measured
525,2583,0,1,measured
526,ECEC,0,1,measured
527,1284,0,1,measured
528,5B84,0,1,measured
529,A076,0,1,measured
530,E16B,0,1,measured
531,2A30,0,1,measured
533,738F,0,1,measured
534,BD3D,0,1,measured
535,060E,0,1,measured
536,4700,0,1,measured
537,865B,0,1,measured
538,CDFB,0,1,measured
539,172C,0,1,measured
540,6202,0,1,measured
541,A9BA,0,1,measured
542,F2EE,0,1,measured
543,3CE7,0,1,measured
544,8571,0,1,measured
545,245C,0,1,measured
546,6CFC,0,1,measured
547,B63F,0,1,measured
548,DF03,0,1,measured
549,02D9,0,1,measured
550,4BDC,0,1,measured
552,9409,0,1,measured
553,40AF,0,1,measured
554,769B,0,1,measured
555,C283,0,1,measured
556,0AA5,0,1,measured
557,540D,0,1,measured
558,9D5F,0,1,measured
559,E758,0,1,measured
560,2519,0,1,measured
561,7915,0,1,measured
562,BAD2,0,1,measured
563,F8D6,0,1,measured
564,952C,0,1,measured
565,0E3E,0,1,measured
566,3C58,0,1,measured
567,857A,0,1,measured
568,C1C1,0,1,measured
569,0D88,0,1,measured
571,5265,0,1,measured
572,9AD1,0,1,measured
573,E41F,0,1,measured
574,2D4C,0,1,measured
575,5815,0,1,measured
576,A5FD,0,1,measured
577,EEC1,0,1,measured
578,37E8,0,1,measured
579,B966,0,1,measured
580,EFBB,0,1,measured
581,38CC,0,1,measured
582,828F,0,1,measured
583,201E,0,1,measured
584,6A7E,0,1,measured
585,9459,0,1,measured
586,DABF,0,1,measured
587,FC9A,0,1,measured
588,2BCA,0,1,measured
590,705D,0,1,measured
591,BCF0,0,1,measured
592,765F,0,1,measured
593,A039,0,1,measured
594,E949,0,1,measured
595,31ED,0,1,measured
596,7B98,0,1,measured
597,C531,0,1,measured
598,2DAC,0,1,measured
599,57B1,0,1,measured
600,A31B,0,1,measured
601,E968,0,1,measured
602,889A,0,1,measured
603,EC7E,0,1,measured
604,1467,0,1,measured
605,6230,0,1,measured
606,A187,0,1,measured
607,EB55,0,1,measured
609,3355,0,1,measured
610,7CAD,0,1,measured
611,C811,0,1,measured
612,0CDB,0,1,measured
