offset,seed,band,boots,how
268,4EFE,0,1,measured
269,8CE8,0,1,measured
270,D5E6,0,1,measured
271,49B1,0,1,measured
272,8693,0,1,measured
273,CE67,0,1,measured
274,173B,0,1,measured
275,6085,0,1,measured
276,A53D,0,1,measured
277,F3B8,0,1,measured
278,3C43,0,1,measured
279,857B,0,1,measured
280,CB19,0,1,measured
281,13C1,0,1,measured
282,5A47,0,1,measured
283,09A4,0,1,measured
284,36AA,0,1,measured
285,7E53,0,1,measured
286,C698,0,1,measured
287,104A,0,1,measured
288,5992,0,1,measured
289,BC11,0,1,measured
290,E7B7,0,1,measured
291,3566,0,1,measured
292,7F29,0,1,measured
293,C766,0,1,measured
294,1112,0,1,measured
295,5A44,0,1,measured
296,C0A1,0,1,measured
297,F0B2,0,1,measured
298,8FCD,0,1,measured
299,D821,0,1,measured
300,1DE3,0,1,measured
301,6632,0,1,measured
302,A4BB,0,1,measured
303,EDF3,0,1,measured
304,2B62,0,1,measured
305,2B62,0,1,measured
306,6DE8,0,1,measured
307,B6B8,0,1,measured
308,0001,0,1,measured
309,801E,0,1,measured
310,AC21,0,1,measured
311,F53F,0,1,measured
312,3DC9,0,1,measured
313,8799,0,1,measured
314,D12F,0,1,measured
315,2EED,0,1,measured
316,622A,0,1,measured
317,DF6E,0,1,measured
318,2861,0,1,measured
319,6CE3,0,1,measured
320,BA50,0,1,measured
321,37FC,0,1,measured
322,5B2A,0,1,measured
323,A447,0,1,measured
324,A447,0,1,measured
325,EDDA,0,1,measured
326,3667,0,1,measured
327,7F15,0,1,measured
328,C860,0,1,measured
329,1358,0,1,measured
330,5A1C,0,1,measured
331,9D2E,0,1,measured
332,DA09,0,1,measured
333,22FC,0,1,measured
334,6C2A,0,1,measured
335,B0E0,0,1,measured
336,5399,0,1,measured
337,9D9D,0,1,measured
338,E61B,0,1,measured
339,2F6B,0,1,measured
340,6D86,0,1,measured
341,B609,0,1,measured
342,E1C3,0,1,measured
343,E1C3,0,1,measured
344,0FFA,0,1,measured
345,581F,0,1,measured
346,A0C3,0,1,measured
347,5187,0,1,measured
348,82A4,0,1,measured
349,CF45,0,1,measured
350,0BD8,0,1,measured
351,6504,0,1,measured
352,AAEC,0,1,measured
353,F452,0,1,measured
354,41FB,0,1,measured
355,D29C,0,1,measured
356,1263,0,1,measured
357,590C,0,1,measured
358,A2CE,0,1,measured
359,0DC4,0,1,measured
360,4987,0,1,measured
361,91D1,0,1,measured
362,91D1,0,1,measured
363,DE58,0,1,measured
364,2465,0,1,measured
365,6017,0,1,measured
366,B6F4,0,1,measured
367,047F,0,1,measured
368,4A2F,0,1,measured
369,769C,0,1,measured
370,C369,0,1,measured
371,0905,0,1,measured
372,5271,0,1,measured
373,D224,0,1,measured
374,52DD,0,1,measured
375,9B19,0,1,measured
376,E446,0,1,measured
377,2D91,0,1,measured
378,4D1F,0,1,measured
379,9140,0,1,measured
380,DE9D,0,1,measured
381,DE9D,0,1,measured
382,0E93,0,1,measured
383,3947,0,1,measured
384,8240,0,1,measured
385,CC49,0,1,measured
386,727B,0,1,measured
387,AD86,0,1,measured
388,F6A7,0,1,measured
389,40E7,0,1,measured
390,8913,0,1,measured
391,D30F,0,1,measured
392,2BC2,0,1,measured
393,BA67,0,1,measured
394,FFB1,0,1,measured
395,4CF9,0,1,measured
396,9623,0,1,measured
397,D3B4,0,1,measured
398,320A,0,1,measured
399,6922,0,1,measured
400,6922,0,1,measured
401,B2F0,0,1,measured
402,FB92,0,1,measured
403,44BD,0,1,measured
404,8EE9,0,1,measured
405,D73F,0,1,measured
406,207F,0,1,measured
407,69B8,0,1,measured
408,AB79,0,1,measured
409,E9B9,0,1,measured
410,2953,0,1,measured
411,7C5E,0,1,measured
412,3522,0,1,measured
413,7E3D,0,1,measured
414,C763,0,1,measured
415,10A5,0,1,measured
416,4EC4,0,1,measured
417,A4BB,0,1,measured
418,E385,0,1,measured
419,E385,0,1,measured
420,2BB8,0,1,measured
421,5476,0,1,measured
422,9DE7,0,1,measured
423,E6AA,0,1,measured
424,634C,0,1,measured
425,80C3,0,1,measured
426,CE65,0,1,measured
427,181D,0,1,measured
428,6072,0,1,measured
429,A95F,0,1,measured
430,F29D,0,1,measured
431,916D,0,1,measured
432,D23C,0,1,measured
433,1158,0,1,measured
434,58E8,0,1,measured
435,9659,0,1,measured
436,DFAB,0,1,measured
437,28D3,0,1,measured
438,28D3,0,1,measured
439,7219,0,1,measured
440,B78F,0,1,measured
441,04A6,0,1,measured
442,4DDE,0,1,measured
443,97A9,0,1,measured
444,E050,0,1,measured
445,29A0,0,1,measured
446,5705,0,1,measured
447,8680,0,1,measured
448,CF7A,0,1,measured
449,18A0,0,1,measured
450,05D7,0,1,measured
451,5221,0,1,measured
452,9CC7,0,1,measured
453,E26B,0,1,measured
454,158A,0,1,measured
455,6D09,0,1,measured
456,B9E4,0,1,measured
457,B9E4,0,1,measured
458,FEFC,0,1,measured
459,4095,0,1,measured
460,820C,0,1,measured
461,C780,0,1,measured
462,10F9,0,1,measured
463,81C5,0,1,measured
464,BDBD,0,1,measured
465,01D6,0,1,measured
466,5A23,0,1,measured
467,950F,0,1,measured
468,DF5C,0,1,measured
469,749C,0,1,measured
470,C5BC,0,1,measured
471,F2DE,0,1,measured
472,46B6,0,1,measured
473,7B88,0,1,measured
474,C5BE,0,1,measured
475,2052,0,1,measured
476,2052,0,1,measured
477,5315,0,1,measured
478,9C55,0,1,measured
479,E773,0,1,measured
480,2E24,0,1,measured
481,7765,0,1,measured
482,C0F5,0,1,measured
483,09E5,0,1,measured
484,5246,0,1,measured
485,7C81,0,1,measured
486,73F5,0,1,measured
487,BD6F,0,1,measured
488,F96A,0,1,measured
489,2F44,0,1,measured
490,7855,0,1,measured
491,C24F,0,1,measured
492,0965,0,1,measured
493,4B26,0,1,measured
494,ADC1,0,1,measured
495,ADC1,0,1,measured
496,DBAD,0,1,measured
497,2448,0,1,measured
498,6DB6,0,1,measured
499,B734,0,1,measured
500,FB78,0,1,measured
501,485E,0,1,measured
502,AC18,0,1,measured
503,D8D3,0,1,measured
504,21DD,0,1,measured
505,6C63,0,1,measured
506,B44D,0,1,measured
507,531C,0,1,measured
508,9D5B,0,1,measured
509,EE41,0,1,measured
510,0D0D,0,1,measured
511,3F44,0,1,measured
512,880C,0,1,measured
513,1A15,0,1,measured
514,1A15,0,1,measured
515,44A0,0,1,measured
516,9249,0,1,measured
517,DBD3,0,1,measured
518,24EB,0,1,measured
519,6D24,0,1,measured
520,B786,0,1,measured
521,1AEB,0,1,measured
522,492E,0,1,measured
523,936F,0,1,measured
524,DBC1,0,1,measured
525,24A1,0,1,measured
526,ECF9,0,1,measured
527,1287,0,1,measured
528,5B90,0,1,measured
529,A084,0,1,measured
530,E168,0,1,measured
531,2A41,0,1,measured
532,7390,0,1,measured
533,7390,0,1,measured
534,BD3E,0,1,measured
535,060F,0,1,measured
536,4703,0,1,measured
537,8669,0,1,measured
538,CDFA,0,1,measured
539,1771,0,1,measured
540,6083,0,1,measured
541,A9CA,0,1,measured
542,F2FB,0,1,measured
543,3CE7,0,1,measured
544,856A,0,1,measured
545,245A,0,1,measured
546,6CFD,0,1,measured
547,B642,0,1,measured
548,DF04,0,1,measured
549,02E1,0,1,measured
550,4BD6,0,1,measured
551,9408,0,1,measured
552,9408,0,1,measured
553,40B6,0,1,measured
554,76F2,0,1,measured
555,C23D,0,1,measured
556,0AA9,0,1,measured
557,540D,0,1,measured
558,9D64,0,1,measured
559,E755,0,1,measured
560,2521,0,1,measured
561,7921,0,1,measured
562,BAD5,0,1,measured
563,F8E6,0,1,measured
564,953C,0,1,measured
565,0E43,0,1,measured
566,3C61,0,1,measured
567,8585,0,1,measured
568,C379,0,1,measured
569,0BD8,0,1,measured
570,526A,0,1,measured
571,526A,0,1,measured
572,9AD0,0,1,measured
573,E415,0,1,measured
574,2D49,0,1,measured
575,581F,0,1,measured
576,A600,0,1,measured
577,EEBB,0,1,measured
578,37F5,0,1,measured
579,B969,0,1,measured
580,EFAE,0,1,measured
581,38D5,0,1,measured
582,8290,0,1,measured
583,2132,0,1,measured
584,68AA,0,1,measured
585,948B,0,1,measured
586,DC90,0,1,measured
587,FD1D,0,1,measured
588,2BCF,0,1,measured
589,7060,0,1,measured
590,7060,0,1,measured
591,BCEF,0,1,measured
592,7659,0,1,measured
593,A03C,0,1,measured
594,E949,0,1,measured
595,31F9,0,1,measured
596,7B9C,0,1,measured
597,C535,0,1,measured
598,2DAF,0,1,measured
599,5989,0,1,measured
600,A13D,0,1,measured
601,E973,0,1,measured
602,889D,0,1,measured
603,EC8A,0,1,measured
604,146A,0,1,measured
605,6233,0,1,measured
606,A180,0,1,measured
607,EB4A,0,1,measured
