offset,seed,band,boots,how
268,4F06,0,1,measured
269,8CF0,0,1,measured
270,D5EE,0,1,measured
271,49B9,0,1,measured
272,869B,0,1,measured
273,CE6F,0,1,measured
274,1743,0,1,measured
275,608D,0,1,measured
276,A545,0,1,measured
277,F3C0,0,1,measured
278,3C4B,0,1,measured
279,8583,0,1,measured
280,CB21,0,1,measured
281,13C9,0,1,measured
282,5A4F,0,1,measured
283,09AC,0,1,measured
284,36B2,0,1,measured
285,7E5B,0,1,measured
286,C6A0,0,1,measured
287,1052,0,1,measured
288,599A,0,1,measured
289,BC19,0,1,measured
290,E7BF,0,1,measured
291,356E,0,1,measured
292,7F31,0,1,measured
293,C76E,0,1,measured
294,111A,0,1,measured
295,5A4C,0,1,measured
296,C0A9,0,1,measured
297,F0BA,0,1,measured
298,8FD5,0,1,measured
299,D829,0,1,measured
300,1DEB,0,1,measured
301,663A,0,1,measured
302,A4C3,0,1,measured
303,EDFB,0,1,measured
304,2B6A,0,1,measured
305,2B6A,0,1,measured
306,6DF0,0,1,measured
307,B6C0,0,1,measured
308,0009,0,1,measured
309,8026,0,1,measured
310,AC29,0,1,measured
311,F547,0,1,measured
312,3DD1,0,1,measured
313,87A1,0,1,measured
314,D137,0,1,measured
315,2EF5,0,1,measured
316,6232,0,1,measured
317,DF76,0,1,measured
318,2869,0,1,measured
319,6CEB,0,1,measured
320,BA58,0,1,measured
321,3804,0,1,measured
322,5B32,0,1,measured
323,A44F,0,1,measured
324,A44F,0,1,measured
325,EDE2,0,1,measured
326,366F,0,1,measured
327,7F1D,0,1,measured
328,C868,0,1,measured
329,1360,0,1,measured
330,5A24,0,1,measured
331,9D36,0,1,measured
332,DA11,0,1,measured
333,2304,0,1,measured
334,6C32,0,1,measured
335,B0E8,0,1,measured
336,53A1,0,1,measured
337,9DA5,0,1,measured
338,E623,0,1,measured
339,2F73,0,1,measured
340,6D8E,0,1,measured
341,B611,0,1,measured
342,E1CB,0,1,measured
343,E1CB,0,1,measured
344,1002,0,1,measured
345,5827,0,1,measured
346,A0CB,0,1,measured
347,518F,0,1,measured
348,82AC,0,1,measured
349,CF4D,0,1,measured
350,0BE0,0,1,measured
351,650C,0,1,measured
352,AAF4,0,1,measured
353,F45A,0,1,measured
354,4203,0,1,measured
355,D2A4,0,1,measured
356,126B,0,1,measured
357,5914,0,1,measured
358,A2D6,0,1,measured
359,0DCC,0,1,measured
360,498F,0,1,measured
361,91D9,0,1,measured
362,91D9,0,1,measured
363,DE60,0,1,measured
364,246D,0,1,measured
365,601F,0,1,measured
366,B6FC,0,1,measured
367,0487,0,1,measured
368,4A37,0,1,measured
369,76A4,0,1,measured
370,C371,0,1,measured
371,090D,0,1,measured
372,5279,0,1,measured
373,D22C,0,1,measured
374,52E5,0,1,measured
375,9B21,0,1,measured
376,E44E,0,1,measured
377,2D99,0,1,measured
378,4D27,0,1,measured
379,9148,0,1,measured
380,DEA5,0,1,measured
381,DEA5,0,1,measured
382,0E9B,0,1,measured
383,394F,0,1,measured
384,8248,0,1,measured
385,CC51,0,1,measured
386,7283,0,1,measured
387,AD8E,0,1,measured
388,F6AF,0,1,measured
389,40EF,0,1,measured
390,891B,0,1,measured
391,D317,0,1,measured
392,2BCA,0,1,measured
393,BA6F,0,1,measured
394,FFB9,0,1,measured
395,4D01,0,1,measured
396,962B,0,1,measured
397,D3BC,0,1,measured
398,3212,0,1,measured
399,692A,0,1,measured
400,692A,0,1,measured
401,B2F8,0,1,measured
402,FB9A,0,1,measured
403,44C5,0,1,measured
404,8EF1,0,1,measured
405,D747,0,1,measured
406,2087,0,1,measured
407,69C0,0,1,measured
408,AB81,0,1,measured
409,E9C1,0,1,measured
410,295B,0,1,measured
411,7C66,0,1,measured
412,352A,0,1,measured
413,7E45,0,1,measured
414,C76B,0,1,measured
415,10AD,0,1,measured
416,4ECC,0,1,measured
417,A4C3,0,1,measured
418,E38D,0,1,measured
419,E38D,0,1,measured
420,2BC0,0,1,measured
421,547E,0,1,measured
422,9DEF,0,1,measured
423,E6B2,0,1,measured
424,6354,0,1,measured
425,80CB,0,1,measured
426,CE6D,0,1,measured
427,1825,0,1,measured
428,607A,0,1,measured
429,A967,0,1,measured
430,F2A5,0,1,measured
431,9175,0,1,measured
432,D244,0,1,measured
433,1160,0,1,measured
434,58F0,0,1,measured
435,9661,0,1,measured
436,DFB3,0,1,measured
437,28DB,0,1,measured
438,28DB,0,1,measured
439,7221,0,1,measured
440,B797,0,1,measured
441,04AE,0,1,measured
442,4DE6,0,1,measured
443,97B1,0,1,measured
444,E058,0,1,measured
445,29A8,0,1,measured
446,570D,0,1,measured
447,8688,0,1,measured
448,CF82,0,1,measured
449,18A8,0,1,measured
450,05DF,0,1,measured
451,5229,0,1,measured
452,9CCF,0,1,measured
453,E273,0,1,measured
454,1592,0,1,measured
455,6D11,0,1,measured
456,B9EC,0,1,measured
457,B9EC,0,1,measured
458,FF04,0,1,measured
459,409D,0,1,measured
460,8214,0,1,measured
461,C788,0,1,measured
462,1101,0,1,measured
463,81CD,0,1,measured
464,BDC5,0,1,measured
465,01DE,0,1,measured
466,5A2B,0,1,measured
467,9517,0,1,measured
468,DF64,0,1,measured
469,74A4,0,1,measured
470,C5C4,0,1,measured
471,F2E6,0,1,measured
472,46BE,0,1,measured
473,7B90,0,1,measured
474,C5C6,0,1,measured
475,205A,0,1,measured
476,205A,0,1,measured
477,531D,0,1,measured
478,9C5D,0,1,measured
479,E77B,0,1,measured
480,2E2C,0,1,measured
481,776D,0,1,measured
482,C0FD,0,1,measured
483,09ED,0,1,measured
484,524E,0,1,measured
485,7C89,0,1,measured
486,73FD,0,1,measured
487,BD77,0,1,measured
488,F972,0,1,measured
489,2F4C,0,1,measured
490,785D,0,1,measured
491,C257,0,1,measured
492,096D,0,1,measured
493,4B2E,0,1,measured
494,ADC9,0,1,measured
495,ADC9,0,1,measured
