offset,seed,band,boots,how
6,3AA1,0,1,measured
7,6298,0,1,measured
8,AC17,0,1,measured
9,F4DD,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D05E,0,1,measured
14,F64B,0,1,measured
15,3B7F,0,1,measured
16,3B7F,0,1,measured
17,85B5,0,1,measured
18,17AD,0,1,measured
19,618D,0,1,measured
20,A2F4,0,1,measured
21,F1BA,0,1,measured
22,10CF,0,1,measured
23,4EDB,0,1,measured
24,9732,0,1,measured
25,E064,0,1,measured
26,29B4,0,1,measured
27,72E5,0,1,measured
28,9BAD,0,1,measured
29,AECD,0,1,measured
30,F806,0,1,measured
31,405D,0,1,measured
32,89A6,0,1,measured
33,D2E6,0,1,measured
34,1C22,0,1,measured
35,6181,0,1,measured
36,AE9D,0,1,measured
37,AE9D,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3FE5,0,1,measured
41,636A,0,1,measured
42,ADCB,0,1,measured
43,F54E,0,1,measured
44,3FAD,0,1,measured
45,87C6,0,1,measured
46,D778,0,1,measured
47,1D55,0,1,measured
48,6670,0,1,measured
49,A7F1,0,1,measured
50,E63D,0,1,measured
51,2645,0,1,measured
52,7965,0,1,measured
53,C335,0,1,measured
54,0B2A,0,1,measured
55,5430,0,1,measured
56,CC3C,0,1,measured
57,152B,0,1,measured
58,5F9B,0,1,measured
59,AACA,0,1,measured
60,EF91,0,1,measured
61,3720,0,1,measured
62,809C,0,1,measured
63,A9A7,0,1,measured
64,6919,0,1,measured
65,84BE,0,1,measured
66,D404,0,1,measured
67,1B64,0,1,measured
68,65B7,0,1,measured
69,AD7E,0,1,measured
70,F76B,0,1,measured
71,4186,0,1,measured
72,8B10,0,1,measured
73,FDBB,0,1,measured
74,202B,0,1,measured
75,6581,0,1,measured
76,AFCC,0,1,measured
77,F789,0,1,measured
78,416E,0,1,measured
79,8B82,0,1,measured
80,D06C,0,1,measured
81,1A41,0,1,measured
82,8F3F,0,1,measured
83,B000,0,1,measured
84,FA86,0,1,measured
85,41DB,0,1,measured
86,8C37,0,1,measured
87,D4AE,0,1,measured
88,1EC2,0,1,measured
89,1EC2,0,1,measured
90,69F6,0,1,measured
91,DC51,0,1,measured
92,FB4A,0,1,measured
93,45C0,0,1,measured
94,8D31,0,1,measured
95,1A84,0,1,measured
96,692A,0,1,measured
97,B347,0,1,measured
98,FCCA,0,1,measured
99,6F11,0,1,measured
100,8E8A,0,1,measured
101,D900,0,1,measured
102,2071,0,1,measured
103,6AC4,0,1,measured
104,B59D,0,1,measured
105,FD58,0,1,measured
106,4563,0,1,measured
107,B885,0,1,measured
108,D793,0,1,measured
109,2201,0,1,measured
110,64B0,0,1,measured
111,64B0,0,1,measured
112,B3BC,0,1,measured
113,FB8C,0,1,measured
114,4566,0,1,measured
115,8F8C,0,1,measured
116,D916,0,1,measured
117,4D6A,0,1,measured
118,6646,0,1,measured
119,AF52,0,1,measured
120,FA6B,0,1,measured
121,8A47,0,1,measured
122,D3F7,0,1,measured
123,1CE1,0,1,measured
124,652D,0,1,measured
125,A39E,0,1,measured
126,E542,0,1,measured
127,2E09,0,1,measured
128,7873,0,1,measured
129,C747,0,1,measured
130,0A2E,0,1,measured
131,57AA,0,1,measured
132,A1A2,0,1,measured
133,E5E1,0,1,measured
134,3470,0,1,measured
135,7C93,0,1,measured
136,C5EB,0,1,measured
137,0F52,0,1,measured
138,3A50,0,1,measured
139,693A,0,1,measured
140,A80E,0,1,measured
141,FB8A,0,1,measured
142,A13F,0,1,measured
143,DA2E,0,1,measured
144,25C4,0,1,measured
145,6E2C,0,1,measured
146,B77C,0,1,measured
147,00DE,0,1,measured
148,4ADF,0,1,measured
149,944E,0,1,measured
150,DC93,0,1,measured
151,1E20,0,1,measured
152,5C6E,0,1,measured
153,A55C,0,1,measured
154,294D,0,1,measured
155,4D44,0,1,measured
156,9AF9,0,1,measured
157,E4AA,0,1,measured
158,2CE7,0,1,measured
159,7685,0,1,measured
160,BFB7,0,1,measured
161,0964,0,1,measured
162,4FED,0,1,measured
163,7C7D,0,1,measured
164,C5ED,0,1,measured
165,0EB4,0,1,measured
166,57EB,0,1,measured
167,D4B4,0,1,measured
168,EC47,0,1,measured
169,35A6,0,1,measured
170,7A60,0,1,measured
171,C746,0,1,measured
172,1017,0,1,measured
173,5958,0,1,measured
174,A306,0,1,measured
175,EBF6,0,1,measured
176,1587,0,1,measured
177,4596,0,1,measured
178,8D70,0,1,measured
179,D679,0,1,measured
180,8933,0,1,measured
181,BA41,0,1,measured
182,036A,0,1,measured
183,4C0E,0,1,measured
184,95C0,0,1,measured
185,DABF,0,1,measured
186,25D2,0,1,measured
187,8A83,0,1,measured
188,BB0C,0,1,measured
189,042B,0,1,measured
190,4CCE,0,1,measured
191,9674,0,1,measured
192,E017,0,1,measured
193,4B1D,0,1,measured
194,7399,0,1,measured
195,BEDB,0,1,measured
196,0A50,0,1,measured
197,50C3,0,1,measured
198,9A24,0,1,measured
199,E745,0,1,measured
200,2104,0,1,measured
201,73A6,0,1,measured
202,B45A,0,1,measured
203,F5D3,0,1,measured
204,3B52,0,1,measured
205,84AA,0,1,measured
206,06D4,0,1,measured
207,39C5,0,1,measured
208,82E2,0,1,measured
209,D044,0,1,measured
210,1576,0,1,measured
211,5C3F,0,1,measured
212,A829,0,1,measured
213,EDE3,0,1,measured
214,36F2,0,1,measured
215,5712,0,1,measured
216,AC8A,0,1,measured
217,F1FF,0,1,measured
218,3B66,0,1,measured
219,BEA1,0,1,measured
220,E327,0,1,measured
221,2C4D,0,1,measured
222,75F9,0,1,measured
223,BE51,0,1,measured
224,0853,0,1,measured
225,50D8,0,1,measured
226,99BD,0,1,measured
227,E217,0,1,measured
228,0944,0,1,measured
229,468A,0,1,measured
230,8A65,0,1,measured
231,D817,0,1,measured
232,2466,0,1,measured
233,6993,0,1,measured
234,B251,0,1,measured
235,FC34,0,1,measured
236,44CF,0,1,measured
237,8E08,0,1,measured
238,D7FE,0,1,measured
239,20CA,0,1,measured
240,69CF,0,1,measured
241,9558,0,1,measured
242,BF72,0,1,measured
243,0882,0,1,measured
244,D62F,0,1,measured
245,E6F9,0,1,measured
246,34E3,0,1,measured
247,7EBD,0,1,measured
248,C616,0,1,measured
249,1022,0,1,measured
250,5894,0,1,measured
251,A2FA,0,1,measured
252,EBCE,0,1,measured
253,2CD4,0,1,measured
254,6B5C,0,1,measured
255,B3E3,0,1,measured
256,FD1B,0,1,measured
257,9376,0,1,measured
258,C96C,0,1,measured
259,1299,0,1,measured
260,57D5,0,1,measured
261,A56B,0,1,measured
262,ED7E,0,1,measured
263,3795,0,1,measured
264,7FFC,0,1,measured
265,CA01,0,1,measured
266,CA01,0,1,measured
267,F628,0,1,measured
268,4EFE,0,1,measured
269,8CE0,0,1,measured
270,D5E6,0,1,measured
271,49B1,0,1,measured
272,869F,0,1,measured
273,CE66,0,1,measured
274,1742,0,1,measured
275,607B,0,1,measured
276,A53F,0,1,measured
277,F3B8,0,1,measured
278,3C43,0,1,measured
279,857B,0,1,measured
280,CB12,0,1,measured
281,13CA,0,1,measured
282,5A47,0,1,measured
283,09AB,0,1,measured
284,36B5,0,1,measured
285,7E51,0,1,measured
286,C69A,0,1,measured
287,1053,0,1,measured
288,5992,0,1,measured
289,BC11,0,1,measured
290,E7AE,0,1,measured
291,356E,0,1,measured
292,7F28,0,1,measured
293,C764,0,1,measured
294,1112,0,1,measured
295,5A47,0,1,measured
296,C097,0,1,measured
297,F0AB,0,1,measured
298,8FD5,0,1,measured
299,D829,0,1,measured
300,1DE3,0,1,measured
301,662A,0,1,measured
302,A4C4,0,1,measured
303,EDF1,0,1,measured
304,2B59,0,1,measured
305,2B59,0,1,measured
306,6DF1,0,1,measured
307,B6B8,0,1,measured
308,0003,0,1,measured
309,801E,0,1,measured
310,AC2C,0,1,measured
