offset,seed,band,boots,how
6,3AA6,0,1,measured
22,10C7,0,1,measured
23,4EDE,0,1,measured
24,9732,0,1,measured
28,9BBD,0,1,measured
29,AEE3,0,1,measured
30,F808,0,1,measured
34,1C3B,0,1,measured
35,6175,0,1,measured
40,3FFA,0,1,measured
41,6360,0,1,measured
45,876E,0,1,measured
46,D7F5,0,1,measured
51,2657,0,1,measured
53,C335,0,1,measured
58,5F9A,0,1,measured
60,F0E7,0,1,measured
61,379A,0,1,measured
62,809F,0,1,measured
65,84CA,0,1,measured
66,D40C,0,1,measured
71,4194,0,1,measured
72,8B10,0,1,measured
76,AFEA,0,1,measured
77,F77B,0,1,measured
78,4179,0,1,measured
81,1A56,0,1,measured
82,8F41,0,1,measured
83,AFFB,0,1,measured
86,8C4E,0,1,measured
87,D4B8,0,1,measured
91,DDE2,0,1,measured
92,FCB1,0,1,measured
93,43FC,0,1,measured
96,693E,0,1,measured
98,FB6A,0,1,measured
101,D91E,0,1,measured
