offset,seed,band,boots,how
6,3AAA,0,1,measured
7,62A1,0,1,measured
8,AC21,0,1,measured
9,F4EF,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D011,0,1,measured
14,F5DA,0,1,measured
15,3B71,0,1,measured
16,3B71,0,1,measured
17,85A4,0,1,measured
18,1785,0,1,measured
19,6178,0,1,measured
20,A2E9,0,1,measured
21,F19B,0,1,measured
22,10D7,0,1,measured
23,4EE4,0,1,measured
24,9733,0,1,measured
25,E078,0,1,measured
26,29B3,0,1,measured
27,72F9,0,1,measured
28,9BB6,0,1,measured
29,AECD,0,1,measured
30,F810,0,1,measured
31,4066,0,1,measured
32,89A6,0,1,measured
33,D2E6,0,1,measured
34,1C22,0,1,measured
35,618D,0,1,measured
36,AEB2,0,1,measured
37,AEB2,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3F99,0,1,measured
41,6330,0,1,measured
42,AD86,0,1,measured
43,F541,0,1,measured
44,3F87,0,1,measured
45,87B3,0,1,measured
46,D76E,0,1,measured
47,1D60,0,1,measured
48,6676,0,1,measured
49,A7FA,0,1,measured
50,E64F,0,1,measured
51,2642,0,1,measured
52,7958,0,1,measured
53,C30A,0,1,measured
54,0B33,0,1,measured
55,5439,0,1,measured
56,CC45,0,1,measured
57,153D,0,1,measured
58,5F99,0,1,measured
59,AA87,0,1,measured
60,EF9D,0,1,measured
61,3734,0,1,measured
62,80A5,0,1,measured
63,A9B6,0,1,measured
64,68D6,0,1,measured
65,8491,0,1,measured
66,D3CB,0,1,measured
67,1B56,0,1,measured
68,6590,0,1,measured
69,AD69,0,1,measured
70,F77F,0,1,measured
71,4141,0,1,measured
72,8ACF,0,1,measured
73,FD71,0,1,measured
74,1FB4,0,1,measured
75,6574,0,1,measured
76,AFA7,0,1,measured
77,F769,0,1,measured
78,4178,0,1,measured
79,8B49,0,1,measured
80,D02A,0,1,measured
81,1A4A,0,1,measured
82,8EF4,0,1,measured
83,AFD3,0,1,measured
84,FA4E,0,1,measured
85,41D6,0,1,measured
86,8C10,0,1,measured
87,D4C1,0,1,measured
88,1E80,0,1,measured
89,1E80,0,1,measured
90,697B,0,1,measured
91,DC16,0,1,measured
92,FB21,0,1,measured
93,4586,0,1,measured
94,8D17,0,1,measured
95,1A76,0,1,measured
96,693C,0,1,measured
97,B2FF,0,1,measured
98,FC8E,0,1,measured
99,6ECD,0,1,measured
100,8E54,0,1,measured
101,D8C6,0,1,measured
102,2060,0,1,measured
103,6A98,0,1,measured
104,B566,0,1,measured
105,FD0B,0,1,measured
106,4534,0,1,measured
107,B849,0,1,measured
108,D75C,0,1,measured
109,21BF,0,1,measured
110,6497,0,1,measured
111,6497,0,1,measured
112,B391,0,1,measured
113,FB7E,0,1,measured
114,4571,0,1,measured
115,8F53,0,1,measured
116,D8D4,0,1,measured
117,4D46,0,1,measured
118,6611,0,1,measured
119,AF1C,0,1,measured
120,FA2B,0,1,measured
121,8A31,0,1,measured
122,D3DC,0,1,measured
123,1CC3,0,1,measured
124,653E,0,1,measured
125,A388,0,1,measured
126,E540,0,1,measured
127,2E1C,0,1,measured
128,785E,0,1,measured
129,C747,0,1,measured
130,0A37,0,1,measured
131,57B4,0,1,measured
132,A190,0,1,measured
133,E5F2,0,1,measured
134,345D,0,1,measured
135,7C9C,0,1,measured
136,C5F3,0,1,measured
137,0F5C,0,1,measured
138,3A37,0,1,measured
139,6932,0,1,measured
140,A819,0,1,measured
141,FB6F,0,1,measured
142,A14B,0,1,measured
143,DA2D,0,1,measured
144,25A6,0,1,measured
145,6E3A,0,1,measured
146,B783,0,1,measured
147,00EB,0,1,measured
148,4ACF,0,1,measured
149,9439,0,1,measured
150,DC9F,0,1,measured
151,1E29,0,1,measured
152,5C77,0,1,measured
153,A565,0,1,measured
154,2920,0,1,measured
155,4D0D,0,1,measured
156,9ACD,0,1,measured
157,E474,0,1,measured
158,2CE8,0,1,measured
159,7658,0,1,measured
160,BF8A,0,1,measured
161,0937,0,1,measured
162,4FF6,0,1,measured
163,7C86,0,1,measured
164,C600,0,1,measured
165,0EC9,0,1,measured
166,57EB,0,1,measured
167,D485,0,1,measured
168,EC25,0,1,measured
169,357C,0,1,measured
170,7A33,0,1,measured
171,C725,0,1,measured
172,1008,0,1,measured
173,5943,0,1,measured
174,A2F7,0,1,measured
175,EBE0,0,1,measured
176,1587,0,1,measured
177,4581,0,1,measured
178,8D79,0,1,measured
179,D682,0,1,measured
180,88F8,0,1,measured
181,BA09,0,1,measured
182,0334,0,1,measured
183,4C0C,0,1,measured
