offset,seed,band,boots,how
6,3AAA,0,1,measured
7,62A1,0,1,measured
8,AC21,0,1,measured
13,D011,0,1,measured
14,F5DA,0,1,measured
15,3B71,0,1,measured
16,3B71,0,1,measured
17,85A4,0,1,measured
18,1785,0,1,measured
19,6178,0,1,measured
20,A2E9,0,1,measured
21,F19B,0,1,measured
22,10D7,0,1,measured
23,4EE4,0,1,measured
27,72F9,0,1,measured
28,9BB6,0,1,measured
30,F810,0,1,measured
31,4066,0,1,measured
32,89A6,0,1,measured
34,1C22,0,1,measured
35,618D,0,1,measured
36,AEB2,0,1,measured
37,AEB2,0,1,measured
41,6330,0,1,measured
42,AD86,0,1,measured
43,F541,0,1,measured
44,3F87,0,1,measured
45,87B3,0,1,measured
46,D76E,0,1,measured
47,1D60,0,1,measured
49,A7FA,0,1,measured
50,E64F,0,1,measured
51,2642,0,1,measured
53,C30A,0,1,measured
56,CC45,0,1,measured
59,AA87,0,1,measured
60,EF9D,0,1,measured
61,3734,0,1,measured
62,80A5,0,1,measured
63,A9B6,0,1,measured
64,68D6,0,1,measured
69,AD69,0,1,measured
70,F77F,0,1,measured
71,4141,0,1,measured
74,1FB4,0,1,measured
75,6574,0,1,measured
76,AFA7,0,1,measured
77,F769,0,1,measured
83,AFD3,0,1,measured
84,FA4E,0,1,measured
85,41D6,0,1,measured
86,8C10,0,1,measured
87,D4C1,0,1,measured
90,697B,0,1,measured
91,DC16,0,1,measured
92,FB21,0,1,measured
93,4586,0,1,measured
94,8D17,0,1,measured
95,1A76,0,1,measured
96,693C,0,1,measured
97,B2FF,0,1,measured
98,FC8E,0,1,measured
99,6ECD,0,1,measured
104,B566,0,1,measured
105,FD0B,0,1,measured
106,4534,0,1,measured
109,21BF,0,1,measured
112,B391,0,1,measured
113,FB7E,0,1,measured
114,4571,0,1,measured
119,AF1C,0,1,measured
120,FA2B,0,1,measured
121,8A31,0,1,measured
122,D3DC,0,1,measured
124,653E,0,1,measured
125,A388,0,1,measured
126,E540,0,1,measured
132,A190,0,1,measured
133,E5F2,0,1,measured
134,345D,0,1,measured
135,7C9C,0,1,measured
136,C5F3,0,1,measured
137,0F5C,0,1,measured
138,3A37,0,1,measured
139,6932,0,1,measured
140,A819,0,1,measured
141,FB6F,0,1,measured
142,A14B,0,1,measured
146,B783,0,1,measured
147,00EB,0,1,measured
148,4ACF,0,1,measured
149,9439,0,1,measured
150,DC9F,0,1,measured
151,1E29,0,1,measured
152,5C77,0,1,measured
153,A565,0,1,measured
154,2920,0,1,measured
155,4D0D,0,1,measured
156,9ACD,0,1,measured
158,2CE8,0,1,measured
160,BF8A,0,1,measured
161,0937,0,1,measured
162,4FF6,0,1,measured
163,7C86,0,1,measured
165,0EC9,0,1,measured
166,57EB,0,1,measured
167,D485,0,1,measured
168,EC25,0,1,measured
169,357C,0,1,measured
174,A2F7,0,1,measured
175,EBE0,0,1,measured
179,D682,0,1,measured
180,88F8,0,1,measured
181,BA09,0,1,measured
182,0334,0,1,measured
183,4C0C,0,1,measured
184,9588,0,1,measured
185,DA9C,0,1,measured
186,25DC,0,1,measured
187,8A4E,0,1,measured
188,BADF,0,1,measured
189,03FE,0,1,measured
194,732F,0,1,measured
195,BEB0,0,1,measured
197,5097,0,1,measured
198,99F5,0,1,measured
202,B458,0,1,measured
203,F5DC,0,1,measured
204,3B53,0,1,measured
205,84BE,0,1,measured
209,D015,0,1,measured
210,1540,0,1,measured
211,5C51,0,1,measured
213,EDF9,0,1,measured
216,AC97,0,1,measured
217,F208,0,1,measured
218,3B66,0,1,measured
223,BE3D,0,1,measured
224,0824,0,1,measured
225,50D6,0,1,measured
226,99A1,0,1,measured
228,093B,0,1,measured
230,8A78,0,1,measured
231,D820,0,1,measured
232,2465,0,1,measured
237,8E09,0,1,measured
238,D7E9,0,1,measured
239,20C9,0,1,measured
240,69E3,0,1,measured
241,9549,0,1,measured
242,BF7B,0,1,measured
244,D62B,0,1,measured
245,E6ED,0,1,measured
251,A2F8,0,1,measured
252,EBBA,0,1,measured
253,2CDB,0,1,measured
254,6B65,0,1,measured
255,B3F4,0,1,measured
258,C94E,0,1,measured
259,1278,0,1,measured
261,A55E,0,1,measured
265,C9E7,0,1,measured
266,C9E7,0,1,measured
267,F629,0,1,measured
268,4EDD,0,1,measured
270,D5CE,0,1,measured
271,49BA,0,1,measured
272,8685,0,1,measured
273,CE64,0,1,measured
274,1744,0,1,measured
276,A551,0,1,measured
280,CB1B,0,1,measured
281,13AC,0,1,measured
284,3655,0,1,measured
285,7E2A,0,1,measured
286,C6A4,0,1,measured
287,1027,0,1,measured
