offset,seed,band,boots,how
15,3E93,0,1,measured
16,3E93,0,1,measured
17,85A3,0,1,measured
19,6178,0,1,measured
27,72F3,0,1,measured
28,9BC6,0,1,measured
29,AEEB,0,1,measured
30,F811,0,1,measured
31,4064,0,1,measured
32,89A6,0,1,measured
34,1C3B,0,1,measured
35,6187,0,1,measured
36,AEA7,0,1,measured
37,AEA7,0,1,measured
40,3FAE,0,1,measured
41,633A,0,1,measured
43,F536,0,1,measured
45,875E,0,1,measured
46,D7E6,0,1,measured
51,2658,0,1,measured
52,795B,0,1,measured
53,C30A,0,1,measured
54,0B3B,0,1,measured
57,1534,0,1,measured
60,F0DE,0,1,measured
61,37A4,0,1,measured
63,A9AD,0,1,measured
65,84A6,0,1,measured
66,D3BD,0,1,measured
67,1B4D,0,1,measured
71,4150,0,1,measured
72,8AC5,0,1,measured
73,FD77,0,1,measured
74,1C96,0,1,measured
76,AFB4,0,1,measured
81,1A5F,0,1,measured
84,FA47,0,1,measured
86,8C2F,0,1,measured
87,D4B8,0,1,measured
88,1E89,0,1,measured
91,DD75,0,1,measured
94,8E39,0,1,measured
96,6948,0,1,measured
101,D8DB,0,1,measured
102,2057,0,1,measured
