offset,seed,band,boots,how
6,3AAA,0,1,term
7,62A1,0,1,term
8,AC13,0,1,term
9,F4EA,0,1,term
10,3E21,0,1,term
11,8761,0,1,term
12,D0A1,0,1,term
13,D010,0,1,term
14,F2B2,0,1,term
15,3E86,0,1,term
16,3E86,0,1,term
17,85A3,0,1,term
18,178D,0,1,term
19,616A,0,1,term
20,A2E8,0,1,term
21,F19D,0,1,term
22,10CB,0,1,term
23,4ED5,0,1,term
24,972E,0,1,term
25,E073,0,1,term
26,29AE,0,1,term
27,72F7,0,1,term
28,9BAC,0,1,term
29,AEC8,0,1,term
30,F80D,0,1,term
31,4067,0,1,term
32,89AA,0,1,term
33,D2E1,0,1,term
34,1C21,0,1,term
35,6179,0,1,term
36,AEAC,0,1,term
37,AEAC,0,1,term
38,F7E1,0,1,term
39,4121,0,1,term
40,3F94,0,1,term
41,6336,0,1,term
42,AD88,0,1,term
43,F53F,0,1,term
44,3F84,0,1,term
45,8744,0,1,term
46,D7D4,0,1,term
47,1D5A,0,1,term
48,6671,0,1,term
49,A7F0,0,1,term
50,E63D,0,1,term
51,263E,0,1,term
52,7953,0,1,term
53,C30D,0,1,term
54,0B2E,0,1,term
55,5434,0,1,term
56,CC32,0,1,term
57,1538,0,1,term
58,5F94,0,1,term
59,A9DE,0,1,term
60,F0BA,0,1,term
61,3794,0,1,term
62,80A3,0,1,term
63,A9AF,0,1,term
64,68DE,0,1,term
65,848C,0,1,term
66,D3C6,0,1,term
67,1B51,0,1,term
68,658B,0,1,term
69,AD68,0,1,term
70,F76A,0,1,term
71,4136,0,1,term
72,8ACA,0,1,term
73,FD6C,0,1,term
74,1C85,0,1,term
75,6883,0,1,term
76,AF9E,0,1,term
77,F75F,0,1,term
78,4173,0,1,term
79,8B44,0,1,term
80,D025,0,1,term
81,1A45,0,1,term
82,8EEF,0,1,term
83,AFD1,0,1,term
84,FA36,0,1,term
85,41C8,0,1,term
86,8C10,0,1,term
87,D4BE,0,1,term
88,1E7B,0,1,term
89,1E7B,0,1,term
90,67A6,0,1,term
91,DD5B,0,1,term
92,FC68,0,1,term
93,43DF,0,1,term
94,8E33,0,1,term
95,1AD6,0,1,term
96,692F,0,1,term
97,B2EE,0,1,term
98,FB3B,0,1,term
99,6E61,0,1,term
100,8E4F,0,1,term
101,D8C1,0,1,term
102,205B,0,1,term
103,6A93,0,1,term
104,B342,0,1,term
105,FF4D,0,1,term
106,453B,0,1,term
107,B844,0,1,term
108,D757,0,1,term
109,21AF,0,1,term
110,6492,0,1,term
111,6492,0,1,term
112,B38F,0,1,term
113,FB69,0,1,term
114,4567,0,1,term
115,8F4E,0,1,term
116,D8CF,0,1,term
117,4D41,0,1,term
118,660C,0,1,term
119,AF1B,0,1,term
120,F8C0,0,1,term
121,8A21,0,1,term
122,D3DF,0,1,term
123,1CBE,0,1,term
124,6531,0,1,term
125,A387,0,1,term
126,E537,0,1,term
127,2E17,0,1,term
128,7859,0,1,term
129,C742,0,1,term
130,0A32,0,1,term
131,57AF,0,1,term
132,A18E,0,1,term
133,E5E9,0,1,term
134,3380,0,1,term
135,7D7D,0,1,term
136,C5E3,0,1,term
137,0F4D,0,1,term
138,3A3C,0,1,term
139,6896,0,1,term
140,A80E,0,1,term
141,FB77,0,1,term
142,A139,0,1,term
143,DA28,0,1,term
144,25A1,0,1,term
145,6E35,0,1,term
146,B782,0,1,term
147,00D6,0,1,term
148,4ACB,0,1,term
149,93F4,0,1,term
150,DCDA,0,1,term
151,1E1B,0,1,term
152,5C7C,0,1,term
153,A564,0,1,term
154,2917,0,1,term
155,4D11,0,1,term
156,9ABD,0,1,term
157,E46F,0,1,term
158,2CEB,0,1,term
159,7653,0,1,term
160,BF88,0,1,term
161,092C,0,1,term
162,4FFE,0,1,term
163,7C8C,0,1,term
164,C5FB,0,1,term
165,0EC3,0,1,term
166,57E4,0,1,term
167,D484,0,1,term
168,EC1A,0,1,term
169,356C,0,1,term
170,7A2E,0,1,term
171,C720,0,1,term
172,1003,0,1,term
173,593E,0,1,term
174,A2F6,0,1,term
175,EBDF,0,1,term
176,1582,0,1,term
177,457C,0,1,term
178,8D74,0,1,term
179,D636,0,1,term
180,8A97,0,1,term
181,BA12,0,1,term
182,0398,0,1,term
183,4C12,0,1,term
184,958B,0,1,term
185,DA46,0,1,term
186,2850,0,1,term
187,8B29,0,1,term
188,BADC,0,1,term
189,03E9,0,1,term
190,4CC8,0,1,term
191,9638,0,1,term
192,DFE0,0,1,term
193,4AE0,0,1,term
194,7178,0,1,term
195,C04C,0,1,term
196,0A4D,0,1,term
197,508A,0,1,term
198,99E9,0,1,term
199,E71C,0,1,term
200,2112,0,1,term
201,73AC,0,1,term
202,B458,0,1,term
203,F5D2,0,1,term
204,3B56,0,1,term
205,84AE,0,1,term
206,0697,0,1,term
207,3993,0,1,term
208,82B0,0,1,term
209,CE98,0,1,term
210,16B5,0,1,term
211,5C4B,0,1,term
212,A82D,0,1,term
213,EDF2,0,1,term
214,36F6,0,1,term
215,5719,0,1,term
216,AC96,0,1,term
217,F206,0,1,term
218,3B6C,0,1,term
219,BE78,0,1,term
220,E2F3,0,1,term
221,2C10,0,1,term
222,75C3,0,1,term
223,BE3C,0,1,term
224,0719,0,1,term
225,51CB,0,1,term
226,9991,0,1,term
227,E223,0,1,term
228,0929,0,1,term
229,4690,0,1,term
230,8A77,0,1,term
231,D80D,0,1,term
232,2469,0,1,term
233,6994,0,1,term
234,B255,0,1,term
235,FC20,0,1,term
236,44CA,0,1,term
237,8E07,0,1,term
238,D7E0,0,1,term
239,2086,0,1,term
240,6A1C,0,1,term
