offset,seed,band,boots,how
6,3AC4,0,1,measured
7,62BB,0,1,measured
8,AC2D,0,1,measured
9,F504,0,1,measured
10,3E3B,0,1,measured
11,877B,0,1,measured
12,D0BB,0,1,measured
13,D077,0,1,measured
14,F2F8,0,1,measured
15,3F01,0,1,measured
16,3F01,0,1,measured
17,85D2,0,1,measured
18,17D3,0,1,measured
19,61BB,0,1,measured
20,A31E,0,1,measured
21,F1D5,0,1,measured
22,10EC,0,1,measured
23,4EF9,0,1,measured
24,9748,0,1,measured
25,E08D,0,1,measured
26,29C8,0,1,measured
27,7308,0,1,measured
28,9BC6,0,1,measured
29,AEE2,0,1,measured
30,F827,0,1,measured
31,4081,0,1,measured
32,89BB,0,1,measured
33,D2FB,0,1,measured
34,1C3B,0,1,measured
35,6193,0,1,measured
36,AEBC,0,1,measured
37,AEBC,0,1,measured
38,F804,0,1,measured
39,413B,0,1,measured
40,3FFA,0,1,measured
41,6386,0,1,measured
42,ADE3,0,1,measured
43,F572,0,1,measured
44,3FCC,0,1,measured
45,8777,0,1,measured
46,D80A,0,1,measured
47,1D74,0,1,measured
48,668F,0,1,measured
49,A80A,0,1,measured
50,E657,0,1,measured
51,2658,0,1,measured
52,7983,0,1,measured
53,C361,0,1,measured
54,0B48,0,1,measured
55,5458,0,1,measured
56,CC4C,0,1,measured
57,1549,0,1,measured
58,5FAE,0,1,measured
59,AA26,0,1,measured
60,F0FB,0,1,measured
61,37AE,0,1,measured
62,80BD,0,1,measured
63,A9CA,0,1,measured
64,6944,0,1,measured
65,84DC,0,1,measured
66,D423,0,1,measured
67,1B79,0,1,measured
68,65DF,0,1,measured
69,ADA3,0,1,measured
70,F78E,0,1,measured
71,419C,0,1,measured
72,8B28,0,1,measured
73,FDD9,0,1,measured
74,1CD9,0,1,measured
75,6901,0,1,measured
76,AFF4,0,1,measured
77,F7A3,0,1,measured
78,4196,0,1,measured
79,8BA9,0,1,measured
80,D082,0,1,measured
81,1A5F,0,1,measured
82,8F54,0,1,measured
83,B020,0,1,measured
84,FAA8,0,1,measured
85,4201,0,1,measured
86,8C5F,0,1,measured
87,D4D6,0,1,measured
88,1EEA,0,1,measured
89,1EEA,0,1,measured
90,6805,0,1,measured
91,DDF8,0,1,measured
92,FCCB,0,1,measured
93,4414,0,1,measured
94,8E82,0,1,measured
95,1B06,0,1,measured
96,6948,0,1,measured
97,B351,0,1,measured
98,FB95,0,1,measured
99,6EC5,0,1,measured
100,8EA8,0,1,measured
101,D91D,0,1,measured
102,2085,0,1,measured
103,6AEA,0,1,measured
104,B35B,0,1,measured
105,FFF7,0,1,measured
106,458C,0,1,measured
107,B8AA,0,1,measured
108,D7A6,0,1,measured
109,221F,0,1,measured
110,64CE,0,1,measured
111,64CE,0,1,measured
112,B3D7,0,1,measured
113,FBA5,0,1,measured
114,458A,0,1,measured
115,8FAA,0,1,measured
116,D934,0,1,measured
117,4D90,0,1,measured
118,6664,0,1,measured
119,AF74,0,1,measured
120,F919,0,1,measured
121,8A5A,0,1,measured
122,D410,0,1,measured
123,1CF7,0,1,measured
124,6556,0,1,measured
125,A3B6,0,1,measured
126,E55B,0,1,measured
127,2E31,0,1,measured
128,789D,0,1,measured
129,C75C,0,1,measured
130,0A4C,0,1,measured
131,57C9,0,1,measured
132,A1C2,0,1,measured
133,E603,0,1,measured
134,339A,0,1,measured
135,7DB4,0,1,measured
136,C605,0,1,measured
137,0F67,0,1,measured
138,3A65,0,1,measured
139,68B2,0,1,measured
140,A81E,0,1,measured
141,FBAA,0,1,measured
142,A15D,0,1,measured
143,DA4D,0,1,measured
144,25D9,0,1,measured
145,6E54,0,1,measured
146,B795,0,1,measured
147,00F9,0,1,measured
148,4AFD,0,1,measured
149,9429,0,1,measured
150,DCF3,0,1,measured
151,1E35,0,1,measured
152,5C96,0,1,measured
153,A57E,0,1,measured
154,2967,0,1,measured
155,4D57,0,1,measured
156,9B17,0,1,measured
157,E4BF,0,1,measured
158,2CFD,0,1,measured
159,76A3,0,1,measured
160,BFD7,0,1,measured
161,097B,0,1,measured
162,500E,0,1,measured
163,7CA4,0,1,measured
164,C615,0,1,measured
165,0EDD,0,1,measured
166,57FE,0,1,measured
167,D4D5,0,1,measured
168,EC60,0,1,measured
169,35BB,0,1,measured
170,7A7E,0,1,measured
171,C764,0,1,measured
172,103E,0,1,measured
173,5976,0,1,measured
174,A332,0,1,measured
175,EC0F,0,1,measured
176,15A5,0,1,measured
177,45B4,0,1,measured
178,8D86,0,1,measured
179,D650,0,1,measured
180,8B1D,0,1,measured
181,BA61,0,1,measured
182,03E8,0,1,measured
183,4C22,0,1,measured
184,95DE,0,1,measured
185,DA94,0,1,measured
186,2896,0,1,measured
187,8B79,0,1,measured
188,BB2C,0,1,measured
189,0442,0,1,measured
190,4CE3,0,1,measured
191,9687,0,1,measured
192,E02E,0,1,measured
193,4B30,0,1,measured
194,71E4,0,1,measured
195,C0D6,0,1,measured
196,0A5F,0,1,measured
197,50D7,0,1,measured
198,9A41,0,1,measured
199,E763,0,1,measured
200,2129,0,1,measured
201,73C4,0,1,measured
202,B472,0,1,measured
203,F5EC,0,1,measured
204,3B68,0,1,measured
205,84C8,0,1,measured
206,06F2,0,1,measured
207,39F0,0,1,measured
208,8300,0,1,measured
209,CEBB,0,1,measured
210,173A,0,1,measured
211,5C65,0,1,measured
212,A847,0,1,measured
213,EE0E,0,1,measured
214,3710,0,1,measured
215,5729,0,1,measured
216,ACB0,0,1,measured
217,F220,0,1,measured
218,3B86,0,1,measured
219,BEC6,0,1,measured
220,E34B,0,1,measured
221,2C6A,0,1,measured
222,7612,0,1,measured
223,BE7E,0,1,measured
224,0759,0,1,measured
225,521C,0,1,measured
226,99E3,0,1,measured
227,E23D,0,1,measured
228,0962,0,1,measured
229,469F,0,1,measured
230,8A91,0,1,measured
231,D827,0,1,measured
232,247A,0,1,measured
233,69AE,0,1,measured
234,B26F,0,1,measured
235,FC52,0,1,measured
236,44E4,0,1,measured
237,8E21,0,1,measured
238,D818,0,1,measured
239,2097,0,1,measured
240,6A40,0,1,measured
241,9575,0,1,measured
242,BF90,0,1,measured
243,08A8,0,1,measured
244,D65D,0,1,measured
245,E70B,0,1,measured
246,34F6,0,1,measured
247,7EDB,0,1,measured
248,C636,0,1,measured
249,1040,0,1,measured
250,58AA,0,1,measured
251,A329,0,1,measured
252,EBE7,0,1,measured
253,2CE9,0,1,measured
254,6B28,0,1,measured
255,B454,0,1,measured
256,FD36,0,1,measured
257,9394,0,1,measured
258,C984,0,1,measured
259,12B3,0,1,measured
260,57F4,0,1,measured
261,A589,0,1,measured
262,ED91,0,1,measured
263,37A8,0,1,measured
264,801C,0,1,measured
265,CA1E,0,1,measured
266,CA09,0,1,measured
267,F624,0,1,measured
268,4F10,0,1,measured
269,8CE9,0,1,measured
270,D4F4,0,1,measured
271,4BC6,0,1,measured
272,8547,0,1,measured
273,CDF6,0,1,measured
274,1748,0,1,measured
275,6086,0,1,measured
276,A548,0,1,measured
277,F3B8,0,1,measured
278,3C4C,0,1,measured
279,858D,0,1,measured
280,CB1E,0,1,measured
281,13D3,0,1,measured
282,5A50,0,1,measured
283,09B4,0,1,measured
284,34E6,0,1,measured
285,803C,0,1,measured
286,C6A7,0,1,measured
287,104D,0,1,measured
288,598E,0,1,measured
289,BC24,0,1,measured
290,E7C0,0,1,measured
291,3578,0,1,measured
292,7F30,0,1,measured
293,C77A,0,1,measured
294,110B,0,1,measured
295,5A5A,0,1,measured
296,C0AD,0,1,measured
297,F0BD,0,1,measured
298,8E29,0,1,measured
299,D9ED,0,1,measured
300,1DF2,0,1,measured
301,663B,0,1,measured
302,A4CC,0,1,measured
303,EE04,0,1,measured
304,2B6B,0,1,measured
305,2B6B,0,1,measured
306,6DF1,0,1,measured
307,B6BC,0,1,measured
308,FFFD,0,1,measured
309,8027,0,1,measured
310,AC33,0,1,measured
311,F541,0,1,measured
312,3DD2,0,1,measured
313,87AA,0,1,measured
314,D13B,0,1,measured
315,2EF2,0,1,measured
316,6225,0,1,measured
317,DF6E,0,1,measured
318,285F,0,1,measured
319,6CE3,0,1,measured
320,BA5D,0,1,measured
321,37F5,0,1,measured
322,5B32,0,1,measured
323,A44F,0,1,measured
324,A44F,0,1,measured
325,EDEC,0,1,measured
326,3665,0,1,measured
327,7F1E,0,1,measured
328,C86C,0,1,measured
329,1228,0,1,measured
330,5B36,0,1,measured
331,9D35,0,1,measured
332,DA1A,0,1,measured
333,22FA,0,1,measured
334,6C3B,0,1,measured
335,B0F7,0,1,measured
336,5399,0,1,measured
337,9D9C,0,1,measured
338,E62E,0,1,measured
339,2F74,0,1,measured
340,6D86,0,1,measured
341,B620,0,1,measured
342,E1D1,0,1,measured
343,E1D1,0,1,measured
344,0F10,0,1,measured
345,5912,0,1,measured
346,A0D3,0,1,measured
347,5190,0,1,measured
348,82AE,0,1,measured
349,CF4D,0,1,measured
350,0BDC,0,1,measured
351,6516,0,1,measured
352,AB01,0,1,measured
353,F45A,0,1,measured
354,41F9,0,1,measured
355,D2AA,0,1,measured
356,1270,0,1,measured
357,590C,0,1,measured
358,A280,0,1,measured
359,0E17,0,1,measured
360,498D,0,1,measured
361,91DA,0,1,measured
362,91DA,0,1,measured
363,DE68,0,1,measured
364,2468,0,1,measured
365,602A,0,1,measured
366,B6FD,0,1,measured
367,0493,0,1,measured
368,4A38,0,1,measured
369,76AE,0,1,measured
370,C36B,0,1,measured
371,090B,0,1,measured
372,5283,0,1,measured
373,D22B,0,1,measured
374,54B3,0,1,measured
375,9B29,0,1,measured
376,E455,0,1,measured
377,2D8C,0,1,measured
378,4D1F,0,1,measured
379,9152,0,1,measured
380,DE9B,0,1,measured
381,DE9B,0,1,measured
382,0E9C,0,1,measured
383,3949,0,1,measured
384,8253,0,1,measured
385,CC50,0,1,measured
386,7285,0,1,measured
387,AD92,0,1,measured
388,F6A7,0,1,measured
389,409D,0,1,measured
390,8964,0,1,measured
391,D319,0,1,measured
392,2BC6,0,1,measured
393,BA70,0,1,measured
394,FFBD,0,1,measured
395,4CFA,0,1,measured
396,9624,0,1,measured
397,D3CE,0,1,measured
398,320E,0,1,measured
399,6935,0,1,measured
400,6935,0,1,measured
401,B2F6,0,1,measured
402,FB90,0,1,measured
403,44CE,0,1,measured
404,8E02,0,1,measured
