offset,seed,band,boots,how
6,3AAA,0,1,measured
7,62A1,0,1,measured
8,AC21,0,1,measured
13,D05E,0,1,measured
14,F651,0,1,measured
15,3B81,0,1,measured
16,3B81,0,1,measured
17,85CA,0,1,measured
20,A2FD,0,1,measured
21,F1C4,0,1,measured
22,10D8,0,1,measured
27,72F9,0,1,measured
28,9BB6,0,1,measured
30,F810,0,1,measured
31,4066,0,1,measured
32,89A6,0,1,measured
34,1C22,0,1,measured
35,618D,0,1,measured
36,AEB2,0,1,measured
37,AEB2,0,1,measured
41,6371,0,1,measured
42,ADC9,0,1,measured
43,F55E,0,1,measured
44,3FB4,0,1,measured
45,87CE,0,1,measured
46,D781,0,1,measured
47,1D68,0,1,measured
49,A7F0,0,1,measured
50,E646,0,1,measured
51,2642,0,1,measured
53,C33E,0,1,measured
55,5439,0,1,measured
56,CC44,0,1,measured
59,AAD3,0,1,measured
60,EF9A,0,1,measured
61,3734,0,1,measured
62,80AE,0,1,measured
63,A9B6,0,1,measured
64,6922,0,1,measured
69,AD89,0,1,measured
70,F77C,0,1,measured
71,4185,0,1,measured
74,202A,0,1,measured
75,6585,0,1,measured
76,AFD3,0,1,measured
77,F791,0,1,measured
83,B008,0,1,measured
84,FA98,0,1,measured
85,41E6,0,1,measured
86,8C43,0,1,measured
87,D4B8,0,1,measured
90,69F6,0,1,measured
91,DC5A,0,1,measured
92,FB58,0,1,measured
93,45D5,0,1,measured
94,8D32,0,1,measured
95,1A97,0,1,measured
97,B34C,0,1,measured
98,FCD5,0,1,measured
99,6F24,0,1,measured
100,8E97,0,1,measured
101,D915,0,1,measured
102,2077,0,1,measured
104,B5B0,0,1,measured
105,FD58,0,1,measured
112,B3B9,0,1,measured
113,FB95,0,1,measured
114,456B,0,1,measured
119,AF5B,0,1,measured
120,FA7D,0,1,measured
121,8A50,0,1,measured
125,A39C,0,1,measured
126,E54B,0,1,measured
127,2E20,0,1,measured
132,A1A7,0,1,measured
133,E5F2,0,1,measured
134,347C,0,1,measured
135,7CA7,0,1,measured
136,C5F3,0,1,measured
137,0F5B,0,1,measured
139,6949,0,1,measured
140,A819,0,1,measured
141,FB88,0,1,measured
142,A148,0,1,measured
146,B783,0,1,measured
147,00E1,0,1,measured
148,4AE4,0,1,measured
149,9454,0,1,measured
150,DC94,0,1,measured
151,1E2C,0,1,measured
152,5C77,0,1,measured
153,A565,0,1,measured
154,2956,0,1,measured
155,4D4A,0,1,measured
156,9AF9,0,1,measured
160,BFC0,0,1,measured
161,0969,0,1,measured
162,5003,0,1,measured
163,7C91,0,1,measured
165,0EC7,0,1,measured
166,57EB,0,1,measured
167,D4BD,0,1,measured
168,EC59,0,1,measured
169,35A5,0,1,measured
174,A318,0,1,measured
175,EBFF,0,1,measured
176,1587,0,1,measured
178,8D7B,0,1,measured
179,D682,0,1,measured
180,892E,0,1,measured
181,BA40,0,1,measured
182,036A,0,1,measured
184,95BF,0,1,measured
185,DAD1,0,1,measured
186,25DC,0,1,measured
187,8A85,0,1,measured
188,BB0B,0,1,measured
189,042A,0,1,measured
194,73A2,0,1,measured
195,BEE4,0,1,measured
196,0A52,0,1,measured
197,50C3,0,1,measured
198,9A2C,0,1,measured
202,B458,0,1,measured
203,F5DC,0,1,measured
204,3B53,0,1,measured
205,84BE,0,1,measured
209,D056,0,1,measured
210,1574,0,1,measured
211,5C51,0,1,measured
213,EDF7,0,1,measured
216,AC97,0,1,measured
217,F208,0,1,measured
218,3B66,0,1,measured
223,BE64,0,1,measured
224,085C,0,1,measured
225,50E0,0,1,measured
226,99B6,0,1,measured
228,0958,0,1,measured
230,8A78,0,1,measured
231,D820,0,1,measured
232,246E,0,1,measured
237,8E09,0,1,measured
238,D807,0,1,measured
239,20D3,0,1,measured
240,69E3,0,1,measured
241,9561,0,1,measured
242,BF7B,0,1,measured
244,D644,0,1,measured
245,E6FB,0,1,measured
246,34E9,0,1,measured
251,A310,0,1,measured
252,EBD0,0,1,measured
253,2CD2,0,1,measured
254,6B5B,0,1,measured
255,B3F4,0,1,measured
256,FD17,0,1,measured
258,C96C,0,1,measured
259,12A2,0,1,measured
260,57D6,0,1,measured
261,A57D,0,1,measured
265,CA06,0,1,measured
266,CA06,0,1,measured
267,F629,0,1,measured
270,D5E4,0,1,measured
271,49BA,0,1,measured
272,869C,0,1,measured
273,CE6D,0,1,measured
274,174D,0,1,measured
275,608D,0,1,measured
276,A551,0,1,measured
280,CB1B,0,1,measured
281,13CA,0,1,measured
284,36BE,0,1,measured
285,7E5B,0,1,measured
286,C698,0,1,measured
287,104F,0,1,measured
288,5999,0,1,measured
