offset,seed,band,boots,how
20,A309,0,1,measured
27,72F3,0,1,measured
28,9BC6,0,1,measured
29,AEEB,0,1,measured
30,F811,0,1,measured
31,4064,0,1,measured
32,89A6,0,1,measured
34,1C3B,0,1,measured
35,6187,0,1,measured
36,AEA7,0,1,measured
37,AEA7,0,1,measured
40,3FFA,0,1,measured
41,6371,0,1,measured
45,8777,0,1,measured
46,D7FF,0,1,measured
47,1D67,0,1,measured
49,A7F5,0,1,measured
51,2658,0,1,measured
53,C33E,0,1,measured
54,0B33,0,1,measured
57,153D,0,1,measured
60,F0FB,0,1,measured
61,37A4,0,1,measured
65,84DC,0,1,measured
67,1B6D,0,1,measured
68,65CB,0,1,measured
71,419C,0,1,measured
74,1CCA,0,1,measured
76,AFF4,0,1,measured
77,F773,0,1,measured
81,1A5F,0,1,measured
86,8C5F,0,1,measured
87,D4B8,0,1,measured
88,1ED3,0,1,measured
91,DDF8,0,1,measured
96,6948,0,1,measured
98,FB79,0,1,measured
99,6EB4,0,1,measured
101,D91D,0,1,measured
104,B33B,0,1,measured
