offset,seed,band,boots,how
6,3AAF,0,1,measured
7,62A6,0,1,measured
8,AC18,0,1,measured
9,F4EF,0,1,measured
10,3E26,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D062,0,1,measured
14,F2E6,0,1,measured
15,3EEE,0,1,measured
16,3EEE,0,1,measured
17,85BC,0,1,measured
18,17BC,0,1,measured
19,61A3,0,1,measured
20,A301,0,1,measured
21,F1C1,0,1,measured
22,10D7,0,1,measured
23,4EE4,0,1,measured
24,9733,0,1,measured
25,E078,0,1,measured
26,29B3,0,1,measured
27,72FC,0,1,measured
28,9BB1,0,1,measured
29,AECD,0,1,measured
30,F812,0,1,measured
31,406C,0,1,measured
32,89AF,0,1,measured
33,D2E6,0,1,measured
34,1C26,0,1,measured
35,617E,0,1,measured
36,AEB1,0,1,measured
37,AEB1,0,1,measured
38,F7E6,0,1,measured
39,4126,0,1,measured
40,3FE5,0,1,measured
41,6369,0,1,measured
42,ADCC,0,1,measured
43,F55C,0,1,measured
44,3FBB,0,1,measured
45,8759,0,1,measured
46,D7F5,0,1,measured
47,1D5F,0,1,measured
48,6676,0,1,measured
49,A7FE,0,1,measured
50,E642,0,1,measured
51,2643,0,1,measured
52,796E,0,1,measured
53,C34C,0,1,measured
54,0B3B,0,1,measured
55,5443,0,1,measured
56,CC37,0,1,measured
57,1534,0,1,measured
58,5F99,0,1,measured
59,AA11,0,1,measured
60,F0E6,0,1,measured
61,3799,0,1,measured
62,80A8,0,1,measured
63,A9AD,0,1,measured
64,692F,0,1,measured
65,84C7,0,1,measured
66,D40B,0,1,measured
67,1B66,0,1,measured
68,65C3,0,1,measured
69,AD8D,0,1,measured
70,F77A,0,1,measured
71,4186,0,1,measured
72,8B15,0,1,measured
73,FDC4,0,1,measured
74,1CC4,0,1,measured
75,68ED,0,1,measured
76,AFDE,0,1,measured
77,F78D,0,1,measured
78,4181,0,1,measured
79,8B93,0,1,measured
80,D06D,0,1,measured
81,1A4A,0,1,measured
82,8F3F,0,1,measured
83,B00A,0,1,measured
84,FA97,0,1,measured
85,41E7,0,1,measured
86,8C4B,0,1,measured
87,D4C1,0,1,measured
88,1ECC,0,1,measured
89,1ECC,0,1,measured
90,67F0,0,1,measured
91,DDE3,0,1,measured
92,FCB9,0,1,measured
93,43F9,0,1,measured
94,8E6C,0,1,measured
95,1AF1,0,1,measured
96,693A,0,1,measured
97,B33D,0,1,measured
98,FB7A,0,1,measured
99,6EA9,0,1,measured
100,8E98,0,1,measured
101,D909,0,1,measured
102,2072,0,1,measured
103,6AD2,0,1,measured
104,B347,0,1,measured
105,FFE3,0,1,measured
106,4576,0,1,measured
107,B895,0,1,measured
108,D791,0,1,measured
109,220A,0,1,measured
110,64B9,0,1,measured
111,64B9,0,1,measured
112,B3C0,0,1,measured
113,FB8E,0,1,measured
114,4571,0,1,measured
115,8F95,0,1,measured
116,D91F,0,1,measured
117,4D7B,0,1,measured
118,664F,0,1,measured
119,AF5F,0,1,measured
120,F904,0,1,measured
121,8A45,0,1,measured
122,D3FB,0,1,measured
123,1CE2,0,1,measured
124,6541,0,1,measured
125,A3AA,0,1,measured
126,E546,0,1,measured
127,2E1C,0,1,measured
128,7888,0,1,measured
129,C747,0,1,measured
130,0A37,0,1,measured
131,57AA,0,1,measured
132,A1AC,0,1,measured
133,E5EE,0,1,measured
134,337A,0,1,measured
135,7D9F,0,1,measured
136,C5F0,0,1,measured
137,0F52,0,1,measured
138,3A50,0,1,measured
139,689B,0,1,measured
140,A809,0,1,measured
141,FB96,0,1,measured
142,A13E,0,1,measured
143,DA3A,0,1,measured
144,25C0,0,1,measured
145,6E39,0,1,measured
146,B77E,0,1,measured
147,00E7,0,1,measured
148,4AE5,0,1,measured
149,9418,0,1,measured
150,DCDF,0,1,measured
151,1E20,0,1,measured
152,5C81,0,1,measured
153,A569,0,1,measured
154,2952,0,1,measured
155,4D4B,0,1,measured
156,9B02,0,1,measured
157,E4AA,0,1,measured
158,2CE8,0,1,measured
159,768E,0,1,measured
160,BFC2,0,1,measured
161,0966,0,1,measured
162,4FF9,0,1,measured
163,7C8F,0,1,measured
164,C600,0,1,measured
165,0EC8,0,1,measured
166,57E9,0,1,measured
167,D4C0,0,1,measured
168,EC4B,0,1,measured
169,35A6,0,1,measured
170,7A69,0,1,measured
171,C74D,0,1,measured
172,1029,0,1,measured
173,5961,0,1,measured
174,A31D,0,1,measured
175,EC02,0,1,measured
176,1590,0,1,measured
177,459F,0,1,measured
178,8D71,0,1,measured
179,D63B,0,1,measured
180,8B08,0,1,measured
181,BA4B,0,1,measured
182,03CF,0,1,measured
183,4C0C,0,1,measured
184,95C6,0,1,measured
185,DA7F,0,1,measured
186,2881,0,1,measured
187,8B64,0,1,measured
188,BB1B,0,1,measured
189,042E,0,1,measured
190,4CCD,0,1,measured
191,9674,0,1,measured
192,E01C,0,1,measured
193,4B1B,0,1,measured
194,71CF,0,1,measured
195,C0C1,0,1,measured
196,0A4A,0,1,measured
197,50C4,0,1,measured
198,9A24,0,1,measured
199,E74E,0,1,measured
200,2114,0,1,measured
201,73B1,0,1,measured
202,B45D,0,1,measured
203,F5D7,0,1,measured
204,3B5B,0,1,measured
205,84B3,0,1,measured
206,06D2,0,1,measured
207,39DB,0,1,measured
208,82EB,0,1,measured
209,CEA6,0,1,measured
210,1725,0,1,measured
211,5C50,0,1,measured
212,A832,0,1,measured
213,EDF9,0,1,measured
214,36FB,0,1,measured
215,571E,0,1,measured
216,AC9B,0,1,measured
217,F20B,0,1,measured
218,3B71,0,1,measured
219,BEB1,0,1,measured
220,E333,0,1,measured
221,2C57,0,1,measured
222,75FD,0,1,measured
223,BE68,0,1,measured
224,0734,0,1,measured
225,5205,0,1,measured
226,99CD,0,1,measured
227,E228,0,1,measured
228,094D,0,1,measured
229,468A,0,1,measured
230,8A7C,0,1,measured
231,D812,0,1,measured
232,2465,0,1,measured
233,6999,0,1,measured
234,B25A,0,1,measured
235,FC3D,0,1,measured
236,44CF,0,1,measured
237,8E0C,0,1,measured
238,D803,0,1,measured
239,2082,0,1,measured
240,6A21,0,1,measured
241,9562,0,1,measured
242,BF84,0,1,measured
243,088B,0,1,measured
244,D648,0,1,measured
245,E6F6,0,1,measured
246,34E1,0,1,measured
247,7EC6,0,1,measured
248,C621,0,1,measured
249,102B,0,1,measured
250,5895,0,1,measured
251,A314,0,1,measured
252,EBD2,0,1,measured
253,2CD4,0,1,measured
254,6B13,0,1,measured
255,B43F,0,1,measured
256,FD21,0,1,measured
257,9373,0,1,measured
258,C96F,0,1,measured
259,1294,0,1,measured
260,57E0,0,1,measured
261,A574,0,1,measured
262,ED78,0,1,measured
263,3793,0,1,measured
264,8005,0,1,measured
265,CA09,0,1,measured
266,CA09,0,1,measured
267,F62D,0,1,measured
268,4F20,0,1,measured
269,8D01,0,1,measured
270,D515,0,1,measured
271,4BE6,0,1,measured
272,855F,0,1,measured
273,CE0E,0,1,measured
274,1760,0,1,measured
275,609E,0,1,measured
276,A568,0,1,measured
277,F3D9,0,1,measured
278,3C59,0,1,measured
279,85A8,0,1,measured
280,CB36,0,1,measured
281,13E3,0,1,measured
282,5A68,0,1,measured
283,09CB,0,1,measured
284,3500,0,1,measured
285,8053,0,1,measured
286,C6BC,0,1,measured
287,1064,0,1,measured
288,59AA,0,1,measured
289,BC32,0,1,measured
290,E7CF,0,1,measured
291,358D,0,1,measured
292,7F4A,0,1,measured
293,C791,0,1,measured
294,1132,0,1,measured
295,5A73,0,1,measured
296,C0B8,0,1,measured
297,F0D5,0,1,measured
298,8E39,0,1,measured
299,DA06,0,1,measured
300,1DFE,0,1,measured
301,664D,0,1,measured
302,A4DB,0,1,measured
303,EE1F,0,1,measured
304,2B83,0,1,measured
305,2B83,0,1,measured
306,6E09,0,1,measured
307,B6D4,0,1,measured
308,0015,0,1,measured
309,804B,0,1,measured
310,AC4B,0,1,measured
311,F562,0,1,measured
312,3DEA,0,1,measured
313,87C2,0,1,measured
314,D14B,0,1,measured
315,2F03,0,1,measured
316,6245,0,1,measured
317,DF91,0,1,measured
318,2881,0,1,measured
319,6CFB,0,1,measured
320,BA76,0,1,measured
321,380D,0,1,measured
322,5B55,0,1,measured
323,A46D,0,1,measured
324,A46D,0,1,measured
325,EDFA,0,1,measured
326,367D,0,1,measured
327,7F36,0,1,measured
328,C87C,0,1,measured
329,1249,0,1,measured
330,5B4E,0,1,measured
331,9D44,0,1,measured
332,DA32,0,1,measured
333,2312,0,1,measured
334,6C4B,0,1,measured
335,B105,0,1,measured
336,53B1,0,1,measured
337,9DB4,0,1,measured
338,E63C,0,1,measured
339,2F8C,0,1,measured
340,6D9E,0,1,measured
341,B638,0,1,measured
342,E1EC,0,1,measured
343,E1EC,0,1,measured
344,0F28,0,1,measured
345,592A,0,1,measured
346,A0EB,0,1,measured
347,51AA,0,1,measured
348,82C5,0,1,measured
349,CF72,0,1,measured
350,0BFD,0,1,measured
351,6526,0,1,measured
352,AB17,0,1,measured
353,F472,0,1,measured
354,421C,0,1,measured
355,D2C3,0,1,measured
356,127F,0,1,measured
357,592D,0,1,measured
358,A2A3,0,1,measured
359,0E2F,0,1,measured
360,499E,0,1,measured
361,91FE,0,1,measured
362,91FE,0,1,measured
363,DE7E,0,1,measured
364,2480,0,1,measured
365,6043,0,1,measured
366,B714,0,1,measured
367,04AA,0,1,measured
368,4A53,0,1,measured
369,76C6,0,1,measured
370,C38B,0,1,measured
371,0918,0,1,measured
372,5292,0,1,measured
373,D237,0,1,measured
374,54D4,0,1,measured
375,9B37,0,1,measured
376,E46D,0,1,measured
377,2DA4,0,1,measured
378,4D37,0,1,measured
379,9161,0,1,measured
380,DEB3,0,1,measured
381,DEB3,0,1,measured
382,0EB4,0,1,measured
383,3968,0,1,measured
384,826D,0,1,measured
385,CC72,0,1,measured
386,72A6,0,1,measured
387,AD9F,0,1,measured
388,F6C8,0,1,measured
389,40BF,0,1,measured
390,8984,0,1,measured
391,D331,0,1,measured
392,2BDE,0,1,measured
393,BA7F,0,1,measured
394,FFD2,0,1,measured
395,4D1A,0,1,measured
396,9648,0,1,measured
397,D3E3,0,1,measured
398,322E,0,1,measured
399,6944,0,1,measured
400,6944,0,1,measured
401,B30F,0,1,measured
402,FBB1,0,1,measured
403,44E6,0,1,measured
404,8E1A,0,1,measured
405,D862,0,1,measured
406,209A,0,1,measured
407,69DA,0,1,measured
408,AB91,0,1,measured
409,E9D2,0,1,measured
410,296A,0,1,measured
411,7C89,0,1,measured
412,353F,0,1,measured
413,7E5E,0,1,measured
414,C77B,0,1,measured
415,10C6,0,1,measured
416,4EEF,0,1,measured
417,A4DC,0,1,measured
418,E362,0,1,measured
419,E362,0,1,measured
420,2C15,0,1,measured
421,5497,0,1,measured
422,9E11,0,1,measured
423,E6CB,0,1,measured
424,636C,0,1,measured
425,80ED,0,1,measured
426,CE8A,0,1,measured
427,1833,0,1,measured
428,6089,0,1,measured
429,A978,0,1,measured
430,F2BE,0,1,measured
431,9196,0,1,measured
432,D26B,0,1,measured
433,1135,0,1,measured
434,5953,0,1,measured
435,9679,0,1,measured
436,DFCC,0,1,measured
437,28F4,0,1,measured
438,28F4,0,1,measured
439,7231,0,1,measured
440,B7AB,0,1,measured
441,04B7,0,1,measured
442,4DFF,0,1,measured
443,97D3,0,1,measured
444,E07B,0,1,measured
445,29C1,0,1,measured
446,5726,0,1,measured
447,86AE,0,1,measured
448,CF9F,0,1,measured
449,17D9,0,1,measured
450,05F2,0,1,measured
451,5238,0,1,measured
452,9CEA,0,1,measured
453,E290,0,1,measured
454,15A7,0,1,measured
455,6D28,0,1,measured
456,BA14,0,1,measured
457,BA14,0,1,measured
