offset,seed,band,boots,how
6,0270,0,1,measured
7,4BC0,0,1,measured
8,94F3,0,1,measured
9,A7B5,0,1,measured
10,EC8C,0,1,measured
11,3AAF,0,1,measured
12,6294,0,1,measured
13,AC0E,0,1,measured
14,F4DD,0,1,measured
15,3E1D,0,1,measured
16,875D,0,1,measured
17,D09D,0,1,measured
18,D00C,0,1,measured
19,F2A4,0,1,measured
20,3E7D,0,1,measured
21,859A,0,1,measured
22,CE47,0,1,measured
23,177B,0,1,measured
24,616E,0,1,measured
25,A2E3,0,1,measured
26,F18F,0,1,measured
27,10CE,0,1,measured
28,4EDB,0,1,measured
29,9732,0,1,measured
30,E064,0,1,measured
31,29B3,0,1,measured
32,72F2,0,1,measured
33,9BB1,0,1,measured
34,AECE,0,1,measured
35,F808,0,1,measured
36,405B,0,1,measured
37,899D,0,1,measured
38,D2DD,0,1,measured
39,1C1D,0,1,measured
40,6175,0,1,measured
41,AE9E,0,1,measured
42,F7DD,0,1,measured
43,411D,0,1,measured
44,3F90,0,1,measured
45,6333,0,1,measured
46,AD79,0,1,measured
47,F538,0,1,measured
48,3F74,0,1,measured
49,8859,0,1,measured
50,D8EF,0,1,measured
51,1D5F,0,1,measured
52,6670,0,1,measured
53,A7EC,0,1,measured
54,E639,0,1,measured
55,263A,0,1,measured
56,7946,0,1,measured
57,C309,0,1,measured
58,0BC7,0,1,measured
59,5430,0,1,measured
60,832F,0,1,measured
61,CC2E,0,1,measured
62,1534,0,1,measured
63,5F9A,0,1,measured
64,A9DA,0,1,measured
65,F0BF,0,1,measured
66,3799,0,1,measured
67,80A8,0,1,measured
68,A9A3,0,1,measured
69,68D9,0,1,measured
70,847E,0,1,measured
71,D3B6,0,1,measured
72,1B4F,0,1,measured
73,6587,0,1,measured
74,AE93,0,1,measured
75,F76D,0,1,measured
76,4133,0,1,measured
77,8ABE,0,1,measured
78,FD6E,0,1,measured
79,1C8C,0,1,measured
80,6888,0,1,measured
81,AF7C,0,1,measured
82,F76D,0,1,measured
83,416E,0,1,measured
84,8B3B,0,1,measured
85,D018,0,1,measured
86,1A48,0,1,measured
87,8EEB,0,1,measured
88,AFC3,0,1,measured
89,FA3A,0,1,measured
90,41C4,0,1,measured
91,8C07,0,1,measured
92,D4AE,0,1,measured
93,1E75,0,1,measured
94,679B,0,1,measured
95,DD57,0,1,measured
96,FC64,0,1,measured
97,43D9,0,1,measured
98,8E09,0,1,measured
99,D715,0,1,measured
100,1ADB,0,1,measured
101,692A,0,1,measured
102,B2EA,0,1,measured
103,FB3F,0,1,measured
104,6E54,0,1,measured
105,8E57,0,1,measured
106,D8B3,0,1,measured
107,205A,0,1,measured
108,6A9A,0,1,measured
109,B335,0,1,measured
110,FF1D,0,1,measured
111,452C,0,1,measured
112,B838,0,1,measured
113,D753,0,1,measured
114,21B2,0,1,measured
115,648E,0,1,measured
116,B38D,0,1,measured
117,FC7B,0,1,measured
118,456C,0,1,measured
119,8F4A,0,1,measured
120,D8C2,0,1,measured
121,4D34,0,1,measured
122,660F,0,1,measured
123,AF17,0,1,measured
124,F8C5,0,1,measured
125,4246,0,1,measured
126,8A1D,0,1,measured
127,D3D2,0,1,measured
128,1CBA,0,1,measured
129,652C,0,1,measured
130,A384,0,1,measured
131,E533,0,1,measured
132,2E16,0,1,measured
133,785F,0,1,measured
134,C73F,0,1,measured
135,0A2E,0,1,measured
136,57A0,0,1,measured
137,A181,0,1,measured
138,E5DB,0,1,measured
139,337B,0,1,measured
140,7D77,0,1,measured
141,C5DF,0,1,measured
142,0F52,0,1,measured
143,3A2E,0,1,measured
144,6893,0,1,measured
145,A800,0,1,measured
146,FB74,0,1,measured
147,A17C,0,1,measured
148,DA25,0,1,measured
149,25A3,0,1,measured
150,6E38,0,1,measured
151,B777,0,1,measured
152,00DB,0,1,measured
153,4AC5,0,1,measured
154,93F0,0,1,measured
155,DCD4,0,1,measured
156,1E17,0,1,measured
157,5C79,0,1,measured
158,A560,0,1,measured
159,2966,0,1,measured
160,4D0E,0,1,measured
161,9AB9,0,1,measured
162,E46B,0,1,measured
163,2CE9,0,1,measured
164,7647,0,1,measured
165,BF87,0,1,measured
166,0928,0,1,measured
167,4FF7,0,1,measured
168,7C7D,0,1,measured
169,C5ED,0,1,measured
170,0EBF,0,1,measured
171,57E0,0,1,measured
172,D478,0,1,measured
173,EC17,0,1,measured
174,3568,0,1,measured
175,7A28,0,1,measured
176,C71C,0,1,measured
177,1007,0,1,measured
178,5942,0,1,measured
179,A2FB,0,1,measured
180,EBDB,0,1,measured
181,1589,0,1,measured
182,4578,0,1,measured
183,8E8B,0,1,measured
184,D632,0,1,measured
185,8A0B,0,1,measured
186,BA0C,0,1,measured
187,0391,0,1,measured
188,4C0E,0,1,measured
189,9589,0,1,measured
190,DA38,0,1,measured
191,2842,0,1,measured
192,8B5A,0,1,measured
193,BAD1,0,1,measured
194,03E4,0,1,measured
195,4CC5,0,1,measured
196,9632,0,1,measured
