offset,seed,band,boots,how
6,026F,0,1,measured
7,4BBD,0,1,measured
8,94F9,0,1,measured
9,A7C5,0,1,measured
10,EC9A,0,1,measured
11,3AAC,0,1,measured
12,62A3,0,1,measured
13,AC1F,0,1,measured
14,F4E3,0,1,measured
15,3E2C,0,1,measured
16,876C,0,1,measured
17,D0AC,0,1,measured
18,D01C,0,1,measured
19,F2AC,0,1,measured
20,3E84,0,1,measured
21,85A0,0,1,measured
22,CE4D,0,1,measured
23,1781,0,1,measured
24,6168,0,1,measured
25,A2E9,0,1,measured
26,F1A0,0,1,measured
27,10D5,0,1,measured
28,4EE1,0,1,measured
29,973C,0,1,measured
30,E075,0,1,measured
31,29B9,0,1,measured
32,72F8,0,1,measured
33,9BB8,0,1,measured
34,AECA,0,1,measured
35,F805,0,1,measured
36,406B,0,1,measured
37,89A3,0,1,measured
38,D2EC,0,1,measured
39,1C2C,0,1,measured
40,6184,0,1,measured
41,AEA4,0,1,measured
42,F7E3,0,1,measured
43,412C,0,1,measured
44,3F9F,0,1,measured
45,6338,0,1,measured
46,AD87,0,1,measured
47,F534,0,1,measured
48,3F7A,0,1,measured
49,8865,0,1,measured
50,D8F5,0,1,measured
51,1D5C,0,1,measured
52,666C,0,1,measured
53,A7FB,0,1,measured
54,E63F,0,1,measured
55,2640,0,1,measured
56,7955,0,1,measured
57,C307,0,1,measured
58,0BC9,0,1,measured
59,5440,0,1,measured
60,8335,0,1,measured
61,CC34,0,1,measured
62,1532,0,1,measured
63,5FA0,0,1,measured
64,A9E1,0,1,measured
65,F0BC,0,1,measured
66,37A0,0,1,measured
67,80A5,0,1,measured
68,A9B2,0,1,measured
69,68D4,0,1,measured
70,848E,0,1,measured
71,D3BB,0,1,measured
72,1B4B,0,1,measured
73,658C,0,1,measured
74,AE90,0,1,measured
75,F76D,0,1,measured
76,4138,0,1,measured
77,8ACC,0,1,measured
78,FD6E,0,1,measured
79,1C93,0,1,measured
80,6883,0,1,measured
81,AF89,0,1,measured
82,F761,0,1,measured
83,4180,0,1,measured
84,8B3D,0,1,measured
85,D028,0,1,measured
86,1A4E,0,1,measured
87,8EFD,0,1,measured
88,AFD4,0,1,measured
89,FA38,0,1,measured
90,41CB,0,1,measured
91,8C0C,0,1,measured
92,D4B4,0,1,measured
93,1E84,0,1,measured
94,67A9,0,1,measured
95,DD50,0,1,measured
96,FC73,0,1,measured
97,43EA,0,1,measured
98,8E11,0,1,measured
99,D71B,0,1,measured
100,1AE4,0,1,measured
101,6938,0,1,measured
102,B2F0,0,1,measured
103,FB44,0,1,measured
104,6E58,0,1,measured
105,8E5F,0,1,measured
106,D8B6,0,1,measured
107,2054,0,1,measured
108,6A92,0,1,measured
109,B346,0,1,measured
110,FF2D,0,1,measured
111,4537,0,1,measured
112,B848,0,1,measured
113,D761,0,1,measured
114,21BC,0,1,measured
115,649F,0,1,measured
116,B38B,0,1,measured
117,FC90,0,1,measured
118,4571,0,1,measured
119,8F4F,0,1,measured
120,D8D2,0,1,measured
121,4D3A,0,1,measured
122,6615,0,1,measured
123,AF25,0,1,measured
124,F8C2,0,1,measured
125,4242,0,1,measured
126,8A23,0,1,measured
127,D3E1,0,1,measured
128,1CC0,0,1,measured
129,6532,0,1,measured
130,A38B,0,1,measured
131,E541,0,1,measured
132,2E1A,0,1,measured
133,7864,0,1,measured
134,C750,0,1,measured
135,0A34,0,1,measured
136,57B0,0,1,measured
137,A191,0,1,measured
138,E5E1,0,1,measured
139,3381,0,1,measured
140,7D75,0,1,measured
141,C5E5,0,1,measured
142,0F59,0,1,measured
143,3A34,0,1,measured
144,68A1,0,1,measured
145,A810,0,1,measured
146,FB6E,0,1,measured
147,A182,0,1,measured
148,DA2C,0,1,measured
149,25A4,0,1,measured
150,6E37,0,1,measured
151,B779,0,1,measured
152,00E3,0,1,measured
153,4AC0,0,1,measured
154,93F8,0,1,measured
155,DCD6,0,1,measured
156,1E1D,0,1,measured
157,5C7F,0,1,measured
158,A56E,0,1,measured
159,296C,0,1,measured
160,4D14,0,1,measured
161,9ABF,0,1,measured
162,E47B,0,1,measured
163,2CEF,0,1,measured
164,7655,0,1,measured
165,BF8D,0,1,measured
166,092E,0,1,measured
167,4FFF,0,1,measured
168,7C83,0,1,measured
169,C5F3,0,1,measured
170,0EC6,0,1,measured
171,57E6,0,1,measured
172,D470,0,1,measured
173,EC1D,0,1,measured
174,3576,0,1,measured
175,7A2E,0,1,measured
176,C729,0,1,measured
177,100E,0,1,measured
178,5940,0,1,measured
179,A2F8,0,1,measured
180,EBE1,0,1,measured
181,1584,0,1,measured
182,457E,0,1,measured
183,8E91,0,1,measured
184,D641,0,1,measured
185,8A11,0,1,measured
186,BA12,0,1,measured
187,03A4,0,1,measured
188,4C0A,0,1,measured
189,958D,0,1,measured
190,DA49,0,1,measured
191,2846,0,1,measured
192,8B66,0,1,measured
193,BADE,0,1,measured
194,03EC,0,1,measured
195,4CCA,0,1,measured
196,9644,0,1,measured
197,DFED,0,1,measured
198,4AE2,0,1,measured
199,7188,0,1,measured
200,C049,0,1,measured
201,0A47,0,1,measured
202,5095,0,1,measured
203,99F4,0,1,measured
204,E714,0,1,measured
205,2114,0,1,measured
206,73A4,0,1,measured
207,B464,0,1,measured
208,F5D4,0,1,measured
209,3B5B,0,1,measured
210,84B8,0,1,measured
211,06D8,0,1,measured
212,399F,0,1,measured
213,82B2,0,1,measured
214,CEA3,0,1,measured
215,16C1,0,1,measured
216,5C4D,0,1,measured
217,A82F,0,1,measured
218,EDE9,0,1,measured
219,36EF,0,1,measured
220,5711,0,1,measured
221,AC95,0,1,measured
222,F200,0,1,measured
223,3B65,0,1,measured
224,BEE5,0,1,measured
225,E300,0,1,measured
226,2C12,0,1,measured
227,75C5,0,1,measured
228,BE46,0,1,measured
229,0719,0,1,measured
230,51C2,0,1,measured
231,9993,0,1,measured
232,E228,0,1,measured
233,0938,0,1,measured
234,4686,0,1,measured
235,8A6F,0,1,measured
236,D92B,0,1,measured
237,24D5,0,1,measured
238,6996,0,1,measured
239,B24F,0,1,measured
240,FC22,0,1,measured
241,44CC,0,1,measured
242,8E13,0,1,measured
243,D7D9,0,1,measured
244,2080,0,1,measured
