offset,seed,band,boots,how
6,0289,0,1,measured
7,4BD9,0,1,measured
8,9503,0,1,measured
9,A7CE,0,1,measured
10,ECAD,0,1,measured
11,3AC8,0,1,measured
12,62B6,0,1,measured
13,AC28,0,1,measured
14,F4FF,0,1,measured
15,3E3F,0,1,measured
16,877F,0,1,measured
17,D0B6,0,1,measured
18,D072,0,1,measured
19,F2FF,0,1,measured
20,3EFC,0,1,measured
21,85D8,0,1,measured
22,CE8E,0,1,measured
23,17CE,0,1,measured
24,61A6,0,1,measured
25,A319,0,1,measured
26,F1CF,0,1,measured
27,10E0,0,1,measured
28,4EF7,0,1,measured
29,974B,0,1,measured
30,E087,0,1,measured
31,29C3,0,1,measured
32,730B,0,1,measured
33,9BCA,0,1,measured
34,AEE6,0,1,measured
35,F818,0,1,measured
36,4074,0,1,measured
37,89BF,0,1,measured
38,D2FF,0,1,measured
39,1C3F,0,1,measured
40,6197,0,1,measured
41,AEB7,0,1,measured
42,F7F6,0,1,measured
43,413F,0,1,measured
44,3FF5,0,1,measured
45,6381,0,1,measured
46,ADE8,0,1,measured
47,F56D,0,1,measured
48,3FC7,0,1,measured
49,88AD,0,1,measured
50,D94A,0,1,measured
51,1D7A,0,1,measured
52,667F,0,1,measured
53,A80E,0,1,measured
54,E652,0,1,measured
55,2653,0,1,measured
56,797E,0,1,measured
57,C359,0,1,measured
58,0BF5,0,1,measured
59,5453,0,1,measured
60,8361,0,1,measured
61,CC4E,0,1,measured
62,154D,0,1,measured
63,5FA9,0,1,measured
64,AA21,0,1,measured
65,F0F6,0,1,measured
66,37B2,0,1,measured
67,80B8,0,1,measured
68,A9C6,0,1,measured
69,693F,0,1,measured
70,84D7,0,1,measured
71,D425,0,1,measured
72,1B7C,0,1,measured
73,65D0,0,1,measured
74,AED1,0,1,measured
75,F786,0,1,measured
76,4197,0,1,measured
77,8B23,0,1,measured
78,FDD4,0,1,measured
79,1CDA,0,1,measured
80,6905,0,1,measured
81,AFC6,0,1,measured
82,F79E,0,1,measured
