offset,seed,band,boots,how
268,4EBF,0,1,measured
269,8CC3,0,1,measured
270,D4E6,0,1,measured
271,4ABF,0,1,measured
272,869B,0,1,measured
273,CE59,0,1,measured
274,173D,0,1,measured
275,6072,0,1,measured
276,A53A,0,1,measured
277,F394,0,1,measured
278,3C3F,0,1,measured
279,8576,0,1,measured
280,CB14,0,1,measured
281,139A,0,1,measured
282,5A4C,0,1,measured
283,096A,0,1,measured
284,3499,0,1,measured
285,7DAA,0,1,measured
286,C819,0,1,measured
287,1068,0,1,measured
288,573D,0,1,measured
289,BB7B,0,1,measured
290,E77C,0,1,measured
291,352A,0,1,measured
292,7EE3,0,1,measured
293,C765,0,1,measured
294,10CD,0,1,measured
295,5A11,0,1,measured
296,C066,0,1,measured
297,F07A,0,1,measured
298,8E13,0,1,measured
299,D832,0,1,measured
300,2142,0,1,measured
301,670B,0,1,measured
302,A4BF,0,1,measured
303,EDF8,0,1,measured
305,2B54,0,1,measured
306,6DEC,0,1,measured
307,B6B7,0,1,measured
308,FFFD,0,1,measured
309,7FDF,0,1,measured
310,ABEF,0,1,measured
311,F506,0,1,measured
312,3DC4,0,1,measured
313,8768,0,1,measured
314,D0EE,0,1,measured
315,2EE8,0,1,measured
316,6213,0,1,measured
317,DF69,0,1,measured
318,285B,0,1,measured
319,6CDD,0,1,measured
320,BA46,0,1,measured
321,37BF,0,1,measured
322,5AF6,0,1,measured
324,A405,0,1,measured
325,EDAA,0,1,measured
326,3647,0,1,measured
327,7EF8,0,1,measured
328,C841,0,1,measured
329,1210,0,1,measured
330,5ABF,0,1,measured
331,9D4B,0,1,measured
332,DA0B,0,1,measured
333,22EC,0,1,measured
334,6C25,0,1,measured
335,B0E9,0,1,measured
336,538F,0,1,measured
337,9D77,0,1,measured
338,E61F,0,1,measured
339,2F6F,0,1,measured
340,6D62,0,1,measured
341,B612,0,1,measured
343,E1C6,0,1,measured
344,0F00,0,1,measured
345,58AB,0,1,measured
346,A1A9,0,1,measured
347,515D,0,1,measured
348,829F,0,1,measured
349,CF4E,0,1,measured
350,0BB3,0,1,measured
351,6505,0,1,measured
352,AAEC,0,1,measured
353,F456,0,1,measured
354,41DF,0,1,measured
355,D29C,0,1,measured
356,125E,0,1,measured
357,58F9,0,1,measured
358,A27D,0,1,measured
359,0D18,0,1,measured
360,4A3E,0,1,measured
362,91D3,0,1,measured
363,DE58,0,1,measured
364,245E,0,1,measured
365,6019,0,1,measured
366,B6EF,0,1,measured
367,0463,0,1,measured
368,4A0C,0,1,measured
369,7697,0,1,measured
370,C35D,0,1,measured
371,0900,0,1,measured
372,5271,0,1,measured
373,D1DD,0,1,measured
374,5260,0,1,measured
375,9C17,0,1,measured
376,E422,0,1,measured
377,2D6D,0,1,measured
378,4CF5,0,1,measured
379,9126,0,1,measured
381,DE8D,0,1,measured
382,0E71,0,1,measured
383,3936,0,1,measured
384,8246,0,1,measured
385,CC28,0,1,measured
386,727D,0,1,measured
387,AD83,0,1,measured
388,F6A4,0,1,measured
389,4077,0,1,measured
390,8918,0,1,measured
391,D337,0,1,measured
392,2BBA,0,1,measured
393,BA5B,0,1,measured
394,FF8C,0,1,measured
395,4CF4,0,1,measured
396,9622,0,1,measured
397,D39B,0,1,measured
398,320B,0,1,measured
400,691B,0,1,measured
401,B2CF,0,1,measured
402,FB83,0,1,measured
403,44B9,0,1,measured
404,8DFB,0,1,measured
405,D7DB,0,1,measured
406,2159,0,1,measured
407,69B5,0,1,measured
408,AB6B,0,1,measured
409,E9B6,0,1,measured
410,294E,0,1,measured
411,7C41,0,1,measured
412,3513,0,1,measured
413,7E3C,0,1,measured
414,C75E,0,1,measured
415,10AA,0,1,measured
416,4EC9,0,1,measured
417,A49E,0,1,measured
419,E325,0,1,measured
420,2BA9,0,1,measured
421,54B5,0,1,measured
422,9DEB,0,1,measured
423,E6AF,0,1,measured
424,6310,0,1,measured
425,8088,0,1,measured
426,CE2D,0,1,measured
427,17E4,0,1,measured
428,6041,0,1,measured
429,A943,0,1,measured
430,F284,0,1,measured
431,9149,0,1,measured
432,D23C,0,1,measured
433,10F4,0,1,measured
434,58E0,0,1,measured
435,96A8,0,1,measured
436,DFAD,0,1,measured
438,28CE,0,1,measured
439,720B,0,1,measured
440,B775,0,1,measured
441,0496,0,1,measured
442,4DD5,0,1,measured
443,9787,0,1,measured
444,E04B,0,1,measured
445,29A3,0,1,measured
446,56F6,0,1,measured
447,8670,0,1,measured
448,CF5C,0,1,measured
449,17AF,0,1,measured
450,0617,0,1,measured
451,51F1,0,1,measured
452,9CB8,0,1,measured
453,E26A,0,1,measured
454,1585,0,1,measured
455,6CE3,0,1,measured
