offset,seed,band,boots,how
6,3AA2,0,1,measured
7,6294,0,1,measured
8,AC06,0,1,measured
9,F4D1,0,1,measured
10,3E10,0,1,measured
11,8750,0,1,measured
12,D090,0,1,measured
13,CFFF,0,1,measured
14,F299,0,1,measured
15,3CF3,0,1,measured
16,3CF3,0,1,measured
17,8731,0,1,measured
18,1656,0,1,measured
19,5E57,0,1,measured
20,A2CD,0,1,measured
21,F09D,0,1,measured
22,10B4,0,1,measured
23,4EC4,0,1,measured
24,9729,0,1,measured
25,E057,0,1,measured
26,29A6,0,1,measured
27,72E5,0,1,measured
28,9B9F,0,1,measured
29,AEBC,0,1,measured
30,F7F3,0,1,measured
31,4050,0,1,measured
32,898E,0,1,measured
33,D2D9,0,1,measured
34,1C10,0,1,measured
35,616C,0,1,measured
36,AE95,0,1,measured
37,AE95,0,1,measured
38,F7D9,0,1,measured
39,4110,0,1,measured
40,3F83,0,1,measured
41,6319,0,1,measured
42,AD75,0,1,measured
43,F531,0,1,measured
44,3F65,0,1,measured
45,8735,0,1,measured
46,D63E,0,1,measured
47,1FF7,0,1,measured
48,6664,0,1,measured
49,A7DF,0,1,measured
50,E63A,0,1,measured
51,2627,0,1,measured
52,7942,0,1,measured
53,C2F4,0,1,measured
54,0B1D,0,1,measured
55,542D,0,1,measured
56,CC2E,0,1,measured
57,1519,0,1,measured
58,5F85,0,1,measured
59,A9D0,0,1,measured
60,F0B2,0,1,measured
61,378E,0,1,measured
62,809A,0,1,measured
63,A9A4,0,1,measured
64,68BD,0,1,measured
65,8473,0,1,measured
66,D3B3,0,1,measured
67,1B42,0,1,measured
68,6575,0,1,measured
69,AD69,0,1,measured
70,F75E,0,1,measured
71,411F,0,1,measured
72,8ABB,0,1,measured
73,FD5B,0,1,measured
74,1C80,0,1,measured
75,66EC,0,1,measured
76,B120,0,1,measured
77,F747,0,1,measured
78,4166,0,1,measured
79,8B4F,0,1,measured
80,D014,0,1,measured
81,1A34,0,1,measured
82,8EDE,0,1,measured
83,AFB5,0,1,measured
84,FA2B,0,1,measured
85,41BC,0,1,measured
86,8C01,0,1,measured
87,D4A9,0,1,measured
88,1E71,0,1,measured
89,1E71,0,1,measured
90,6797,0,1,measured
91,DB85,0,1,measured
92,FE29,0,1,measured
93,43D0,0,1,measured
94,8E22,0,1,measured
95,1ACE,0,1,measured
96,691A,0,1,measured
97,B2D9,0,1,measured
98,FB2C,0,1,measured
99,6E42,0,1,measured
100,8E4C,0,1,measured
101,D8A6,0,1,measured
102,2044,0,1,measured
103,6A87,0,1,measured
104,B331,0,1,measured
105,FCE9,0,1,measured
106,47DE,0,1,measured
107,B8A5,0,1,measured
108,D745,0,1,measured
109,219E,0,1,measured
110,648B,0,1,measured
111,648B,0,1,measured
112,B379,0,1,measured
113,FB5F,0,1,measured
114,455C,0,1,measured
115,8F3D,0,1,measured
116,D8B4,0,1,measured
117,4D33,0,1,measured
118,65FB,0,1,measured
119,AF14,0,1,measured
120,F8B4,0,1,measured
121,8B18,0,1,measured
122,D3C4,0,1,measured
123,1CAD,0,1,measured
124,652B,0,1,measured
125,A376,0,1,measured
126,E536,0,1,measured
127,2E03,0,1,measured
128,7737,0,1,measured
129,C731,0,1,measured
130,0A21,0,1,measured
131,579D,0,1,measured
132,A181,0,1,measured
133,E5DC,0,1,measured
134,3360,0,1,measured
135,7D25,0,1,measured
136,C625,0,1,measured
137,0F44,0,1,measured
138,3A21,0,1,measured
139,6887,0,1,measured
140,A801,0,1,measured
141,FB58,0,1,measured
142,A128,0,1,measured
143,DA21,0,1,measured
144,2591,0,1,measured
145,6E27,0,1,measured
146,B772,0,1,measured
147,00D3,0,1,measured
148,4AB6,0,1,measured
149,93D9,0,1,measured
150,DC88,0,1,measured
151,1E5C,0,1,measured
152,5C61,0,1,measured
153,A55C,0,1,measured
154,2915,0,1,measured
155,4CFC,0,1,measured
156,9AAC,0,1,measured
157,E45E,0,1,measured
158,2CD2,0,1,measured
159,7637,0,1,measured
160,BF82,0,1,measured
161,091F,0,1,measured
162,4FE7,0,1,measured
163,7C71,0,1,measured
164,C5E0,0,1,measured
165,0EB3,0,1,measured
166,57D5,0,1,measured
167,D47B,0,1,measured
168,EC05,0,1,measured
169,355F,0,1,measured
170,7A1C,0,1,measured
171,C70F,0,1,measured
172,0FF2,0,1,measured
