offset,seed,band,boots,how
268,4ECE,0,1,measured
269,8CD1,0,1,measured
270,D4F4,0,1,measured
271,4AC4,0,1,measured
272,86A0,0,1,measured
273,CE5E,0,1,measured
274,1742,0,1,measured
275,6077,0,1,measured
276,A549,0,1,measured
277,F39B,0,1,measured
278,3C43,0,1,measured
279,857B,0,1,measured
280,CB10,0,1,measured
281,139F,0,1,measured
282,5A51,0,1,measured
283,0974,0,1,measured
284,34A2,0,1,measured
285,7DBC,0,1,measured
286,C81D,0,1,measured
287,106B,0,1,measured
288,5736,0,1,measured
289,BB80,0,1,measured
290,E781,0,1,measured
291,353A,0,1,measured
292,7EF6,0,1,measured
293,C76A,0,1,measured
294,10DC,0,1,measured
295,5A0E,0,1,measured
296,C06B,0,1,measured
297,F075,0,1,measured
298,8E20,0,1,measured
299,D82D,0,1,measured
300,2153,0,1,measured
301,6705,0,1,measured
302,A4C4,0,1,measured
303,EDFE,0,1,measured
304,2B64,0,1,measured
305,2B64,0,1,measured
306,6DE8,0,1,measured
307,B6BC,0,1,measured
308,0002,0,1,measured
309,7FE4,0,1,measured
310,ABF4,0,1,measured
311,F502,0,1,measured
312,3DD2,0,1,measured
313,8763,0,1,measured
314,D0F3,0,1,measured
315,2EED,0,1,measured
316,6218,0,1,measured
317,DF6E,0,1,measured
318,2861,0,1,measured
319,6CE3,0,1,measured
320,BA54,0,1,measured
321,37C4,0,1,measured
322,5AF2,0,1,measured
323,A40A,0,1,measured
324,A40A,0,1,measured
325,EDAB,0,1,measured
326,3640,0,1,measured
327,7EFD,0,1,measured
328,C846,0,1,measured
329,120B,0,1,measured
330,5ACF,0,1,measured
331,9D50,0,1,measured
332,DA07,0,1,measured
333,22FC,0,1,measured
334,6C34,0,1,measured
335,B0EE,0,1,measured
336,5394,0,1,measured
337,9D85,0,1,measured
338,E61B,0,1,measured
339,2F6B,0,1,measured
340,6D67,0,1,measured
341,B61A,0,1,measured
342,E1CB,0,1,measured
343,E1CB,0,1,measured
344,0F05,0,1,measured
345,58AE,0,1,measured
346,A1B3,0,1,measured
347,5162,0,1,measured
348,82A4,0,1,measured
349,CF49,0,1,measured
350,0BC3,0,1,measured
351,650A,0,1,measured
352,AAEE,0,1,measured
353,F452,0,1,measured
354,41DB,0,1,measured
355,D2A0,0,1,measured
356,1263,0,1,measured
357,58FE,0,1,measured
358,A281,0,1,measured
359,0D1D,0,1,measured
360,4A43,0,1,measured
361,91D8,0,1,measured
362,91D8,0,1,measured
363,DE5D,0,1,measured
364,2463,0,1,measured
365,6013,0,1,measured
366,B6F3,0,1,measured
367,0468,0,1,measured
368,4A11,0,1,measured
369,76A5,0,1,measured
370,C362,0,1,measured
371,0905,0,1,measured
372,526D,0,1,measured
373,D1EB,0,1,measured
374,525C,0,1,measured
375,9C1C,0,1,measured
376,E432,0,1,measured
377,2D69,0,1,measured
378,4CFA,0,1,measured
379,912B,0,1,measured
380,DE92,0,1,measured
381,DE92,0,1,measured
382,0E76,0,1,measured
383,3947,0,1,measured
384,824C,0,1,measured
385,CC37,0,1,measured
386,7281,0,1,measured
387,AD8D,0,1,measured
388,F6A7,0,1,measured
389,4087,0,1,measured
390,8914,0,1,measured
391,D33C,0,1,measured
392,2BB6,0,1,measured
393,BA67,0,1,measured
394,FF99,0,1,measured
395,4CF1,0,1,measured
396,9623,0,1,measured
397,D3A1,0,1,measured
398,3210,0,1,measured
399,6928,0,1,measured
400,6928,0,1,measured
401,B2C8,0,1,measured
402,FB87,0,1,measured
403,44BD,0,1,measured
404,8DF8,0,1,measured
405,D7D7,0,1,measured
406,215F,0,1,measured
407,69B2,0,1,measured
408,AB70,0,1,measured
409,E9BB,0,1,measured
410,2953,0,1,measured
411,7C46,0,1,measured
412,3518,0,1,measured
413,7E39,0,1,measured
414,C75B,0,1,measured
415,10AE,0,1,measured
416,4EC4,0,1,measured
417,A4A3,0,1,measured
418,E323,0,1,measured
419,E323,0,1,measured
420,2BB9,0,1,measured
421,54BA,0,1,measured
422,9DE6,0,1,measured
423,E6B7,0,1,measured
424,6315,0,1,measured
425,8096,0,1,measured
426,CE2B,0,1,measured
427,17E0,0,1,measured
428,6051,0,1,measured
429,A93F,0,1,measured
430,F27F,0,1,measured
431,914E,0,1,measured
432,D24A,0,1,measured
433,10FD,0,1,measured
434,58DD,0,1,measured
435,96AB,0,1,measured
436,DFB4,0,1,measured
437,28D4,0,1,measured
438,28D4,0,1,measured
439,7219,0,1,measured
440,B77C,0,1,measured
441,04A3,0,1,measured
442,4DD1,0,1,measured
443,978C,0,1,measured
444,E059,0,1,measured
445,29A9,0,1,measured
446,5705,0,1,measured
447,866C,0,1,measured
448,CF6A,0,1,measured
449,17AA,0,1,measured
450,061C,0,1,measured
451,5203,0,1,measured
452,9CBD,0,1,measured
453,E27B,0,1,measured
454,158A,0,1,measured
455,6CEB,0,1,measured
456,B9CB,0,1,measured
457,B9CB,0,1,measured
458,FF03,0,1,measured
459,408B,0,1,measured
460,820C,0,1,measured
461,C785,0,1,measured
462,10F9,0,1,measured
463,81C1,0,1,measured
464,BD90,0,1,measured
465,01D7,0,1,measured
466,5B8D,0,1,measured
467,95B3,0,1,measured
468,DCFD,0,1,measured
469,746B,0,1,measured
470,C58A,0,1,measured
471,F2D4,0,1,measured
472,4681,0,1,measured
473,7B52,0,1,measured
474,C58E,0,1,measured
475,200F,0,1,measured
476,200F,0,1,measured
477,52DC,0,1,measured
478,9C29,0,1,measured
479,E5C9,0,1,measured
480,2E60,0,1,measured
481,7839,0,1,measured
482,C0E8,0,1,measured
483,09C7,0,1,measured
484,5241,0,1,measured
485,7C65,0,1,measured
486,73F5,0,1,measured
487,BD66,0,1,measured
488,F970,0,1,measured
489,2F42,0,1,measured
490,7853,0,1,measured
491,C238,0,1,measured
492,0932,0,1,measured
493,491C,0,1,measured
494,AD1F,0,1,measured
495,AD1F,0,1,measured
496,DDAB,0,1,measured
497,242D,0,1,measured
498,6D91,0,1,measured
499,B71E,0,1,measured
500,FB65,0,1,measured
501,485E,0,1,measured
502,ABFB,0,1,measured
503,D8D9,0,1,measured
504,21DD,0,1,measured
505,6C41,0,1,measured
506,B44F,0,1,measured
507,531C,0,1,measured
508,9CFB,0,1,measured
509,EE0E,0,1,measured
510,0E74,0,1,measured
511,3F78,0,1,measured
512,8729,0,1,measured
513,19A5,0,1,measured
514,19A5,0,1,measured
