offset,seed,band,boots,how
6,3AAF,0,1,measured
7,62A1,0,1,measured
8,AC13,0,1,measured
9,F4E8,0,1,measured
10,3E1D,0,1,measured
11,8766,0,1,measured
12,D0A6,0,1,measured
13,D063,0,1,measured
14,F2E0,0,1,measured
15,3D4B,0,1,measured
16,3D4B,0,1,measured
17,8795,0,1,measured
18,166E,0,1,measured
19,5E64,0,1,measured
20,A2F8,0,1,measured
21,F0BE,0,1,measured
22,10C1,0,1,measured
23,4EDB,0,1,measured
24,9732,0,1,measured
25,E064,0,1,measured
26,29B4,0,1,measured
27,72EA,0,1,measured
28,9BAC,0,1,measured
29,AEC0,0,1,measured
30,F800,0,1,measured
31,405D,0,1,measured
32,89A3,0,1,measured
33,D2E6,0,1,measured
34,1C26,0,1,measured
35,6181,0,1,measured
36,AEA2,0,1,measured
37,AEA2,0,1,measured
38,F7DE,0,1,measured
39,4126,0,1,measured
40,3FE5,0,1,measured
41,636A,0,1,measured
42,ADCD,0,1,measured
43,F54E,0,1,measured
44,3FAB,0,1,measured
45,8759,0,1,measured
46,D641,0,1,measured
47,2033,0,1,measured
48,666E,0,1,measured
49,A7F8,0,1,measured
50,E647,0,1,measured
51,2641,0,1,measured
52,7967,0,1,measured
53,C335,0,1,measured
54,0B32,0,1,measured
55,5430,0,1,measured
56,CC3B,0,1,measured
57,1526,0,1,measured
58,5F9C,0,1,measured
59,AA0C,0,1,measured
60,F0D2,0,1,measured
61,3792,0,1,measured
62,80A7,0,1,measured
63,A9B1,0,1,measured
64,6923,0,1,measured
65,84B6,0,1,measured
66,D40B,0,1,measured
67,1B64,0,1,measured
68,65B7,0,1,measured
69,AD85,0,1,measured
70,F772,0,1,measured
71,4180,0,1,measured
72,8B0B,0,1,measured
73,FDBB,0,1,measured
74,1CC1,0,1,measured
75,674B,0,1,measured
76,B17A,0,1,measured
77,F77C,0,1,measured
78,416B,0,1,measured
79,8BA8,0,1,measured
80,D064,0,1,measured
81,1A41,0,1,measured
82,8F3F,0,1,measured
83,B004,0,1,measured
84,FA8C,0,1,measured
85,41E2,0,1,measured
86,8C39,0,1,measured
87,D4AE,0,1,measured
88,1EC2,0,1,measured
89,1EC2,0,1,measured
90,67EF,0,1,measured
91,DBD2,0,1,measured
92,FEB6,0,1,measured
93,43F7,0,1,measured
94,8E60,0,1,measured
95,1AE8,0,1,measured
96,692A,0,1,measured
97,B333,0,1,measured
98,FB79,0,1,measured
99,6EA4,0,1,measured
100,8E8B,0,1,measured
101,D900,0,1,measured
102,2071,0,1,measured
103,6AC4,0,1,measured
104,B335,0,1,measured
105,FD4B,0,1,measured
106,486F,0,1,measured
107,B8FC,0,1,measured
108,D793,0,1,measured
109,2201,0,1,measured
110,64B0,0,1,measured
111,64B0,0,1,measured
112,B3BE,0,1,measured
113,FB8C,0,1,measured
114,455F,0,1,measured
115,8F8C,0,1,measured
116,D916,0,1,measured
117,4D6A,0,1,measured
118,6646,0,1,measured
119,AF56,0,1,measured
120,F8F7,0,1,measured
121,8B52,0,1,measured
122,D3F2,0,1,measured
123,1CE3,0,1,measured
124,652D,0,1,measured
