offset,seed,band,boots,how
268,4EF4,0,1,measured
269,8CDC,0,1,measured
270,D4EF,0,1,measured
271,4AE5,0,1,measured
272,86BB,0,1,measured
273,CE59,0,1,measured
274,173F,0,1,measured
275,6072,0,1,measured
276,A53A,0,1,measured
277,F3B3,0,1,measured
278,3C3E,0,1,measured
279,8576,0,1,measured
280,CB14,0,1,measured
281,13B7,0,1,measured
282,5A42,0,1,measured
283,09A6,0,1,measured
284,34D5,0,1,measured
285,7DDD,0,1,measured
286,C84E,0,1,measured
287,109B,0,1,measured
288,5732,0,1,measured
289,BBB2,0,1,measured
290,E7B2,0,1,measured
291,355D,0,1,measured
292,7F23,0,1,measured
293,C765,0,1,measured
294,110D,0,1,measured
295,5A3F,0,1,measured
296,C093,0,1,measured
297,F0B0,0,1,measured
298,8E1B,0,1,measured
299,D866,0,1,measured
300,2177,0,1,measured
301,6700,0,1,measured
302,A4BF,0,1,measured
303,EDF8,0,1,measured
305,2B54,0,1,measured
306,6DEC,0,1,measured
307,B6B7,0,1,measured
308,FFFD,0,1,measured
309,8014,0,1,measured
310,AC25,0,1,measured
311,F533,0,1,measured
312,3DC4,0,1,measured
313,879E,0,1,measured
314,D12D,0,1,measured
315,2EE8,0,1,measured
316,621F,0,1,measured
317,DF69,0,1,measured
318,285B,0,1,measured
319,6CDD,0,1,measured
320,BA46,0,1,measured
321,37F5,0,1,measured
322,5B22,0,1,measured
324,A442,0,1,measured
325,EDD4,0,1,measured
326,3662,0,1,measured
327,7F10,0,1,measured
328,C85E,0,1,measured
329,1225,0,1,measured
330,5ADD,0,1,measured
331,9D6A,0,1,measured
332,DA02,0,1,measured
333,22F7,0,1,measured
334,6C2D,0,1,measured
335,B0E9,0,1,measured
336,538F,0,1,measured
337,9D90,0,1,measured
338,E61F,0,1,measured
339,2F6F,0,1,measured
340,6D81,0,1,measured
341,B612,0,1,measured
343,E1C6,0,1,measured
344,0F00,0,1,measured
345,58C1,0,1,measured
346,A1BF,0,1,measured
347,5174,0,1,measured
348,82A8,0,1,measured
349,CF43,0,1,measured
350,0BD1,0,1,measured
351,6504,0,1,measured
352,AAF1,0,1,measured
353,F456,0,1,measured
354,41F6,0,1,measured
355,D29B,0,1,measured
356,125E,0,1,measured
357,58F9,0,1,measured
358,A27D,0,1,measured
359,0D18,0,1,measured
360,4A73,0,1,measured
362,91D3,0,1,measured
363,DE50,0,1,measured
364,245E,0,1,measured
365,6019,0,1,measured
366,B6EF,0,1,measured
367,047A,0,1,measured
368,4A2A,0,1,measured
369,7697,0,1,measured
370,C365,0,1,measured
371,0900,0,1,measured
372,5271,0,1,measured
373,D213,0,1,measured
374,5296,0,1,measured
375,9C4C,0,1,measured
376,E43A,0,1,measured
377,2D83,0,1,measured
378,4D18,0,1,measured
379,913B,0,1,measured
381,DE8D,0,1,measured
382,0E8E,0,1,measured
383,3936,0,1,measured
384,823F,0,1,measured
385,CC44,0,1,measured
386,7272,0,1,measured
387,AD7C,0,1,measured
388,F6A4,0,1,measured
389,4091,0,1,measured
390,8911,0,1,measured
391,D358,0,1,measured
392,2BB1,0,1,measured
393,BA62,0,1,measured
394,FFAD,0,1,measured
395,4CF4,0,1,measured
396,961E,0,1,measured
397,D3BB,0,1,measured
398,3203,0,1,measured
400,6923,0,1,measured
401,B2ED,0,1,measured
402,FB83,0,1,measured
403,44B9,0,1,measured
404,8DFB,0,1,measured
405,D7F4,0,1,measured
406,2178,0,1,measured
407,69BA,0,1,measured
408,AB74,0,1,measured
409,E9B6,0,1,measured
410,294E,0,1,measured
411,7C59,0,1,measured
412,351D,0,1,measured
413,7E34,0,1,measured
414,C75E,0,1,measured
415,10AA,0,1,measured
416,4EC9,0,1,measured
417,A4B6,0,1,measured
419,E33C,0,1,measured
420,2BB4,0,1,measured
421,54AC,0,1,measured
422,9DE1,0,1,measured
423,E6AF,0,1,measured
424,6346,0,1,measured
425,80C7,0,1,measured
426,CE64,0,1,measured
427,1811,0,1,measured
428,6069,0,1,measured
429,A953,0,1,measured
430,F2A4,0,1,measured
431,9167,0,1,measured
432,D245,0,1,measured
433,1113,0,1,measured
434,58D8,0,1,measured
435,96A6,0,1,measured
436,DFB1,0,1,measured
438,28CE,0,1,measured
439,720B,0,1,measured
440,B78D,0,1,measured
441,0496,0,1,measured
442,4DD5,0,1,measured
443,97A4,0,1,measured
444,E054,0,1,measured
445,29A3,0,1,measured
446,56F6,0,1,measured
447,8688,0,1,measured
448,CF74,0,1,measured
449,17AF,0,1,measured
450,0617,0,1,measured
451,521C,0,1,measured
452,9CC2,0,1,measured
453,E26A,0,1,measured
454,1585,0,1,measured
455,6CFC,0,1,measured
457,B9EE,0,1,measured
458,FEF7,0,1,measured
459,4090,0,1,measured
460,81FF,0,1,measured
461,C782,0,1,measured
462,10EC,0,1,measured
463,81C3,0,1,measured
464,BDBF,0,1,measured
465,01D5,0,1,measured
466,5BFE,0,1,measured
467,95DC,0,1,measured
468,DCF0,0,1,measured
469,749D,0,1,measured
470,C5C2,0,1,measured
471,F2D9,0,1,measured
472,46B3,0,1,measured
473,7B8C,0,1,measured
474,C5C7,0,1,measured
476,204B,0,1,measured
477,530D,0,1,measured
478,9C51,0,1,measured
479,E5FA,0,1,measured
480,2E7A,0,1,measured
481,7872,0,1,measured
482,C0F1,0,1,measured
483,09E0,0,1,measured
484,523C,0,1,measured
485,7C86,0,1,measured
486,73F9,0,1,measured
487,BD61,0,1,measured
488,F96B,0,1,measured
489,2F3D,0,1,measured
490,784C,0,1,measured
491,C252,0,1,measured
492,0960,0,1,measured
493,4945,0,1,measured
