offset,seed,band,boots,how
6,3AC4,0,1,measured
7,62BF,0,1,measured
8,AC28,0,1,measured
9,F504,0,1,measured
10,3E3B,0,1,measured
11,877B,0,1,measured
12,D0BB,0,1,measured
13,D02A,0,1,measured
14,F2D0,0,1,measured
15,3D1C,0,1,measured
16,3D1C,0,1,measured
17,875B,0,1,measured
18,1681,0,1,measured
19,5E8B,0,1,measured
20,A301,0,1,measured
21,F0C6,0,1,measured
22,10DF,0,1,measured
23,4EEF,0,1,measured
24,9748,0,1,measured
25,E08D,0,1,measured
26,29C8,0,1,measured
27,7311,0,1,measured
28,9BCA,0,1,measured
29,AEE7,0,1,measured
30,F827,0,1,measured
31,4084,0,1,measured
32,89B9,0,1,measured
33,D304,0,1,measured
34,1C3B,0,1,measured
35,6197,0,1,measured
36,AEB7,0,1,measured
37,AEB7,0,1,measured
38,F806,0,1,measured
39,4144,0,1,measured
40,3FAE,0,1,measured
41,6347,0,1,measured
42,AD9E,0,1,measured
43,F553,0,1,measured
44,3F95,0,1,measured
45,875E,0,1,measured
46,D66D,0,1,measured
47,2022,0,1,measured
48,6683,0,1,measured
49,A813,0,1,measured
50,E665,0,1,measured
51,265D,0,1,measured
52,796D,0,1,measured
53,C327,0,1,measured
54,0B48,0,1,measured
55,544E,0,1,measured
56,CC50,0,1,measured
57,1544,0,1,measured
58,5FB0,0,1,measured
59,A9F8,0,1,measured
60,F0DE,0,1,measured
61,37B0,0,1,measured
62,80BC,0,1,measured
63,A9C5,0,1,measured
64,68E8,0,1,measured
65,849C,0,1,measured
66,D3E0,0,1,measured
67,1B6C,0,1,measured
68,65A4,0,1,measured
69,AD93,0,1,measured
70,F788,0,1,measured
71,4152,0,1,measured
72,8AE7,0,1,measured
73,FD86,0,1,measured
74,1CAA,0,1,measured
75,6714,0,1,measured
76,B148,0,1,measured
77,F78C,0,1,measured
78,4189,0,1,measured
79,8B76,0,1,measured
80,D03F,0,1,measured
81,1A5F,0,1,measured
82,8F09,0,1,measured
83,AFEA,0,1,measured
84,FA54,0,1,measured
85,41E8,0,1,measured
86,8C2C,0,1,measured
87,D4D6,0,1,measured
88,1E93,0,1,measured
89,1E93,0,1,measured
90,67C1,0,1,measured
91,DBB0,0,1,measured
92,FE4A,0,1,measured
93,43F4,0,1,measured
94,8E48,0,1,measured
95,1AF9,0,1,measured
96,6948,0,1,measured
97,B307,0,1,measured
98,FB55,0,1,measured
99,6E75,0,1,measured
100,8E75,0,1,measured
101,D8D1,0,1,measured
102,206D,0,1,measured
103,6AA9,0,1,measured
104,B35B,0,1,measured
105,FD1D,0,1,measured
106,480E,0,1,measured
107,B8D0,0,1,measured
108,D77A,0,1,measured
109,21C7,0,1,measured
110,64AC,0,1,measured
111,64AC,0,1,measured
112,B3AB,0,1,measured
113,FB89,0,1,measured
114,4588,0,1,measured
115,8F67,0,1,measured
116,D8E9,0,1,measured
117,4D5B,0,1,measured
118,6626,0,1,measured
119,AF35,0,1,measured
120,F8DF,0,1,measured
121,8B41,0,1,measured
122,D3EF,0,1,measured
123,1CD8,0,1,measured
124,6553,0,1,measured
125,A3A1,0,1,measured
126,E555,0,1,measured
127,2E2E,0,1,measured
128,7758,0,1,measured
129,C765,0,1,measured
130,0A4C,0,1,measured
131,57C9,0,1,measured
132,A1A8,0,1,measured
133,E607,0,1,measured
134,3393,0,1,measured
135,7D45,0,1,measured
136,C646,0,1,measured
137,0F65,0,1,measured
138,3A4C,0,1,measured
139,68B2,0,1,measured
140,A82C,0,1,measured
141,FB8F,0,1,measured
142,A153,0,1,measured
143,DA4D,0,1,measured
144,25BA,0,1,measured
145,6E54,0,1,measured
146,B795,0,1,measured
147,00F6,0,1,measured
148,4AE1,0,1,measured
149,940D,0,1,measured
150,DCB4,0,1,measured
151,1E88,0,1,measured
152,5C95,0,1,measured
153,A57E,0,1,measured
154,2941,0,1,measured
155,4D27,0,1,measured
156,9AD7,0,1,measured
157,E489,0,1,measured
158,2CFD,0,1,measured
159,766D,0,1,measured
160,BFA2,0,1,measured
161,094A,0,1,measured
162,5015,0,1,measured
163,7CA4,0,1,measured
164,C615,0,1,measured
165,0EE0,0,1,measured
166,5800,0,1,measured
167,D49E,0,1,measured
168,EC39,0,1,measured
169,3581,0,1,measured
170,7A47,0,1,measured
171,C73A,0,1,measured
172,101D,0,1,measured
173,5958,0,1,measured
174,A310,0,1,measured
175,EBF5,0,1,measured
176,1597,0,1,measured
177,45A0,0,1,measured
178,8D90,0,1,measured
179,D650,0,1,measured
180,890F,0,1,measured
181,BBC3,0,1,measured
182,03BF,0,1,measured
183,4C28,0,1,measured
184,959E,0,1,measured
185,DA60,0,1,measured
186,286D,0,1,measured
187,8B43,0,1,measured
188,BAF8,0,1,measured
189,0405,0,1,measured
190,4CDE,0,1,measured
191,965A,0,1,measured
192,E003,0,1,measured
193,4AFA,0,1,measured
194,7192,0,1,measured
195,BE5C,0,1,measured
196,0BEF,0,1,measured
197,50F9,0,1,measured
198,97EF,0,1,measured
199,E3ED,0,1,measured
200,2129,0,1,measured
201,72E4,0,1,measured
202,B47B,0,1,measured
203,F5EF,0,1,measured
204,3B64,0,1,measured
205,84CF,0,1,measured
206,06B1,0,1,measured
207,39AD,0,1,measured
208,82CA,0,1,measured
209,CEB2,0,1,measured
210,1504,0,1,measured
211,5EC1,0,1,measured
212,A930,0,1,measured
213,EE0D,0,1,measured
214,3710,0,1,measured
215,5733,0,1,measured
216,ACB0,0,1,measured
217,F224,0,1,measured
218,3B78,0,1,measured
219,BE8A,0,1,measured
220,E30B,0,1,measured
221,2C29,0,1,measured
222,75DD,0,1,measured
223,BE55,0,1,measured
224,0749,0,1,measured
225,5061,0,1,measured
226,9B2D,0,1,measured
227,E23B,0,1,measured
228,0943,0,1,measured
229,46A8,0,1,measured
230,8A91,0,1,measured
231,D82C,0,1,measured
232,247E,0,1,measured
233,69AE,0,1,measured
234,B26F,0,1,measured
235,FC3A,0,1,measured
236,44E4,0,1,measured
237,8E21,0,1,measured
238,D7FE,0,1,measured
239,209F,0,1,measured
240,69EF,0,1,measured
241,959D,0,1,measured
242,BF8E,0,1,measured
243,08AC,0,1,measured
244,D642,0,1,measured
245,E703,0,1,measured
246,34E2,0,1,measured
247,7E9D,0,1,measured
248,C634,0,1,measured
249,1027,0,1,measured
250,58AA,0,1,measured
251,A311,0,1,measured
252,EBCF,0,1,measured
253,2CED,0,1,measured
254,6B31,0,1,measured
255,B40C,0,1,measured
256,FD74,0,1,measured
257,9376,0,1,measured
258,C967,0,1,measured
259,129A,0,1,measured
260,57BA,0,1,measured
261,A573,0,1,measured
262,ED91,0,1,measured
263,3788,0,1,measured
264,8011,0,1,measured
265,C9FF,0,1,measured
266,C9EA,0,1,measured
267,F632,0,1,measured
268,4ED7,0,1,measured
269,8CDC,0,1,measured
270,D4F4,0,1,measured
271,4AD6,0,1,measured
272,86B3,0,1,measured
273,CE70,0,1,measured
274,1741,0,1,measured
275,6089,0,1,measured
276,A551,0,1,measured
277,F3A2,0,1,measured
278,3C41,0,1,measured
279,858D,0,1,measured
280,CB22,0,1,measured
281,13B1,0,1,measured
282,5A59,0,1,measured
283,097F,0,1,measured
