offset,seed,band,boots,how
6,3AA7,0,1,measured
7,6299,0,1,measured
8,AC0B,0,1,measured
9,F4E7,0,1,measured
10,3E1E,0,1,measured
11,875E,0,1,measured
12,D09E,0,1,measured
13,D00D,0,1,measured
14,F2B2,0,1,measured
15,3D00,0,1,measured
16,3D00,0,1,measured
17,8740,0,1,measured
18,1664,0,1,measured
19,5E65,0,1,measured
20,A2E4,0,1,measured
21,F0AB,0,1,measured
22,10CB,0,1,measured
23,4ED2,0,1,measured
24,972B,0,1,measured
25,E06F,0,1,measured
26,29AB,0,1,measured
27,72F3,0,1,measured
28,9BB6,0,1,measured
29,AECA,0,1,measured
30,F80B,0,1,measured
31,405E,0,1,measured
32,89A4,0,1,measured
33,D2E8,0,1,measured
34,1C1E,0,1,measured
35,617A,0,1,measured
36,AEA4,0,1,measured
37,AEA4,0,1,measured
38,F7E7,0,1,measured
39,411E,0,1,measured
40,3F9A,0,1,measured
41,6332,0,1,measured
42,AD82,0,1,measured
43,F540,0,1,measured
44,3F77,0,1,measured
45,8739,0,1,measured
46,D641,0,1,measured
47,2005,0,1,measured
48,6666,0,1,measured
49,A7ED,0,1,measured
50,E647,0,1,measured
51,2635,0,1,measured
52,7950,0,1,measured
53,C30A,0,1,measured
54,0B33,0,1,measured
55,5431,0,1,measured
56,CC3C,0,1,measured
57,1527,0,1,measured
58,5F91,0,1,measured
59,A9D3,0,1,measured
60,F0B7,0,1,measured
61,379C,0,1,measured
62,80AB,0,1,measured
63,A9AF,0,1,measured
64,68D6,0,1,measured
65,848B,0,1,measured
66,D3C3,0,1,measured
67,1B50,0,1,measured
68,658D,0,1,measured
69,AD5C,0,1,measured
70,F76A,0,1,measured
71,412E,0,1,measured
72,8AC9,0,1,measured
73,FD69,0,1,measured
74,1C8E,0,1,measured
75,6706,0,1,measured
76,B12B,0,1,measured
77,F755,0,1,measured
78,4177,0,1,measured
79,8B5F,0,1,measured
80,D022,0,1,measured
81,1A42,0,1,measured
82,8EF7,0,1,measured
83,AFC3,0,1,measured
84,FA46,0,1,measured
85,41C9,0,1,measured
86,8C08,0,1,measured
87,D4AF,0,1,measured
88,1E84,0,1,measured
89,1E84,0,1,measured
90,67A3,0,1,measured
91,DB87,0,1,measured
92,FE2D,0,1,measured
93,43D7,0,1,measured
94,8E23,0,1,measured
95,1AD3,0,1,measured
96,6929,0,1,measured
97,B2EB,0,1,measured
98,FB44,0,1,measured
99,6E58,0,1,measured
100,8E5A,0,1,measured
101,D8B1,0,1,measured
102,204F,0,1,measured
103,6A8D,0,1,measured
104,B33D,0,1,measured
105,FCF5,0,1,measured
106,47F7,0,1,measured
107,B8B3,0,1,measured
108,D754,0,1,measured
109,21B7,0,1,measured
110,648F,0,1,measured
111,648F,0,1,measured
112,B38E,0,1,measured
113,FB6A,0,1,measured
114,4560,0,1,measured
115,8F40,0,1,measured
116,D8CD,0,1,measured
117,4D3E,0,1,measured
118,6613,0,1,measured
119,AF18,0,1,measured
120,F8CB,0,1,measured
121,8B1B,0,1,measured
122,D3D2,0,1,measured
123,1CBB,0,1,measured
124,6536,0,1,measured
125,A37C,0,1,measured
126,E538,0,1,measured
127,2E11,0,1,measured
128,773C,0,1,measured
129,C73F,0,1,measured
130,0A2F,0,1,measured
131,57AB,0,1,measured
132,A182,0,1,measured
133,E5EA,0,1,measured
134,3376,0,1,measured
135,7D33,0,1,measured
136,C629,0,1,measured
137,0F48,0,1,measured
138,3A2F,0,1,measured
139,689C,0,1,measured
140,A805,0,1,measured
141,FB65,0,1,measured
142,A136,0,1,measured
143,DA26,0,1,measured
144,25A5,0,1,measured
145,6E2E,0,1,measured
146,B77E,0,1,measured
147,00E3,0,1,measured
148,4AC5,0,1,measured
149,93F3,0,1,measured
150,DC90,0,1,measured
151,1E6A,0,1,measured
152,5C6F,0,1,measured
153,A56A,0,1,measured
154,2918,0,1,measured
155,4D0A,0,1,measured
156,9AC6,0,1,measured
157,E478,0,1,measured
158,2CE8,0,1,measured
159,7650,0,1,measured
160,BF85,0,1,measured
161,092D,0,1,measured
162,4FF7,0,1,measured
163,7C8A,0,1,measured
164,C5EE,0,1,measured
165,0EB8,0,1,measured
166,57ED,0,1,measured
167,D481,0,1,measured
168,EC1C,0,1,measured
169,3564,0,1,measured
170,7A2C,0,1,measured
171,C71D,0,1,measured
172,1000,0,1,measured
173,593B,0,1,measured
174,A2F3,0,1,measured
175,EBE1,0,1,measured
176,157A,0,1,measured
177,4583,0,1,measured
178,8D69,0,1,measured
179,D633,0,1,measured
180,8900,0,1,measured
181,BBA5,0,1,measured
182,0398,0,1,measured
183,4C0A,0,1,measured
184,9588,0,1,measured
185,DA39,0,1,measured
186,2841,0,1,measured
187,8B26,0,1,measured
188,BAD2,0,1,measured
189,03F1,0,1,measured
190,4CAF,0,1,measured
191,963F,0,1,measured
192,DFDC,0,1,measured
193,4AE8,0,1,measured
194,7175,0,1,measured
195,BE3F,0,1,measured
196,0BC9,0,1,measured
197,50D0,0,1,measured
198,97D9,0,1,measured
199,E3C5,0,1,measured
200,210C,0,1,measured
201,72C7,0,1,measured
202,B45E,0,1,measured
203,F5DF,0,1,measured
204,3B4F,0,1,measured
205,84AB,0,1,measured
206,0694,0,1,measured
207,399A,0,1,measured
208,82AD,0,1,measured
209,CE95,0,1,measured
210,14F0,0,1,measured
211,5EAE,0,1,measured
212,A90A,0,1,measured
213,EDE4,0,1,measured
214,36F3,0,1,measured
215,5713,0,1,measured
216,AC91,0,1,measured
217,F1FF,0,1,measured
218,3B5B,0,1,measured
219,BE77,0,1,measured
220,E2FA,0,1,measured
221,2C19,0,1,measured
222,75C0,0,1,measured
223,BE42,0,1,measured
224,0719,0,1,measured
225,5046,0,1,measured
226,9B14,0,1,measured
227,E21E,0,1,measured
228,0926,0,1,measured
229,468B,0,1,measured
230,8A74,0,1,measured
231,D818,0,1,measured
232,2463,0,1,measured
233,6989,0,1,measured
234,B252,0,1,measured
235,FC13,0,1,measured
236,44C7,0,1,measured
237,8E04,0,1,measured
238,D7D7,0,1,measured
239,2076,0,1,measured
240,69D2,0,1,measured
241,9588,0,1,measured
242,BF7A,0,1,measured
243,088B,0,1,measured
244,D624,0,1,measured
245,E6DA,0,1,measured
246,34C5,0,1,measured
247,7E89,0,1,measured
248,C60F,0,1,measured
249,1016,0,1,measured
250,588D,0,1,measured
251,A2F4,0,1,measured
252,EBB2,0,1,measured
253,2CD0,0,1,measured
254,6B0D,0,1,measured
255,B3EF,0,1,measured
256,FD57,0,1,measured
257,934E,0,1,measured
258,C94A,0,1,measured
259,127C,0,1,measured
260,579E,0,1,measured
261,A559,0,1,measured
262,ED80,0,1,measured
263,376B,0,1,measured
264,7FF4,0,1,measured
265,C9EA,0,1,measured
266,C9EA,0,1,measured
267,F62A,0,1,measured
268,4ED2,0,1,measured
269,8CD7,0,1,measured
270,D4EF,0,1,measured
271,4AC8,0,1,measured
272,86AE,0,1,measured
273,CE6A,0,1,measured
274,173C,0,1,measured
275,6084,0,1,measured
276,A543,0,1,measured
277,F39D,0,1,measured
278,3C3C,0,1,measured
279,857F,0,1,measured
280,CB1D,0,1,measured
281,13A3,0,1,measured
282,5A54,0,1,measured
283,0973,0,1,measured
284,34A3,0,1,measured
285,7DBE,0,1,measured
286,C821,0,1,measured
287,1072,0,1,measured
288,572A,0,1,measured
289,BB89,0,1,measured
290,E77C,0,1,measured
291,3533,0,1,measured
292,7EEF,0,1,measured
293,C775,0,1,measured
294,10D1,0,1,measured
295,5A1A,0,1,measured
296,C071,0,1,measured
297,F080,0,1,measured
298,8E24,0,1,measured
299,D83C,0,1,measured
300,2155,0,1,measured
301,6713,0,1,measured
302,A4BF,0,1,measured
303,EDFF,0,1,measured
305,2B66,0,1,measured
306,6DEC,0,1,measured
307,B6C1,0,1,measured
308,FFFB,0,1,measured
309,7FE8,0,1,measured
310,ABEE,0,1,measured
311,F50F,0,1,measured
312,3DD6,0,1,measured
313,8767,0,1,measured
314,D0F7,0,1,measured
315,2EF1,0,1,measured
316,621C,0,1,measured
317,DF72,0,1,measured
318,2866,0,1,measured
319,6CDE,0,1,measured
320,BA58,0,1,measured
321,37BE,0,1,measured
322,5AEE,0,1,measured
324,A404,0,1,measured
325,EDA8,0,1,measured
326,3644,0,1,measured
327,7F0B,0,1,measured
328,C841,0,1,measured
329,120F,0,1,measured
330,5AC8,0,1,measured
331,9D54,0,1,measured
332,DA14,0,1,measured
333,22F5,0,1,measured
334,6C36,0,1,measured
335,B0E8,0,1,measured
336,5398,0,1,measured
337,9D80,0,1,measured
338,E61F,0,1,measured
339,2F6F,0,1,measured
340,6D63,0,1,measured
341,B61B,0,1,measured
343,E1D3,0,1,measured
344,0F08,0,1,measured
345,58B2,0,1,measured
346,A1B7,0,1,measured
347,5172,0,1,measured
348,82B4,0,1,measured
349,CF55,0,1,measured
350,0BBC,0,1,measured
351,650D,0,1,measured
352,AAFC,0,1,measured
353,F460,0,1,measured
354,41DF,0,1,measured
355,D2A4,0,1,measured
356,1267,0,1,measured
357,590C,0,1,measured
358,A27C,0,1,measured
359,0D21,0,1,measured
360,4A3E,0,1,measured
362,91DC,0,1,measured
363,DE59,0,1,measured
364,2467,0,1,measured
365,6018,0,1,measured
366,B6F8,0,1,measured
367,0476,0,1,measured
368,4A17,0,1,measured
369,76A0,0,1,measured
370,C366,0,1,measured
371,0909,0,1,measured
372,527B,0,1,measured
373,D1F1,0,1,measured
374,5269,0,1,measured
375,9C16,0,1,measured
376,E435,0,1,measured
377,2D6D,0,1,measured
378,4CFE,0,1,measured
379,9127,0,1,measured
381,DE96,0,1,measured
382,0E7A,0,1,measured
383,3944,0,1,measured
384,824E,0,1,measured
385,CC2F,0,1,measured
386,7285,0,1,measured
387,AD8C,0,1,measured
388,F6AF,0,1,measured
389,408C,0,1,measured
390,891B,0,1,measured
391,D341,0,1,measured
392,2BBA,0,1,measured
393,BA64,0,1,measured
394,FFA1,0,1,measured
395,4CFF,0,1,measured
396,961F,0,1,measured
397,D3B0,0,1,measured
398,3214,0,1,measured
400,692B,0,1,measured
401,B2D6,0,1,measured
402,FB95,0,1,measured
403,44CB,0,1,measured
404,8DFD,0,1,measured
405,D7DB,0,1,measured
406,2163,0,1,measured
407,69B6,0,1,measured
408,AB7D,0,1,measured
409,E9B5,0,1,measured
410,2957,0,1,measured
411,7C4A,0,1,measured
412,351C,0,1,measured
413,7E3D,0,1,measured
414,C75F,0,1,measured
415,10A9,0,1,measured
416,4ED2,0,1,measured
417,A4AE,0,1,measured
419,E331,0,1,measured
420,2BB2,0,1,measured
421,54BF,0,1,measured
422,9DEA,0,1,measured
423,E6B8,0,1,measured
424,6319,0,1,measured
425,809A,0,1,measured
426,CE2F,0,1,measured
427,17ED,0,1,measured
428,604A,0,1,measured
429,A943,0,1,measured
430,F283,0,1,measured
431,9158,0,1,measured
432,D24E,0,1,measured
433,10F5,0,1,measured
434,58E1,0,1,measured
435,96AF,0,1,measured
436,DFB6,0,1,measured
438,28D7,0,1,measured
439,721E,0,1,measured
440,B77E,0,1,measured
441,04A7,0,1,measured
442,4DD5,0,1,measured
443,9790,0,1,measured
444,E054,0,1,measured
445,29AD,0,1,measured
446,5709,0,1,measured
447,8670,0,1,measured
448,CF71,0,1,measured
449,17B8,0,1,measured
450,0616,0,1,measured
451,5207,0,1,measured
452,9CCB,0,1,measured
453,E273,0,1,measured
454,158E,0,1,measured
455,6CED,0,1,measured
457,B9CF,0,1,measured
458,FF01,0,1,measured
459,408F,0,1,measured
460,8208,0,1,measured
461,C780,0,1,measured
462,10F5,0,1,measured
463,81CC,0,1,measured
464,BD96,0,1,measured
465,01D4,0,1,measured
466,5B91,0,1,measured
467,95B7,0,1,measured
468,DD02,0,1,measured
469,7472,0,1,measured
470,C58E,0,1,measured
471,F2E2,0,1,measured
472,4685,0,1,measured
473,7B5F,0,1,measured
474,C59D,0,1,measured
476,2013,0,1,measured
477,52E9,0,1,measured
478,9C24,0,1,measured
479,E5D6,0,1,measured
480,2E64,0,1,measured
481,7847,0,1,measured
482,C0E3,0,1,measured
483,09CB,0,1,measured
484,524F,0,1,measured
485,7C69,0,1,measured
486,7403,0,1,measured
487,BD6A,0,1,measured
488,F974,0,1,measured
489,2F46,0,1,measured
490,7855,0,1,measured
491,C243,0,1,measured
492,0933,0,1,measured
493,4921,0,1,measured
495,AD23,0,1,measured
496,DDA4,0,1,measured
497,2431,0,1,measured
498,6D92,0,1,measured
499,B716,0,1,measured
500,FB66,0,1,measured
501,486B,0,1,measured
502,AC08,0,1,measured
503,D8D2,0,1,measured
504,21E1,0,1,measured
505,6C4E,0,1,measured
506,B449,0,1,measured
507,5328,0,1,measured
508,9CF3,0,1,measured
509,EE12,0,1,measured
510,0E82,0,1,measured
511,3F7A,0,1,measured
512,8722,0,1,measured
514,199E,0,1,measured
515,448B,0,1,measured
516,92A0,0,1,measured
517,DB5A,0,1,measured
518,2416,0,1,measured
519,6E3E,0,1,measured
520,B649,0,1,measured
521,1AFB,0,1,measured
522,4A4C,0,1,measured
523,9232,0,1,measured
524,DB8A,0,1,measured
525,24A7,0,1,measured
526,ECBD,0,1,measured
527,125F,0,1,measured
528,5B5F,0,1,measured
529,A051,0,1,measured
530,E15F,0,1,measured
531,2A24,0,1,measured
533,7368,0,1,measured
534,BD2E,0,1,measured
535,05F7,0,1,measured
536,46FD,0,1,measured
537,864D,0,1,measured
538,CE0C,0,1,measured
539,1737,0,1,measured
540,61A0,0,1,measured
541,AA14,0,1,measured
542,F2FE,0,1,measured
543,3CC9,0,1,measured
544,8579,0,1,measured
545,244A,0,1,measured
546,6CFF,0,1,measured
547,B64F,0,1,measured
548,DF0A,0,1,measured
549,02D2,0,1,measured
550,4BC3,0,1,measured
552,9410,0,1,measured
553,4096,0,1,measured
554,76A8,0,1,measured
555,C19C,0,1,measured
556,0B92,0,1,measured
557,5409,0,1,measured
558,9D68,0,1,measured
559,E747,0,1,measured
560,2474,0,1,measured
561,7920,0,1,measured
562,BAD9,0,1,measured
563,F8DD,0,1,measured
564,9533,0,1,measured
565,0E15,0,1,measured
566,3C2C,0,1,measured
567,8550,0,1,measured
568,C1CB,0,1,measured
569,0B49,0,1,measured
571,54DF,0,1,measured
572,9BB0,0,1,measured
573,E425,0,1,measured
574,2D4C,0,1,measured
575,5821,0,1,measured
576,A604,0,1,measured
577,EEC8,0,1,measured
578,37F9,0,1,measured
579,B939,0,1,measured
580,EF8B,0,1,measured
581,38AC,0,1,measured
582,8251,0,1,measured
583,200E,0,1,measured
584,6964,0,1,measured
585,9510,0,1,measured
586,DAC3,0,1,measured
587,FCAF,0,1,measured
588,2BB3,0,1,measured
590,703E,0,1,measured
591,BCFF,0,1,measured
592,7625,0,1,measured
593,A011,0,1,measured
594,E926,0,1,measured
595,3200,0,1,measured
596,7B67,0,1,measured
