offset,seed,band,boots,how
6,3AA7,0,1,measured
7,62A2,0,1,measured
8,AC0B,0,1,measured
9,F4E7,0,1,measured
10,3E1E,0,1,measured
11,875E,0,1,measured
12,D09E,0,1,measured
13,D00D,0,1,measured
14,F2B2,0,1,measured
15,3CFE,0,1,measured
16,3CFE,0,1,measured
17,874C,0,1,measured
18,1665,0,1,measured
19,5E6E,0,1,measured
20,A2DB,0,1,measured
21,F0A9,0,1,measured
22,10C2,0,1,measured
23,4ED2,0,1,measured
24,972B,0,1,measured
25,E070,0,1,measured
26,29AB,0,1,measured
27,72EB,0,1,measured
28,9BAD,0,1,measured
29,AECA,0,1,measured
30,F809,0,1,measured
31,4067,0,1,measured
32,899C,0,1,measured
33,D2E7,0,1,measured
34,1C1E,0,1,measured
35,617A,0,1,measured
36,AE9A,0,1,measured
37,AE9A,0,1,measured
38,F7E9,0,1,measured
39,4127,0,1,measured
40,3F91,0,1,measured
41,6333,0,1,measured
42,AD85,0,1,measured
43,F538,0,1,measured
44,3F76,0,1,measured
45,8741,0,1,measured
46,D64A,0,1,measured
47,2005,0,1,measured
48,666B,0,1,measured
49,A7F6,0,1,measured
50,E648,0,1,measured
51,2635,0,1,measured
52,7950,0,1,measured
53,C30A,0,1,measured
54,0B2B,0,1,measured
55,5431,0,1,measured
56,CC3C,0,1,measured
57,1527,0,1,measured
58,5F91,0,1,measured
59,A9DB,0,1,measured
60,F0C1,0,1,measured
61,3793,0,1,measured
62,809F,0,1,measured
63,A9A7,0,1,measured
64,68CB,0,1,measured
65,847F,0,1,measured
66,D3C3,0,1,measured
67,1B4E,0,1,measured
68,6588,0,1,measured
69,AD65,0,1,measured
70,F76A,0,1,measured
71,412E,0,1,measured
72,8AC9,0,1,measured
73,FD6F,0,1,measured
74,1C8E,0,1,measured
75,66F7,0,1,measured
76,B12D,0,1,measured
77,F75E,0,1,measured
78,416B,0,1,measured
79,8B65,0,1,measured
80,D022,0,1,measured
81,1A42,0,1,measured
82,8EEC,0,1,measured
83,AFCE,0,1,measured
84,FA35,0,1,measured
85,41CC,0,1,measured
86,8C08,0,1,measured
87,D4B0,0,1,measured
88,1E78,0,1,measured
89,1E78,0,1,measured
90,67A3,0,1,measured
91,DB93,0,1,measured
92,FE2C,0,1,measured
93,43D5,0,1,measured
94,8E23,0,1,measured
95,1ADC,0,1,measured
96,692C,0,1,measured
97,B2EB,0,1,measured
98,FB3B,0,1,measured
99,6E58,0,1,measured
100,8E59,0,1,measured
101,D8BE,0,1,measured
102,2058,0,1,measured
103,6A90,0,1,measured
104,B333,0,1,measured
105,FD01,0,1,measured
106,47F7,0,1,measured
107,B8A9,0,1,measured
108,D75C,0,1,measured
109,21AC,0,1,measured
110,648F,0,1,measured
111,648F,0,1,measured
112,B38C,0,1,measured
113,FB69,0,1,measured
114,4568,0,1,measured
115,8F4A,0,1,measured
116,D8CC,0,1,measured
117,4D3E,0,1,measured
118,6609,0,1,measured
119,AF18,0,1,measured
120,F8C2,0,1,measured
121,8B24,0,1,measured
122,D3D2,0,1,measured
123,1CBB,0,1,measured
124,6536,0,1,measured
125,A384,0,1,measured
126,E538,0,1,measured
127,2E11,0,1,measured
128,773C,0,1,measured
129,C748,0,1,measured
130,0A2F,0,1,measured
131,57AC,0,1,measured
132,A18B,0,1,measured
133,E5EA,0,1,measured
134,337A,0,1,measured
135,7D28,0,1,measured
136,C629,0,1,measured
137,0F48,0,1,measured
138,3A2F,0,1,measured
139,689E,0,1,measured
140,A80F,0,1,measured
141,FB71,0,1,measured
142,A136,0,1,measured
143,DA32,0,1,measured
144,259E,0,1,measured
145,6E32,0,1,measured
146,B776,0,1,measured
147,00D9,0,1,measured
148,4AC3,0,1,measured
149,93F1,0,1,measured
150,DC97,0,1,measured
151,1E6B,0,1,measured
152,5C78,0,1,measured
153,A561,0,1,measured
154,2924,0,1,measured
155,4D0A,0,1,measured
156,9ABA,0,1,measured
157,E46C,0,1,measured
158,2CE0,0,1,measured
159,7650,0,1,measured
