offset,seed,band,boots,how
17,8748,0,1,measured
27,72FC,0,1,measured
29,AEE8,0,1,measured
30,F827,0,1,measured
33,D2E6,0,1,measured
35,6197,0,1,measured
36,AEAB,0,1,measured
37,AEAB,0,1,measured
38,F7EF,0,1,measured
41,6347,0,1,measured
46,D66D,0,1,measured
50,E646,0,1,measured
52,796D,0,1,measured
53,C315,0,1,measured
56,CC50,0,1,measured
61,37B0,0,1,measured
62,80B0,0,1,measured
66,D3E0,0,1,measured
67,1B4D,0,1,measured
72,8AE7,0,1,measured
73,FD71,0,1,measured
74,1C8A,0,1,measured
77,F78C,0,1,measured
78,417C,0,1,measured
82,8F09,0,1,measured
83,AFCA,0,1,measured
84,FA4B,0,1,measured
87,D4D6,0,1,measured
89,1E89,0,1,measured
92,FE4A,0,1,measured
97,B307,0,1,measured
98,FB4B,0,1,measured
99,6E58,0,1,measured
102,206D,0,1,measured
104,B347,0,1,measured
